# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1533] CLARINDA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1533
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     2    14     9     1    27        1     5    65    55     1   127
 1952     3    20    20     8    10    61       10   132   113    17    20   292
 1953     5    20    21    14     9    69       22    87   159   100    55   423
 1954     0    16    28    16    11    71        0    97   283    79    57   516
 1955     5     5    28    22    12    72       10    21   216   198    87   532
 1956     8    19    13    21    11    72       30   125    75   104    74   408
 1957     0     4    27    19     1    51        0    14   198   136     2   350
 1958     0     6     7    21     5    39        0    26    24    88    16   154
 1959     2    10     9    20     4    45        4    35    38    91    16   184
 1960     0     7    16    16     7    46        0    22    70    57    38   187
 1961     0     6    11     8     4    29        0    31    58    28    11   128
 1962    15    10    15    14     2    56       35    29    67    58     9   198
 1963     2    16    23    12     3    56        8    98   105    52     7   270
 1964     7    10    25    10     5    57       20    30   163    65    17   295
 1965     4     3    12    16     1    36        8     6    64    71     4   153
 1966     6     8    25     9     0    48       28    26   160    22     0   236
 1967     5     2    15    13     0    35       44     4    85    40     0   173
 1968     2    18    21    14     1    56       14    74    90    81     1   260
 1969     3     9    19    16     3    50        5    51   103    50     6   215
 1970     3    11    22    22     7    65        7    44   166   113    39   369
 1971     0    21    16    14    14    65        0   115    61    63    59   298
 1972     2    12    14    13     7    48        3    76    64    95    34   272
 1973     2    12    16    19     2    51        4    71    79    78     3   235
 1974     1     8    31     9     5    54        2    59   327    42     8   438
 1975     5    11    22    26     3    67       17    46   137   204    31   435
 1976     1    11    22    18     9    61        2    47   149    91    26   315
 1977     1    16    27    10     0    54        1    95   183    34     0   313
 1978     3    13    14    15    13    58        4    70    73    76    53   276
 1979     3    12    11    16     4    46        6    39    47    72     8   172
 1980     2    13    25    21     8    69        5    82   263   135    39   524
 1981     0    15    12     5     1    33        0    57    93    15     4   169
 1982     0     3    21     7     0    31        0    11    89    43     0   143
 1983     1     9    25    28    12    75        2    36   158   256    72   524
 1984     0     8    20    19     7    54        0    24   107   108    40   279
 1985     0    10    20     7     8    45        0    36   107    20    39   202
 1986     0    16    22     1     1    40        0    70    79     3     1   153
 1987     5    15    20     7     2    49       12    69   110    57     3   251
 1988     3    20    18    21     5    67        7   164   121   190    14   496
 1989     3     4    16     8     1    32       17    15    93    24     3   152
 1990     0    10    12    10    14    46        0    42    84    58    75   259
 1991     4    11    16    13     7    51        8    43    76    69    28   224
 1992     2     3     6     3     0    14        2     7    15     7     0    31
 1993     0     6     5    11     1    23        0    10    13    57     4    84
 1994     2     9     7    10     2    30        4    24    17    41     8    94
 1995     0     7    18    23     2    50        0    19   113   116     2   250
 1996     3    11     6     2     0    22        7    36    22     4     0    69
 1997     1     8    13    10     4    36        3    26    64    26    11   130
 1998     4     6     8    11    12    41       13    27    34    55    53   182
 1999     0     7    19     7     3    36        0    22   100    27     9   158
 2000     6     6     8    13    10    43       28    22    19    62    74   205
 2001     3     8    16    12     2    41        7    19    69    50     7   152
 2002     1    15    22    10    10    58        4    51   126    47    52   280
 2003     1     1    17    15     0    34        1     5    91   111     0   208
 2004     2     1     6     4     3    16       12     1    16    11     5    45
 2005     2    12    16     0     0    30        3    48    70     0     0   121
 **************************************************************************************
MEANS   2.4  10.0  17.1  13.1   4.9  47.5      7.6  46.2 101.3  70.0  22.3 247.4
