# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1533] CLARINDA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   7   8  11  14  17   7  13  10   8   3   3 104
1952     3   5  11  10   7   9   7  16   5   0   4   6  83
1953     2   7   9  12  10  12   9   4   3   1   4   5  78
1954     0   5   6  11  10   9   3  17   6   9   2   4  82
1955     7   9   4   5  10  11   2   5   5   4   1   2  65
1956     5   5   3   4  10   9  12  11   5   4   5   4  77
1957     5   2   7  14  12  12   8   9  10   8   5   3  95
1958     5   4   7  10  11  10  17   7  11   2   5   2  91
1959     4   7   9   8  15   7   6  12  12  10   5   8 103
1960     7   7  10   9  10  16   7   6   7   5   3   2  89
1961     2   6  14   9   8  11  13   9  15   6   7   9 109
1962     6  10   8  12  14  10  11   9   9   8   6   8 111
1963     6   4  10  11  11   3   8   9   9   4   4   5  84
1964     2   3   4  12  12  11  10   8  11   2   6   4  85
1965     6   7  10   7  11  11  10   8  17   3   5   5 100
1966     3   4   3   7   7   8   7   7  10   4   2   5  67
1967     3   2   4  12  10  15   7   7   9   7   5  10  91
1968     3   2   4  14   8   8   6  12   9   4   4   5  79
1969     0   5   6   9   7   8  12   5   7  12   3   0  74
1970     0   1   7  11   9   7   9   5  11  10   7   3  80
1971     3   9   7   5  13   4   9   9   7   8   9   5  88
1972     4   3   7  10  12   6  10  10  11  10   8   4  95
1973     7   6  15   8  13   7  14   7  16   7   5   9 114
1974     7   2   7   5  11   5   4   8   6   7   7   5  74
1975     4   6   7   9  12  11   4   7   8   3  11   4  86
1976     2   6   7  10   9   6   5   5   6   6   0   2  64
1977     6   2   8  12  13   7  10  13  12  12   4   6 105
1978     5   7   5  12   8   6  12   8   7   3   9   3  85
1979     8   3   8  10   7  10   9   6   3   4   6   4  78
1980     8   5   9   8   8   8   7   9   5   5   2   3  77
1981     0   3   5   8   9  12  12  11   4   6   6   3  79
1982     7   0   8   8  17   6   9  11  10   6   7   5  94
1983     4   2  10   9  14   9   2   7   5   9  12   8  91
1984     1   4  10  13   8  13   6   0   6  10   4   8  83
1985     4   5   5   8   6   7   6   8  10   6   9   4  78
1986     0   6   6   9  11   7   9  11  11   7   6   3  86
1987     1   3   8   6  11  10   9  11   5   4   7   8  83
1988     1   3   2   8   7   3   6   7   8   3   7   3  58
1989     6   5   3   3  10  10   9  10   7   8   0   6  77
1990     6   4  13  10  13  13  13  10   6   6   5   8 107
1991     5   1  11  14  14   9  11  10   8  10  12   6 111
1992     9   9  12  10   8  10  17   5  14   4  11   9 118
1993     9  11   6  10  16  16  23  14  13   8   7   6 139
1994     4   6   4   9   6  13  10  10   7   8   9   7  93
1995     6   8   7  15  17  11   6   6  10   8   7   7 108
1996    10   2   5   6  20  10   8   8  10   7  10   5 101
1997     7   9   5  12  11  10  10   8   4   9   8   9 102
1998     5  10  12  13  15  20  14   9   6  10  10   2 126
1999     4   6   5  15  13  12   8   6   6   3   2   5  85
2000     5   6   5  11  11  11  11   9   6   8   5  12 100
2001    12   9   7  11  17  11  13   5   8  11   5   5 114
2002     6   8   9  11  13   4   9   9   6  15   6   2  98
2003    10   9   8  11  15  14   8   6   7   6  10  11 115
2004     7  10  17   5  16  13  19   9   4  11  13   3 127
2005    13   9   9  14   8  13   9   0   0   0   0   0  75
STDDEV   3   3   3   3   3   4   4   3   3   3   3   3  17
AVG      5   5   8  10  11  10   9   8   8   7   6   5  92
