# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1541] CLARION
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia1541 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      9      0      0      0    185     96     80     67
 1952     42     21     18     15    356    231    206    184
 1953    126     53     39     28    176     82     65     50
 1954     38      8      4      2    404    252    221    192
 1955     93     45     35     26    461    293    260    229
 1956     55     18     12      8    258    155    133    111
 1957     82     30     22     15    353    217    193    172
 1958     40      8      5      3    332    194    163    137
 1959     62     22     16     12    333    202    176    150
 1960     11      1      0      0    365    222    195    172
 1961     58     21     16     11    208    106     84     65
 1962     22     14     12     10    297    179    158    139
 1963    161    108     96     84    392    242    211    181
 1964     72     27     20     13    327    188    164    142
 1965      5      1      0      0    234    128    106     88
 1966    192    100     82     66    203    106     85     65
 1967    194    124    111     98    354    219    187    155
 1968    273    179    160    141    396    249    217    188
 1969     15      1      0      0    329    186    156    129
 1970     21      2      1      0    356    226    200    175
 1971     52     22     19     16    379    249    219    191
 1972     81     35     26     19    264    144    119     97
 1973    155     65     48     36    281    160    137    114
 1974     75     27     21     15    330    194    166    141
 1975     27      6      4      3    166     75     61     48
 1976    113     60     50     42    396    245    213    181
 1977    184     91     75     61    472    318    285    253
 1978     84     43     34     27    252    134    109     88
 1979     34     10      7      4    205    104     84     67
 1980     47     15     12      9    315    195    172    150
 1981    185     93     76     62    381    229    197    169
 1982     52     15     10      7    251    147    126    106
 1983     81     41     33     26    153     83     71     59
 1984     20      2      0      0    227    106     82     63
 1985    133     55     42     31    423    277    247    220
 1986    141     84     75     67    352    209    178    150
 1987    156     86     74     62    411    278    251    228
 1988    143     69     56     44    285    174    149    125
 1989     90     48     40     33    319    193    168    145
 1990    154     79     62     48    333    203    177    153
 1991    108     49     39     31    340    202    174    148
 1992    120     57     43     32    216    119    103     89
 1993     18      4      2      1    207    104     87     73
 1994    113     54     44     35    318    207    181    156
 1995    116     54     43     35    198    104     86     70
 1996     79     28     23     18    239    143    124    107
 1997     98     44     34     27    256    154    131    110
 1998     91     47     40     35    303    177    150    125
 1999    123     55     44     34    287    155    130    108
 2000    231    129    110     92    295    183    162    142
 2001     11      2      1      0    364    225    196    169
 2002     47     15     12      9    295    178    155    133
 2003    134     76     66     56    362    242    217    193
 2004    162     75     60     46    366    230    203    176
 2005    107     57     50     43    429    264    229    196
     ****************************  ****************************
 MEAN   93.4   45.0   36.8   29.8  308.9  185.0  160.0  137.0
 STDV   61.8   38.3   33.6   29.1   78.2   59.1   54.7   50.4

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    678    463    412    366    703    475    421    369
 1952    547    347    304    265    942    704    646    590
 1953    579    374    332    295    916    680    621    564
 1954    477    308    270    235    907    673    617    562
 1955    692    467    421    379    767    538    487    437
 1956    625    426    383    342    949    713    656    600
 1957    554    347    303    264    825    587    529    472
 1958    684    490    444    401    730    501    451    404
 1959    685    473    424    377    901    663    606    550
 1960    620    412    364    319    796    564    511    462
 1961    554    370    331    293    849    616    564    514
 1962    762    536    484    434    836    598    540    486
 1963    617    404    360    318    961    721    662    605
 1964    760    532    482    435    861    627    571    518
 1965    750    529    475    423    872    634    575    518
 1966    545    375    337    304    867    631    575    521
 1967    509    343    306    271    837    600    544    490
 1968    514    341    306    272    891    655    601    548
