# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1541] CLARION
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia1541
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      4     35     45    189    127      7     16      0      0
 1952      0      0      0      5     25    238    251    139     83      0      0      0
 1953      0      0      0      0     39    213    238    204     66     29      0      0
 1954      0      0      0      6     13    226    322    150     64      9      0      0
 1955      0      0      0      7     51     89    411    340     90      4      0      0
 1956      0      0      0      2     61    269    159    234     51     15      0      0
 1957      0      0      0      6     13    112    355    192     16      0      0      0
 1958      0      0      0      3     46     68    130    251     54      7      0      0
 1959      0      0      0      0     68    200    205    320     90      0      0      0
 1960      0      0      0     19     14     89    214    219    108      6      0      0
 1961      0      0      0      0     32    146    184    187     78      3      0      0
 1962      0      0      0     10    116    126    175    166     35     21      0      0
 1963      0      0      0      6     44    254    241    175     76     43      0      0
 1964      0      0      0      3     96    161    323    130     72      1      0      0
 1965      0      0      0      0     76    131    231    160     15     10      0      0
 1966      0      0      0      0     33    170    335    129     43      8      0      0
 1967      0      0      5     11     61    109    192    124      9      8      0      0
 1968      0      0      0      2     16    209    194    194     37     31      0      0
 1969      0      0      0      0     68     64    248    177     43     14      0      0
 1970      0      0      0     26     87    188    259    163    101     14      0      0
 1971      0      0      0      4     11    295    159    160    120     24      0      0
 1972      0      0      0      0     75    140    199    211     56      0      0      0
 1973      0      0      0      0      9    183    240    188     37     11      0      0
 1974      0      0      0      8     18     98    357    101     25      1      0      0
 1975      0      0      0      0     93    153    289    221     28     13      0      0
 1976      0      0      0     13     16    152    276    175     65     14      0      0
 1977      0      0      0     27    127    158    328    101     27      0      0      0
 1978      0      0      0      0     61    138    208    170    141      0      0      0
 1979      0      0      0      0     26    138    198    174     71      0      0      0
 1980      0      0      0     18     67    157    311    199     65      0      0      0
 1981      0      0      0      8     11    144    238    124     30      0      0      0
 1982      0      0      0      0     26     42    258    149     42      6      0      0
 1983      0      0      0      0      5    164    339    359    111     17      0      0
 1984      0      0      0      2     10    152    180    257     55      1      0      0
 1985      0      0      0     39     65    107    197     86    117      0      0      0
 1986      0      0      0      5     12    166    264     63     53      0      0      0
 1987      0      0      0     13    113    254    330    160     33      0      0      0
 1988      0      0      0      0     75    263    268    310     63      0      0      0
 1989      0      0      0      3     33    124    269    150     43      3      0      0
 1990      0      0      0     24      5    180    210    173    115      9      0      0
 1991      0      0      0     17    132    266    259    182     73      0      0      0
 1992      0      0      0      0     47    117    100     92     37      6      0      0
 1993      0      0      0      0      7     98    146    178     11     14      0      0
 1994      0      0      0     13     55    182    123     98     70      5      0      0
 1995      0      0      0      0      0    187    252    301     35     11      0      0
 1996      0      0      0      0     30    169    143    103     45      7      0      0
 1997      0      0      0      0      3    173    245    117     50     50      0      0
 1998      0      0      0      0     90    131    263    237    140      0      0      0
 1999      0      0      0      0     32    149    367    152     50      2      0      0
 2000      0      0      1      0     54     99    221    188    103      4      0      0
 2001      0      0      0     14     41    150    275    191     25      2      0      0
 2002      0      0      0     11     32    212    318    149     90      6      0      0
 2003      0      0      0     13      9    107    232    262     68     11      0      0
 2004      0      0      0      3     35    106    181     91    114      0      0      0
 2005      0      0      0     10     13    219    286      0      0      0      0      0
 MEAN      0      0      0      6     44    158    243    179     62      8      0      0
