# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1635] CLINTON-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia1635
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  29  15  30  13  42  23  55  34  68  44  77  55  84  62  84  62  81  59  72  47  57  38  39  24
  2  30  15  28  12  41  23  55  35  69  45  75  55  85  63  85  63  81  59  71  47  54  36  41  25
  3  30  14  29  12  41  24  55  35  69  45  76  53  83  63  84  63  81  59  70  47  53  34  40  25
  4  27  11  31  12  41  23  54  33  69  46  78  55  84  63  83  63  80  57  69  46  51  34  39  24
  5  28  10  31  13  40  23  55  33  70  48  80  57  84  61  81  62  79  56  68  45  51  33  40  24
  6  28  14  30  14  41  23  58  34  70  47  80  58  84  61  83  62  79  57  65  45  50  31  37  21
  7  27  10  30  13  40  22  59  34  69  46  80  58  84  63  83  62  81  57  66  43  51  32  36  21
  8  26   9  31  13  41  22  56  35  70  48  80  59  85  64  83  62  79  57  66  44  51  32  35  21
  9  27  10  32  14  43  24  56  34  70  48  80  58  84  64  83  62  79  57  65  44  50  32  34  19
 10  26   9  32  16  44  24  57  34  71  46  80  59  85  63  82  62  78  55  65  41  50  31  34  18
 11  27  10  32  15  44  27  59  37  72  49  81  59  85  63  81  60  79  54  66  42  49  31  33  18
 12  29  12  32  15  45  27  59  38  71  48  81  61  85  64  82  60  78  54  68  43  48  30  33  17
 13  30  14  34  16  44  28  60  38  71  48  82  60  85  64  83  61  76  54  66  43  50  31  33  17
 14  29  14  35  17  46  27  60  39  72  50  82  60  84  64  82  62  75  54  66  44  50  31  33  18
 15  28  11  35  19  45  26  62  39  73  51  80  60  85  63  83  61  73  53  67  44  50  32  34  18
 16  28  10  34  17  46  26  62  40  74  51  81  59  85  63  83  63  73  52  66  43  50  31  33  17
 17  29  11  35  18  45  27  64  40  74  51  82  59  85  65  83  62  74  53  65  42  49  31  31  16
 18  28  12  36  21  46  27  65  42  75  52  83  61  86  66  82  61  76  53  62  40  48  31  32  16
 19  30  11  37  20  46  29  64  42  75  52  83  61  86  66  82  62  75  54  61  38  46  30  32  17
 20  27  11  39  19  46  29  64  44  75  52  82  61  85  65  81  60  73  52  62  39  45  29  30  17
 21  29  13  37  20  47  28  66  43  75  51  82  61  85  65  82  60  71  50  63  40  44  27  30  15
 22  31  15  38  20  49  28  65  41  75  52  82  60  85  65  82  61  71  49  64  41  45  27  31  16
 23  30  12  37  22  51  29  64  42  74  53  82  60  84  64  82  61  69  47  61  41  44  28  31  17
 24  30  12  38  21  49  28  65  42  73  52  83  61  85  64  82  60  69  47  59  39  43  25  31  14
 25  30  12  38  21  49  29  67  43  74  52  84  60  85  64  82  60  71  49  59  38  44  27  29  13
 26  27  10  39  21  50  30  69  44  73  53  84  62  85  64  83  61  72  48  59  38  43  27  30  14
 27  27  10  39  22  53  31  68  45  74  53  84  63  85  64  83  63  71  47  59  39  41  26  31  15
 28  27  10  40  23  54  34  67  43  74  54  85  63  84  65  83  61  71  46  58  37  37  22  33  16
 29  27  11  42  20  53  32  67  44  75  54  85  63  84  63  83  61  71  48  59  36  38  21  32  16
 30  28  11 *** ***  53  32  68  45  78  55  84  63  84  63  83  62  72  46  59  39  39  22  31  14
 31  30  10 *** ***  55  34 *** ***  78  56 *** ***  84  63  82  61 *** ***  58  40 *** ***  31  15
