# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1635] CLINTON-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     7   8  12  12  14  16   9  13   8  12   8  11 130
1952     7   4  12   6  14  10   9   9   4   0   6   8  89
1953     7   8  12  13   7   8   8   6   9   3   5   9  95
1954     4   5  10  12  10   9   6  15   7   9   9  10 106
1955     6   8   6   8   9  13   7   6   8  12   4   8  95
1956     6   9   8   8  13   6  11  12   7   3   7  10 100
1957    10   7   6  13  14   9  11  12   6   5   9   9 111
1958     9   4   4   9   9  10  12  10   7   4   5   4  87
1959     5   7   7   9  11   7  10   7   6  10   5   7  91
1960    10   7  10  12  13  14   6   9   9   8   4   3 105
1961     3   5  10  12   9   6  14   8  10   8   5   6  96
1962     7   8  10   7  11   4  12   7  10   9   4   4  93
1963     8   4  14  12   6   5  10   7   6   3   4   6  85
1964     2   4  10  10   8   8  11   8   9   0   7   8  85
1965    10   8  10  12  10   7   5  12  13   6   6   8 107
1966     5   5   6  10  10   9   5   2   7   6   6   5  76
1967     6   5   6  15  10   9   8  10   9  10   7   9 104
1968    10   3   6  10  14  11   7   4  14   6   7   9 101
1969     9   5   6  12  11  14  12   2   7  10   3   6  97
1970     6   7   8  12  13  10   9   6  15   9   5   7 107
1971     2   8   7   6  12   7  10   4   6   9   8   7  86
1972     6   6   9  11  11  10  11  11  11  12   7   5 110
1973     5   7  15  14  16   9  11   5  13  12   9   7 123
1974    10   5   9  10  17  11   6   8   2  10   9   8 105
1975     8   5  10  11  13  17   5  13   3   3  14   7 109
1976     8   5  10   8   8   8   7   8   5   6   1   5  79
1977     8   4  14   8   7   7   8  17  11  11   9   6 110
1978     8   5   4  14   7   9  12   7   7   9  10   9 101
1979    11   7  14  12   8  10   8  13   2   9   4   6 104
1980    11   8   6   8   8  10   7  15  12   4   5   5  99
1981     2   7   3  13   7   9   6  12   6  10  11   6  92
1982    12   2  12   8  14   8  13   7   5   8   8  11 108
1983     5   6  13  11  17   7   7   7   9   6   9  10 107
1984     5   5   9  12   8  13   9   5  10  14   4  11 105
1985    10   8  11   8   9  12   9   6   8  11  18   9 119
1986     5   8   7   9  12   8   9   8  13  10   6   5 100
1987     9   2   8   9  10   9   9  13  13   7   9  13 111
1988    11   8   5   8   5   2   6   8   2   8  14   7  84
1989     6   9   6  11   9   7   6  11   6   4   4  11  90
1990     8   9  12  13  13  14  12  10   7   9  10   7 124
1991    10   3  14  11  18   6   5   9  11  13  12   7 119
1992     9   7  16  16   4  10  20   5  14   7  17  10 135
1993    11   9  13  12  16  17  17  15  12   8   9  14 153
1994    15  10   8  11   8  11  10  10   8   4  12   8 115
1995    11   4   7  13  11   5   8  10   8  12   8   7 104
1996    10   7   6   8  15  14  11   8   7   7  11  11 115
1997    12   8   9   7  13   9   5  13   7   9  11   9 112
1998    11  10  12  16  10  16   5  15   9  10   6   6 126
1999    13  11   6  14  13  14  12   6   4   3   2  12 110
2000    11   6   8  10  16  15  15   8  11   5   9  17 131
2001     9   7  10  12  18  10   5  10   9  12   9  10 121
2002     9   7  13  15  13  10   9   9   6  13   7   5 116
2003     9   6  11  11  15  12  13  11   9   7  15  11 130
2004    10  10  21   9  18  10  11  11   5  13  13  10 141
2005    13  12  11   9  11  10   7   0   0   0   0   0  73
STDDEV   3   2   3   2   3   3   3   4   3   4   4   3  16
AVG      8   7   9  11  11  10   9   9   8   8   8   8 106
