# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1731] COLUMBUS-JCT-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia1731 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     66     22     15     10    308    176    150    124
 1952     90     44     36     30    407    264    235    207
 1953    167     82     65     50    274    152    126    102
 1954    123     49     34     24    500    320    282    246
 1955    161     89     74     59    524    344    305    270
 1956    138     66     54     43    350    226    200    175
 1957    126     48     33     23    423    261    226    196
 1958     87     32     21     13    385    235    201    168
 1959    141     70     58     50    377    222    191    164
 1960     38     17     12      9    471    309    273    240
 1961    144     66     54     43    270    141    116     97
 1962    103     53     44     36    398    249    217    189
 1963    246    141    123    107    488    323    286    249
 1964    124     62     50     38    432    266    232    200
 1965     22      6      4      2    370    215    184    156
 1966    233    124    101     79    331    193    166    141
 1967    233    150    132    114    430    261    226    192
 1968    302    177    153    133    432    273    239    208
 1969    108     55     46     38    452    286    247    211
 1970     92     30     21     14    453    302    268    237
 1971    119     55     47     41    475    322    289    258
 1972    169     91     78     67    376    227    199    172
 1973    243    110     86     65    387    224    193    166
 1974    202     99     81     68    489    324    286    251
 1975     79     39     31     23    317    184    158    135
 1976    214    106     88     72    481    310    273    238
 1977    257    142    123    106    570    385    343    303
 1978    103     53     43     34    380    228    198    171
 1979    137     73     61     51    288    157    130    107
 1980    122     47     35     25    390    242    210    183
 1981    237    124    103     86    543    359    319    282
 1982    127     43     31     23    333    209    182    157
 1983    179     99     81     67    263    136    116    100
 1984     52     13      7      3    330    184    154    127
 1985    216    105     85     67    550    371    334    301
 1986    253    156    137    118    518    346    309    275
 1987    239    128    109     95    514    343    307    273
 1988    226    123    102     84    414    266    235    205
 1989    191    110     94     80    407    248    214    183
 1990    251    136    114     94    393    243    211    183
 1991    234    126    105     88    455    281    245    210
 1992    219    110     91     73    356    208    180    155
 1993     92     44     34     28    315    172    147    124
 1994    188     97     81     66    426    280    248    217
 1995    225    131    112     94    310    174    146    119
 1996    115     50     37     27    370    224    195    169
 1997    218    114     94     75    296    177    151    127
 1998    182    111     98     88    360    200    168    139
 1999    158     76     61     49    401    237    202    170
 2000    280    163    139    116    412    252    221    192
 2001     81     21     12      6    548    361    321    282
 2002    150     68     53     42    407    255    223    194
 2003    194    107     92     78    450    295    261    230
 2004    233    114     94     75    473    304    267    233
 2005    147     79     66     56    475    307    269    234
     ****************************  ****************************
 MEAN  165.0   84.5   69.7   57.2  409.9  255.5  223.2  193.4
 STDV   67.0   42.5   37.8   33.2   78.1   63.1   58.8   54.4

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    727    505    452    405    798    559    501    444
 1952    611    403    358    316    983    743    684    626
 1953    635    420    375    333    989    749    689    630
 1954    547    363    322    283    979    741    683    628
 1955    696    477    431    389    766    532    479    429
 1956    746    527    478    434   1002    769    712    655
 1957    663    438    388    343    897    661    604    549
 1958    708    499    456    414    806    566    508    453
 1959    783    559    505    455    944    704    645    588
 1960    643    430    380    333    862    623    565    508
 1961    594    400    357    318    904    673    620    568
 1962    909    666    607    550    945    705    647    590
 1963    667    451    402    356    981    742    685    630
 1964    853    616    561    508    942    706    649    593
 1965    836    609    557    506    877    642    586    532
 1966    576    382    340    303    907    673    615    558
 1967    564    375    333    295    932    694    637    581
 1968    580    378    337    302    967    727    668    611
 1969    713    496    450    404    807    579    529    479
 1970    809    580    526    476    923    683    624    569
 1971    611    418    378    340   1040    800    740    680
 1972    709    488    439    391    883    651    597    543
 1973    613    398    350    307    956    716    656    596
 1974    653    446    400    355    783    554    503    457
 1975    771    553    504    459    919    683    626    573
 1976    617    414    372    331    913    673    614    558
 1977    903    664    607    551    949    712    654    598
 1978    662    445    400    356    942    703    647    592
 1979    697    488    442    397    941    702    644    587
 1980    761    538    485    436    917    681    625    570
 1981    627    422    377    333    968    728    668    608
 1982    814    576    518    463    811    572    517    466
 1983    589    379    336    295    966    728    670    614
 1984    601    398    356    317    995    755    696    637
 1985    777    541    486    435    864    627    569    514
 1986    718    485    432    380    985    746    687    629
 1987    875    640    587    537   1010    772    713    654
 1988    827    595    543    494    990    753    696    639
 1989    640    437    393    349    868    630    573    516
 1990    574    357    311    270    939    700    641    583
 1991    834    604    550    497   1011    771    711    651
 1992    679    472    427    382    861    624    566    512
 1993    699    471    419    371    878    645    588    532
 1994    661    450    405    362    941    702    643    585
 1995    582    358    308    266    931    691    631    571
 1996    583    369    323    280    905    666    607    549
 1997    522    327    284    245    915    675    616    558
 1998    815    570    513    458    869    634    580    526
 1999    715    477    426    377    919    679    621    564
 2000    775    544    491    439    874    635    577    521
 2001    711    481    429    380    872    635    578    524
 2002    600    399    356    316    969    729    670    612
 2003    627    405    361    321    849    609    551    496
 2004    782    555    502    451    893    653    595    539
 2005    595    391    348    309    997    757    697    638
     ****************************  ****************************
 MEAN  692.3  475.1  426.8  381.3  918.8  681.1  623.6  567.5
 STDV   98.6   86.9   82.8   78.2   63.2   62.0   60.7   58.8

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    991    743    681    620    934    686    624    564
 1952   1043    795    733    672    923    678    618    563
 1953   1052    804    742    681    980    733    673    616
 1954   1084    836    774    712    965    717    655    594
 1955   1139    891    829    767   1037    790    729    671
 1956   1007    759    697    635   1056    808    746    684
 1957   1106    858    796    734   1010    762    701    642
 1958    966    718    656    594    995    750    689    630
 1959   1010    763    702    641   1102    854    792    730
 1960   1023    775    713    652   1056    808    746    685
 1961   1026    778    716    654   1034    786    724    662
 1962   1018    770    709    649   1033    785    723    662
 1963   1060    812    750    689    977    729    668    609
 1964   1089    841    779    717    954    711    651    594
 1965   1013    765    703    641    967    720    659    599
 1966   1092    844    782    720    931    684    624    565
 1967    965    718    660    606    878    638    582    527
 1968   1037    789    728    667    993    745    685    627
 1969   1087    839    777    715    988    740    678    617
 1970   1026    779    718    659    989    741    679    618
 1971    969    725    666    609    941    695    636    582
 1972   1036    792    732    672   1001    755    695    637
 1973   1027    779    717    655   1026    778    716    654
 1974   1084    836    774    712    941    693    632    574
 1975   1050    803    742    682   1056    808    746    685
 1976   1071    823    761    700    951    703    644    585
 1977   1105    857    795    733    955    708    647    586
 1978   1054    806    744    682   1014    766    705    645
 1979   1039    791    730    669   1014    766    705    645
 1980   1120    872    810    748   1099    851    789    727
 1981   1052    804    742    681    999    751    690    630
 1982   1085    837    775    713    982    734    672    613
 1983   1138    890    828    766   1140    892    830    768
 1984   1010    762    701    640   1038    790    731    672
 1985   1051    803    741    679    950    702    640    579
 1986   1128    880    818    756    888    646    586    527
 1987   1131    883    821    760   1009    762    701    641
 1988   1101    853    791    730   1081    835    775    715
 1989   1074    826    764    702   1001    754    694    634
 1990   1029    781    719    657   1010    762    700    638
 1991   1051    803    741    679   1016    768    706    644
 1992    961    713    651    589    834    589    533    481
 1993   1037    789    727    665   1027    779    717    656
 1994    995    747    685    623    935    687    628    570
 1995   1058    810    749    689   1137    889    827    765
