# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1731] COLUMBUS-JCT-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia1731
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  35   2  33   5  46   4  40   6  41  10  37   6  36  11  34   8  40  13  48   4  46   1  37   2
  2  31   3  41   3  37   5  47   2  41  11  34   5  34  15  31   6  41  11  42   7  33   3  34   2
  3  32   5  38   3  34   5  45   5  39  10  39   5  35   9  33  10  41   9  42   5  38   5  39   6
  4  41   4  43   3  40   5  41   5  38   3  40   8  36   8  37  12  49  13  39   7  37   6  39   5
  5  41   3  38   2  41   3  48   5  41   7  38  12  33  12  35   7  35  12  37   8  34   4  33   3
  6  35   2  40   3  44   3  46   7  42   8  35   9  38  11  37   8  45   9  42   5  36   3  35   2
  7  33   4  33   2  40   6  49   8  41   5  39   8  34   9  37   7  38   9  42   5  43   4  32   2
  8  37   4  31   4  43   3  43   3  38   5  34   8  32  10  34   7  37   5  42   8  37   4  30   4
  9  34   5  31   4  42   4  43   7  39   6  36  13  36  12  31  13  41   7  39   3  38   4  31   3
 10  38   4  37   4  41   3  47   6  38   9  37  10  33  12  35  12  42   7  46   6  42   4  37   2
 11  41   4  40   4  37   4  40   3  39  10  38  10  34  10  38  10  41   8  50   8  44   4  33   3
 12  43   3  43   4  33   4  43   4  38   6  36  12  32  11  34  11  49  11  43   8  42   4  30   3
 13  36   3  40   3  35   5  44   7  44   9  35   8  35  10  36   7  40   9  39   8  44   5  38   5
 14  37   3  33   2  35   6  47   6  43  10  34  12  37   6  41  10  38   7  44   7  42   3  29   2
 15  49   2  37   2  41   5  41   9  40   7  32  10  35  10  33  10  38  10  41   9  44   4  34   4
 16  40   4  38   4  38   4  39   6  40   7  37  11  36  11  36   9  42   7  40   6  34   5  36   5
 17  38   3  37   2  39   6  46   9  39   8  37  13  37  11  36   9  35   5  37   7  33   6  36   2
 18  55   3  36   4  41   3  34  11  39   4  38   7  32  13  37   9  37   6  47   6  44   3  38   4
 19  48   3  36   4  40   4  37   7  38   4  42  11  33  10  33   7  37   6  42   8  37   4  39   3
 20  46   3  43   6  32   5  38   7  39  11  33  10  31   7  35  12  34   7  41   4  39   5  29   3
 21  42   3  35   3  33   5  42   6  38  10  37  11  37   6  35   7  40   9  41   5  36   4  41   5
 22  42   2  40   4  45   7  35   9  34  11  33   7  35  12  36   9  47  10  41   3  39   3  39   2
 23  37   3  34   4  40   3  44   8  40   9  41   9  34   7  35  10  42   6  40   5  42   5  29   4
 24  44   3  36   4  42   7  40   8  39   8  35   6  31  11  36   8  44   4  53   3  36   2  40   5
 25  34   4  37   5  42   5  38   7  36   4  37  14  33  13  41  10  39   8  45   4  32   5  33   4
 26  41   4  37   7  43   3  37   5  36   6  35  12  40   6  37  10  45   7  44   3  40   3  40   2
 27  39   4  39   3  41   3  36   7  37   6  45   8  40   9  37   6  44   8  44   5  33   3  36   5
 28  42   3  36   5  41   4  40   7  35   4  42  10  33  10  40   9  50   6  35   8  36   4  37   3
 29  35   0  37  11  39   6  39   7  37   9  33  10  30   8  37  11  44   8  45   5  38   6  41   4
 30  39   3  **  **  46   4  39   8  35  12  37  10  32   6  36   9  44   7  41   5  38   4  32   3
 31  40   4  **  **  45   6  **  **  40  12  **  **  35   4  36  11  **  **  43   4  **  **  45   4
