# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1731] COLUMBUS-JCT-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia1731
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0     20     76     95    230    178     40     30      0      0
 1952      0      0      0     12     44    284    313    177     69      5      0      0
 1953      0      0      0      3     69    280    326    274    137     63      0      0
 1954      0      0      0     25     24    316    366    209    116     30      0      0
 1955      0      0      0      6     51     80    469    348    121      3      0      0
 1956      0      0      0     12    106    338    280    316    112     20      0      0
 1957      0      0      0     22     37    181    399    289     46      0      0      0
 1958      0      0      0      8     52     98    194    275     81     19      0      0
 1959      0      0      0      1    130    223    256    387    153      0      0      0
 1960      0      0      0     40     30    131    276    315    171     15      0      0
 1961      0      0      0      0     32    204    275    291    154     30      0      0
 1962      0      0      0     21    196    227    258    297     84     57      0      0
 1963      0      0      3     17     51    297    333    241    123    123      0      0
 1964      0      0      0      8    148    238    383    237    136      3      4      0
 1965      0      0      0      6    134    141    257    234     88     17      0      0
 1966      0      0      0      2     30    192    390    184     55     10      0      0
 1967      0      0      9     10     57    196    238    128     56     30      0      0
 1968      0      0      0      2     14    261    296    265     61     50      0      0
 1969      0      0      0      0     87    123    343    236     71     33      0      0
 1970      0      0      0     41    120    208    315    232    107     14      0      0
 1971      0      0      0     20     33    344    226    208    195     46      0      0
 1972      0      0      0      0     91    180    312    284    154      7      0      0
 1973      0      0      0      1      8    224    284    285    104     33      0      0
 1974      0      0      0     19     51     92    390    181     37      2      0      0
 1975      0      0      0      0     95    212    352    336     59     30      0      0
 1976      0      0      0     23     25    182    347    199     66     22      0      0
 1977      0      0      0     51    190    228    406    192     90      0      0      0
 1978      0      0      2      0     87    219    297    261    205      3      0      0
 1979      0      0      0      0     76    211    286    281    105     22      0      0
 1980      0      0      0     20     86    204    436    372    140      2      0      0
 1981      0      0      0     25     37    228    309    235     79      1      0      0
 1982      0      0      0      0    101     94    339    232    116     25      0      0
 1983      0      0      0      1     11    266    479    488    156     22      0      0
 1984      0      0      0     13     26    258    266    319    122      8      0      0
 1985      0      0      0     56     72    151    318    194    196      0      0      0
 1986      0      0     12     34     46    258    393    142    147      3      0      0
 1987      0      0      0     33    163    324    462    310     80      2      0      0
 1988      0      0      0      1    111    332    454    435    108      3      0      0
 1989      0      0      5     16     58    153    341    245     46     17      0      0
 1990      0      0      3     30      5    217    278    256    161     13      2      0
 1991      0      0      4     17    175    282    323    273    163     12      0      0
 1992      0      0      0      5     67    142    191    111     67      7      0      0
 1993      0      0      0      0     43    185    270    271     30      8      0      0
 1994      0      0      0     23     49    228    231    186    105     14      0      0
 1995      0      0      0      0      6    204    328    398     57      5      0      0
 1996      0      0      0      1     52    202    219    225     71      6      0      0
 1997      0      0      0      0     14    182    300    189     87     62      0      0
 1998      0      0      9      0    106    185    304    289    174      4      0      0
 1999      0      0      0      3     49    207    415    188     81      5      3      0
 2000      0      0      0      0     90    152    229    293    166     18      3      0
 2001      0      0      0     21     76    181    354    268     67      1      0      0
 2002      0      0      0     39     41    252    380    245    142      9      0      0
 2003      0      0      0     19     21    141    292    323     69      7      0      0
 2004      0      0      0     26    107    166    237    145    121     10      0      0
 2005      0      0      0     19     27    277    342      0      0      0      0      0
 MEAN      0      0      1     14     69    209    320    259    106     18      0      0
