# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1833] CORNING
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia1833
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  42   2  57   1  50   2  49   3  48   4  34   7  42  11  37  11  40   7  48  10  40   3  39   5
  2  32   1  54   4  40   5  47   4  39   7  42   8  33   9  34  12  38  11  50   3  44   5  39   3
  3  37   2  41   6  42   4  62   2  52   6  35   5  35  11  37   9  38  10  40   2  39   3  49   5
  4  34   4  41   5  42   3  49   6  41   5  37   9  35  11  40  11  38   8  44   5  40   4  40   5
  5  39   7  43   4  41   5  46   6  37   8  37   6  40  10  33   6  39  11  38  11  43   3  33   4
  6  37   3  48   5  47   5  47   3  43   4  43  13  36   7  35   4  42   9  44   4  36   3  50   6
  7  40   5  47   4  45   2  52   2  44   6  40  12  38   7  31   5  39   6  43   6  40   2  36   3
  8  40   4  43   3  40   2  45   6  39   7  43   9  38  11  32   7  41   6  49   6  42   3  38   2
  9  37   3  37   3  45   6  49   6  35   7  49   6  39  10  35  10  39   7  43   8  37   4  42   4
 10  35   8  35   4  44   2  41   4  36  11  46   9  38  12  42   8  45   6  43   5  44   6  36   3
 11  38   5  38   5  44   6  42   2  43   8  38  11  32   9  36   9  44   7  44   6  39   3  39   4
 12  32   1  37   5  49   4  43   5  38  10  33   8  36   7  33   7  47  12  39   4  46   5  42   2
 13  43   5  42   4  44   6  42   5  37   5  42  11  37   7  37  10  38  12  40  10  38   4  53   6
 14  36   3  37   8  43   6  47   3  40  12  30  10  33  12  35  10  43   5  39   7  46   6  33   3
 15  36   2  41   4  48   5  47   5  40   6  34   8  39   7  35   9  42   8  43   9  39   7  44   4
 16  48   3  48   3  41   3  37   5  44   7  34   9  42   6  35   8  41   5  45   5  45   4  52   4
 17  35   5  44   8  49   6  46   4  45   9  37  13  34  11  32  11  38   6  37   6  38   4  33   3
 18  49   3  42   4  46   1  43   9  42   6  31  14  37  11  35   7  49   2  47   5  39   5  33   1
 19  38   5  41   3  42   3  44   5  42   8  37  15  33   6  36   8  43   5  45   5  43   2  45   5
 20  46   6  41   3  40   4  41   9  39  12  47   6  37   9  35   4  50   7  47   5  37   5  35   4
 21  47   3  56   6  43   7  40   6  38  11  36   6  37   4  33   8  46   7  44   2  44   5  40   5
 22  47   3  44   5  42   5  37   4  34   6  37  10  33   2  37  11  42   2  50   5  46   3  40   5
 23  44   4  39   3  51   4  47   7  35   3  33  10  34   6  39   7  40   6  41   5  34   4  36   4
 24  41   4  41   6  55   7  38   8  35   6  34   6  34  13  35   6  39   6  38   4  41   4  41   2
 25  49   7  47   3  57   4  39   4  35   7  34  12  40  13  40   9  44   8  41   6  38   3  36   4
 26  42   8  43   4  41   3  39   9  34   9  39   6  40  12  39  12  44   7  42   2  35   7  36   8
 27  35   5  40   2  41   4  45   1  34   4  39   4  35  10  36   8  49   7  42   7  41   5  34   7
 28  55   5  39   3  44   5  37   8  33   6  36  10  35   5  38  13  42   4  40   5  41   3  58   3
 29  44   5  39   7  40   5  41   7  39   5  36  14  44  13  43   5  44   7  40   4  41   3  46   5
 30  40   6  **  **  36   6  43   5  38   6  36   5  34  13  46  14  47   6  45   7  46   2  36   6
 31  44   4  **  **  42   5  **  **  35   3  **  **  40  13  37  12  **  **  42   2  **  **  37   2
