# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1833] CORNING
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    1    0    0    0
 Sep 16    3    0    0    0
 Sep 18    7    0    0    0
 Sep 20    8    0    0    0
 Sep 22   12    2    2    0
 Sep 24   16    5    2    0
 Sep 26   21    9    4    0
 Sep 28   29   10    6    0
 Sep 30   35   16    8    0
 Oct 02   40   20   10    0
 Oct 04   43   26   16    1
 Oct 06   53   32   19    2
 Oct 08   59   37   22    5
 Oct 10   66   43   25    7
 Oct 12   69   49   28   11
 Oct 14   75   53   33   14
 Oct 16   77   55   34   16
 Oct 18   82   58   38   16
 Oct 20   83   66   46   25
 Oct 22   84   67   48   26
 Oct 24   88   76   58   30
 Oct 26   91   83   66   34
 Oct 28   94   86   73   40
 Oct 30   96   88   77   45
 Nov 01   97   90   80   53
 Nov 03   97   91   82   60
 Nov 05   98   96   89   68
 Nov 07  100   99   93   72
 Nov 09  100  100   94   75
 Nov 11  100  100   95   82
 Nov 13  100  100   97   85
 Nov 15  100  100   98   86
 Nov 17  100  100   98   89
 Nov 19  100  100   98   91
 Nov 21  100  100   98   92
 Nov 23  100  100  100   95
 Nov 25  100  100  100   97
 Nov 27  100  100  100   99
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
