# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1954] CRESCO-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia1954   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    13 104          10     3 277          173
   1953   5    13 133          10     7 280          147
   1954   5     7 127          10    18 291          164
   1955   4     7  97          10    24 297          200
   1956   4    30 121          10     9 283          162
   1957   4    14 104          10    11 284          180
   1958   4    29 119          10     1 274          155
   1959   4    21 111          10    12 285          174
   1960   4    18 109          10    19 293          184
   1961   5     1 121           9    28 271          150
   1962   4    20 110          10    24 297          187
   1963   5     1 121          10    29 302          181
   1964   4    15 106          10     9 283          177
   1965   4    28 118          10    24 297          179
   1966   5    10 130          10    29 302          172
   1967   5     3 123          10    26 299          176
   1968   4    24 115          10    25 299          184
   1969   4     1  91          10    14 287          196
   1970   4    10 100          10    10 283          183
   1971   4    24 114          10    31 304          190
   1972   4     9 100          10    17 291          191
   1973   4    17 107          10    30 303          196
   1974   4    24 114           9    22 265          151
   1975   4    13 103          10     2 275          172
   1976   4    26 117           9    24 268          151
   1977   4     8  98          10    13 286          188
   1978   5     2 122          10     8 281          159
   1979   4    10 100          10     6 279          179
   1980   4    24 115          10     5 279          164
   1981   5    11 131          10     2 275          144
   1982   4    28 118          10    21 294          176
   1983   4    21 111          10    13 286          175
   1984   4     7  98           9    26 270          172
   1985   4     9  99          10    11 284          185
   1986   4    22 112          10    15 288          176
   1987   5     5 125          10     3 276          151
   1988   4    24 115          10     5 279          164
   1989   5     7 127          10     3 276          149
   1990   5     2 122          10    19 292          170
   1991   4    22 112           9    20 263          151
   1992   5     6 127           9    29 273          146
   1993   4    26 116          10    10 283          167
   1994   4    22 112          10    10 283          171
   1995   4    23 113          10    15 288          175
   1996   5    13 134          10     3 277          143
   1997   5    16 136          10    15 288          152
   1998   4    11 101          10    14 287          186
   1999   4    24 114          10     4 277          163
   2000   4    25 116          10     6 280          164
   2001   4    19 109          10     7 280          171
   2002   5     3 123          10    13 286          163
   2003   4    22 112          10     1 274          162
   2004   5     5 126          10     3 277          151
             MEAN=114              MEAN=283     MEAN=169
