# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1954] CRESCO-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   6  10  10   7   8   8  10   8   7   6   5  89
1952     6   2   6   4   9   8   7   8   2   0   2   4  58
1953     4   3   6  10   6   6   8   3   2   0   5   5  58
1954     1   2   7   7   6   9   6   4   8   9   2   4  65
1955     1   0   0   3  11   5  10   7   8  11   7   7  70
1956     6   3  10  11  14   8   8  11   8   9   7   5 100
1957     4   5   9   8  12  12   9  10  11   7  10   4 101
1958     5   0   5   9   6  11  10  11   8   4   6   4  79
1959     9   9   9   9  15   9   6   8  10  10   7   7 108
1960     5   3  12  10  15  11   8  11   8   5   5   3  96
1961     2   4  10  10   7   8  10   7  11  10   7   8  94
1962     4  11   6  12   9  10  11   8   7  10   1   2  91
1963     6   4   7   8   9   7   9   8   9   6   5   5  83
1964     2   1   9   9  13   9   6  11   9   1  10   9  89
1965     6   5  14  15  10   9  11  13  21   6   8   5 123
1966     6   7   8   9   8  14  10   6   7   4   5   4  88
1967     9  11   5   9   7  12   8  10   6   9   3   6  95
1968     8   5   6   9  11  14  12   8  13   0   6  10 102
1969     9   1   4  12  13  17  15   3   9   7   5   9 104
1970     6   4   4   9  10   8   7   6  14  12  10   5  95
1971     4   7   3   8   9   7  11   3  12  13   9  10  96
1972     5   6   9  14  14   9  12  13  10  13   5  11 121
1973     5   5  11  15  17   8  10   9  15   7   9   6 117
1974     4   8  10   0  13   9   8   8   5   7   5   0  77
1975     0   0   2   5  10  13   2  10   4   2  11   4  63
1976     5   4   9  11   7   7   7   5   6   7   1   7  76
1977     9   5  12  12  10  10   8  13   9   9  12  10 119
1978     6   8   3  14  11   9  16   8   8   8   9  10 110
1979    13   5   9  10  11  14   9  21   4  11  12   2 121
1980    10   5   9   5   7   5  10  20  10   9   3   5  98
1981     4  10   2  15   7  12   9  16   9   9   7   6 106
1982    12   5  10  10  18  10  12  10  11  10  11   7 126
1983     6   9  10  10  18  10  10   9  11  11  13  11 128
1984     5   5  10   9  13  11   7   5  10  15   6  12 108
1985    10   7  10  10   6   9  10  11  12  12  15   8 120
1986     6  10   5  13  13  13  12   9  17  10   7   5 120
1987     7   1   8   6  12  11   7  15  12   4  10  10 103
1988     6   5   6   8   2   6   8   9   9   4  11   6  80
1989     5   6   5  10   9   9   8  10   7   7   8   5  89
1990     4   5  10  11  11  17  11  11   6   5   6   8 105
1991     6   3   9  12  17   7  11   8  12  11  12  10 118
1992     6   7  11  10   9   7  12   8  13   3   6  11 103
1993     5   7   6  13  16  15  11  12  11   5   6  12 119
1994    11   8   4  10  11   9  15   8  11   8   7   5 107
1995     7   2  10  12  12   8  10  12  10  11   6   5 105
1996    10   4   6   9  15  13   8   8   7  12  12  10 114
1997    11   6   6   5  10  10  15  10   6   3   2   5  89
1998    11  10  14  13  10  13   9  13   6  14   5   6 124
1999    15   6   3  10  13  12  14  12   8   5   5   5 108
2000     9   5   9   6  16  19   6   8   7   8  11  14 118
2001    16   8   5  10  14  12   7   8   9  10   6   9 114
2002    10   9  15  19  15  20  16  15  16  20  12  10 177
2003    11  11  17  13  15  12  13  10  10  10  18  16 156
2004    17  15  22  12  25  19  15  20   7  19  13  13 197
2005    19  12  13  10  21  16  10   0   0   0   0   0 101
STDDEV   4   3   4   3   4   4   3   4   4   4   4   3  25
AVG      7   6   8  10  12  11  10  10   9   8   7   7 104
