# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1954] CRESCO-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    1    0    0    0
 Sep 14    1    0    0    0
 Sep 16    1    0    0    0
 Sep 18    3    0    0    0
 Sep 20    7    1    0    0
 Sep 22   18    3    1    0
 Sep 24   22    5    3    0
 Sep 26   29    7    3    0
 Sep 28   42   11    7    0
 Sep 30   57   16    9    0
 Oct 02   59   24   16    3
 Oct 04   66   31   20    5
 Oct 06   74   42   29    9
 Oct 08   77   44   33   11
 Oct 10   83   57   37   12
 Oct 12   85   64   37   14
 Oct 14   88   74   42   14
 Oct 16   92   74   48   16
 Oct 18   94   79   57   22
 Oct 20   94   83   62   24
 Oct 22   94   83   64   33
 Oct 24   94   88   72   40
 Oct 26   94   92   75   42
 Oct 28   96   96   77   46
 Oct 30  100  100   77   50
 Nov 01  100  100   83   61
 Nov 03  100  100   90   72
 Nov 05  100  100   94   79
 Nov 07  100  100   96   83
 Nov 09  100  100   98   85
 Nov 11  100  100  100   88
 Nov 13  100  100  100   90
 Nov 15  100  100  100   94
 Nov 17  100  100  100   96
 Nov 19  100  100  100   98
 Nov 21  100  100  100   98
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
