# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2110] DECORAH-2-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia2110   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    29 272          156
   1952   4    24 115          10     3 277          162
   1953   4    27 117          10     7 280          163
   1954   5     7 127          10     7 280          153
   1955   4     8  98           9    11 254          156
   1956   4    30 121           9    20 264          143
   1957   5     5 125           9    27 270          145
   1958   5     5 125          10     1 274          149
   1959   4    22 112          10    17 290          178
   1960   4    18 109          10    20 294          185
   1961   5     2 122           9    28 271          149
   1962   4    19 109          10    24 297          188
   1963   5    23 143          10    29 302          159
   1964   4    15 106           9    28 272          166
   1965   4    28 118          10    13 286          168
   1966   5    10 130          10     6 279          149
   1967   5     6 126           9    29 272          146
   1968   5     5 126          10     4 278          152
   1969   5    12 132          10    14 287          155
   1970   4    10 100          10    16 289          189
   1971   5     3 123          11     6 310          187
   1972   4     9 100           9    30 274          174
   1973   4    13 103          10    30 303          200
   1974   5     6 126           9    22 265          139
   1975   4    22 112          10     2 275          163
   1976   4    27 118          10     6 280          162
   1977   4     8  98          10    10 283          185
   1978   5     1 121          10    28 301          180
   1979   4    10 100          10    26 299          199
   1980   4    24 115          10    12 286          171
   1981   4    15 105          10    19 292          187
   1982   4    21 111          10    21 294          183
   1983   4    20 110          10    13 286          176
   1984   4     1  92           9    29 273          181
   1985   4     9  99          11     3 307          208
   1986   4    22 112          10    15 288          176
   1987   4     6  96          10     3 276          180
   1988   4    28 119          10     5 279          160
   1989   5     6 126          10     4 277          151
   1990   4    18 108          10    11 284          176
   1991   4     2  92           9    20 263          171
   1992   5     6 127           9    29 273          146
   1993   4    22 112          10     2 275          163
   1994   5     1 121          11     1 305          184
   1995   4    22 112           9    23 266          154
   1996   5    13 134          10     3 277          143
   1997   5    16 136          10    20 293          157
   1998   4    17 107          10    22 295          188
   1999   3    27  86          10     4 277          191
   2000   4    22 113          10     7 281          168
   2001   4    18 108          10     7 280          172
   2002   5     3 123          10    13 286          163
   2003   4    22 112           9    29 272          160
   2004   5     3 124          10     2 276          152
             MEAN=114              MEAN=282     MEAN=168
