# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2110] DECORAH-2-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2110
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     6     2     0     8        0     0    13     6     0    19
 1952     2    10    16     3     7    38        4    36    61     7    13   121
 1953     3     8     7    10     3    31       10    43    20    43    18   134
 1954     0     9    14     4     4    31        0    35    64     8    12   119
 1955     1     2    22    18     8    51        2     8   150   145    55   360
 1956     1    16     6     7     0    30        4    74    21    28     0   127
 1957     0     2    14     5     1    22        0     3    65    20     2    90
 1958     0     2     1    14     1    18        0     4     3    48     3    58
 1959     2     6     6    13     3    30        5    14    18    45    15    97
 1960     0     0     8     5     7    20        0     0    28    16    43    87
 1961     1     8     6    10     3    28        3    31    19    26     6    85
 1962     2     3     1     7     1    14        2     6     3    17     1    29
 1963     0    13    10     7     0    30        0    63    29    10     0   102
 1964     3    11    21     6     4    45        7    44   144    62     8   265
 1965     1     3     6     9     0    19        1     5    38    52     0    96
 1966     2     9    18     8     1    38        6    31    99    23     1   160
 1967     4     1    11     2     0    18       19     4    32     3     0    58
 1968     0     6     5    11     0    22        0    23    15    60     0    98
 1969     3     0     8     9     0    20        5     0    28    20     0    53
 1970     2     5    19     8     0    34        6    28    70    16     0   120
 1971     0    13     1     5     3    22        0    51     2    13    10    76
 1972     2     4     3    10     0    19        3     7     6    37     0    53
 1973     0     4     4     5     1    14        0    14    14    16     1    45
 1974     0     0    13     0     0    13        0     0    50     0     0    50
 1975     2     3    12     7     0    24        3     5    34    25     0    67
 1976     0     3    13     7     1    24        0     5    47    10     2    64
 1977     0     8    13     1     0    22        0    31    56     1     0    88
 1978     3     3     4     7     7    24        7     8    11    19    43    88
 1979     0     0     3     4     0     7        0     0     4     7     0    11
 1980     2     2    11     5     3    23        2    14    56    14     8    94
 1981     0     2     7     1     0    10        0     4    22     2     0    28
 1982     0     1     6     4     0    11        0     2    24    17     0    43
 1983     0     6    16    16     5    43        0    25    70    75    13   183
 1984     0     2     8     9     5    24        0     5    19    49    17    90
 1985     0     4     6     7     3    20        0    30    29    30    12   101
 1986     1     6    15     4     1    27        2    23    67     6     2   100
 1987     4    15    22     5     1    47        9    81    81    24     2   197
 1988     5    22    20    17     4    68       18   135   140   150    16   459
 1989     0     3    17     7     0    27        0     4   110    48     0   162
 1990     0     5     6     4     4    19        0    10    29    16    18    73
 1991     3    10    15     9     1    38        6    53    51    36     2   148
 1992     2     4     1     3     0    10        7    14     1    10     0    32
 1993     0     0     0     5     0     5        0     0     0     9     0     9
 1994     0     6     2     2     3    13        0    27     4     3    10    44
 1995     0     9    13    18     0    40        0    44    81    62     0   187
 1996     3     7     3     4     0    17        4    31    13    18     0    66
 1997     0     5    13     3     0    21        0    13    36     5     0    54
 1998     7     6     6     4     7    30       25    25    13     8    22    93
 1999     0     8    17     3     3    31        0    19    91     3    11   124
 2000     0     3     3     4     5    15        0     9     9    12    14    44
 2001     3    10    20    10     0    43       12    37    75    60     0   184
 2002     2     8    18     3     5    36        5    26    74     8    20   133
 2003     0     4    10    15     4    33        0    11    20    98    19   148
 2004     0     6     3     2     1    12        0    11     7     4     1    23
 2005     0     9    16     0     0    25        0    44    62     0     0   106
 **************************************************************************************
MEANS   1.2   5.7   9.9   6.7   2.0  25.5      3.2  23.1  42.3  28.2   7.6 104.5
