# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2171] DENISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia2171
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  54 -20  56 -20  74 -18  83  13  92  26  88  39  96  45  97  50  94  39  91  25  72  16  61  -2
  2  53 -13  65 -27  70   0  87  16  90  24  91  42  99  50  98  53  92  43  92  26  75   8  67  -3
  3  54 -14  51 -23  73  -3  83   6  86  27  95  31  98  48  96  49 102  34  90  29  74   5  59  -4
  4  50 -19  52 -17  72 -13  79  16  90  27  96  40  95  45  95  49  95  41  90  28  75  -1  58  -3
  5  59 -16  55 -18  70 -23  85  18  90  30  97  42  97  48  95  48  94  36  92  29  72   6  63  -4
  6  47 -14  55 -14  74  -8  88   8  88  31  93  39  99  52  94  50  95  38  90  22  73   3  63 -13
  7  52 -22  66 -13  75  -9  84  17  94  29  93  46  96  49  95  47  96  39  89  25  74  -8  59 -12
  8  62 -17  58 -20  75  -8  84  12  88  28  99  41  96  49  98  49  95  40  81  22  74   2  57 -14
  9  60 -19  61 -19  76  -5  86  13  88  28  95  43 100  46  92  47  99  42  83  23  79  15  52 -16
 10  53 -26  63 -12  71  -3  84  16  90  32 100  44  96  50  98  47  91  38  81  23  71   4  59 -10
 11  55 -16  69 -22  71  -6  87  22  89  31  96  44 102  51  94  47  94  37  86  24  69  -5  62  -8
 12  57 -23  67 -16  74  -9  80  15  94  32  94  46 100  48  96  44  93  37  89  25  68   1  59 -13
 13  62 -19  59  -9  71  -6  79  16  90  29  98  39 100  51  95  42  91  36  90  22  71  -3  55 -15
 14  52 -23  63 -16  66  -6  86  19  90  35  98  45  99  48  98  47  92  38  84  26  78  -9  59 -15
 15  62 -22  56 -12  71   1  87  18  91  28  94  43  97  49  99  48  96  33  85  25  67  12  55 -17
 16  56 -23  62 -29  76   6  90  22  91  36  94  43  97  50 100  52  94  36  80  23  73  -1  61 -11
 17  55 -15  63 -27  74   2  84  21  90  39  91  44  99  54 100  49  93  32  82  21  74  -6  60 -14
 18  56 -21  62  -9  74   2  91  18  92  36  97  50 100  53 100  46  94  37  80  24  68   4  63 -19
 19  51 -21  65 -12  77  -4  90  24  91  36  97  47 102  55  98  43  91  29  83  14  72   7  55 -22
 20  58 -24  62  -8  69   3  87  24  89  35 100  44 102  50  97  43  91  31  88  12  67   7  57 -22
 21  59 -27  65 -10  71  -1  90  23  88  36 101  44 105  51 100  46  89  30  83  26  69  -2  50 -23
 22  55 -15  63 -10  78   4  94  27  89  30  96  46  98  51  97  47  89  28  83  20  66   5  54 -26
 23  59 -20  57  -9  76   3  88  21  90  30  95  46  99  50  93  45  83  30  81  18  61   4  56 -25
 24  65 -17  65  -9  83   0  90  19  96  41 100  47  94  56  96  45  86  30  79  23  62   5  51 -25
 25  55 -14  66  -7  75   3  89  26  99  40  97  43  98  55  98  43  88  35  78  21  73  -2  49 -20
 26  59 -20  63 -18  80   1  91  28  93  35  96  47 102  46 100  49  89  29  81  22  61  -6  58 -13
 27  68 -18  67  -9  80   6  88  30  89  38  97  45 101  49 102  43  91  34  81  18  65   0  55 -14
 28  54 -19  65 -18  84   6  88  27  90  35  97  51  99  51  98  43  93  29  82  15  69  -7  62  -6
 29  50 -24  66 -10  88   1  87  22  89  35  95  50 100  47  95  47  89  28  79  18  58  -4  58 -11
 30  53 -18 *** ***  85   5  89  27  88  38  93  50 104  44  95  48  88  24  74  17  67  -6  57 -14
 31  59 -18 *** ***  84  12 *** ***  91  40 *** *** 105  48  99  41 *** ***  79  15 *** ***  52 -18
