# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2171] DENISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia2171
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      4     25     62    205    173     21     17      0      0
 1952      0      0      0      4     30    257    255    131     90      0      0      0
 1953      0      0      0      0     52    255    291    222     78     26      0      0
 1954      0      0      0      8     22    252    369    193     98     11      0      0
 1955      0      0      0     14     48    104    450    380    149      7      0      0
 1956      0      0      0      1     68    303    206    246     60     21      0      0
 1957      0      0      0      6     19    107    383    256     19      0      0      0
 1958      0      0      0      3     50    109    148    257     78     16      0      0
 1959      0      0      0      1     57    220    228    353     95      0      0      0
 1960      0      0      0     18     19     80    219    237    114      5      0      0
 1961      0      0      0      6     25    115    235    223     75      2      0      0
 1962      0      0      0      5    102    121    219    200     40     37      0      0
 1963      0      0      0      7     41    262    317    209     75     49      0      0
 1964      0      0      0      3    101    152    348    136     83      1      0      0
 1965      0      0      0      4     85    135    258    207     19     12      0      0
 1966      0      0      0      2     39    156    356    145     43      4      0      0
 1967      0      0      8     14     75    121    227    175     21     12      0      0
 1968      0      0      2      3     15    230    259    212     35     21      0      0
 1969      0      0      0      0     63     84    286    232     54     20      0      0
 1970      0      0      0     24     96    185    292    263    118     11      0      0
 1971      0      0      0      2     11    283    196    224    137     21      0      0
 1972      0      0      0      3     71    173    216    216     79      0      0      0
 1973      0      0      0      0     22    211    263    265     48     19      0      0
 1974      0      0      0     10     35    161    444    124     27      0      0      0
 1975      0      0      0      0     79    145    327    288     47     27      0      0
 1976      0      0      0     17     29    187    356    292     91     25      0      0
 1977      0      0      0     32    114    240    370    175     59      0      0      0
 1978      0      0      2      0     36    183    238    193    133      0      0      0
 1979      0      0      0      0     41    165    222    223     92      4      0      0
 1980      0      0      0     26     58    164    375    214     82      6      0      0
 1981      0      0      0     18     25    215    266    158     73      0      0      0
 1982      0      0      0      0     21     54    258    145     38      5      0      0
 1983      0      0      0      0      6    133    379    424    146     10      0      0
 1984      0      0      0      5     20    190    278    310    112      2      0      0
 1985      0      0      0     41     78    140    289    150    130      0      0      0
 1986      0      0      9      3     34    236    352    141    107      0      0      0
 1987      0      0      0     37    134    306    386    214     71      2      0      0
 1988      0      0      0      5    113    316    309    349     69      0      0      0
 1989      0      0      3     33     44    129    333    232     66     15      0      0
 1990      0      0      0     29      6    224    226    246    167     10      0      0
 1991      0      0      4     17    131    221    260    217    114      3      0      0
 1992      0      0      0      9     42    122    134     97     58      9      0      0
 1993      0      0      0      0     21    126    221    212     15     16      0      0
 1994      0      0      0     22     78    201    170    143    103      0      0      0
 1995      0      0      0      0      0    180    311    391     70     14      0      0
 1996      0      0      0      5     36    184    164    153     51     10      0      0
 1997      0      0      0      0     12    202    343    233     95     56      0      0
 1998      0      0      1      0     75    133    298    257    164      4      0      0
 1999      0      0      0      0     25    138    355    161     58      3      0      0
 2000      0      0      0      0     67    148    252    291    137     13      0      0
 2001      0      0      0     15     52    158    340    261     42      7      0      0
 2002      0      0      0     13     33    253    373    203    117     10      0      0
 2003      0      0      0     18     16    129    257    307     59     24      0      0
 2004      0      0      0      5     61    111    196    122    137      3      0      0
 2005      0      0      0      3     29    222    340      0      0      0      0      0
 MEAN      0      0      1      9     49    176    285    224     81     11      0      0
