# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2364] DUBUQUE-LOCK-AND-DAM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia2364 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     22      1      0      0    178     80     64     53
 1952     47     18     14     10    344    210    184    161
 1953    112     43     31     21    188     73     53     38
 1954     63     16     11      7    389    225    193    165
 1955    101     41     30     21    475    282    245    210
 1956     53     16      9      4    259    137    114     93
 1957     86     30     20     15    372    221    191    163
 1958     54     13      7      5    341    188    156    128
 1959     58     20     15     11    314    164    136    111
 1960     27     12      9      6    383    224    195    168
 1961     69     27     22     18    210     99     79     62
 1962     53     25     21     18    304    179    155    133
 1963    143     87     75     64    391    237    202    170
 1964     83     32     22     14    347    193    164    138
 1965     15      4      2      1    252    135    111     90
 1966    149     64     47     34    227    107     84     65
 1967    114     54     44     37    330    183    151    125
 1968    240    130    112     95    403    240    205    175
 1969     81     38     30     22    358    195    161    129
 1970     49      4      2      1    380    230    200    173
 1971     68     33     27     21    368    219    189    160
 1972     64     18     13      9    260    136    112     90
 1973    205     81     62     47    309    168    144    121
 1974     96     34     29     24    409    238    202    173
 1975     31      3      1      0    213    104     85     68
 1976    154     78     64     53    411    246    210    175
 1977    212    104     84     68    510    338    300    266
 1978     77     33     27     21    335    197    167    140
 1979     63     24     18     13    249    132    111     94
 1980     55     14      8      4    345    202    174    149
 1981    189     96     80     66    427    253    217    184
 1982     82     27     20     15    279    164    139    115
 1983    118     53     42     33    241    124    102     84
 1984     36      5      1      0    313    166    136    107
 1985    161     64     48     35    518    347    313    281
 1986    208    120    103     89    456    292    258    225
 1987    179     89     73     60    482    305    272    242
 1988    156     70     52     37    379    226    198    171
 1989    124     68     58     50    343    188    157    130
 1990    192     89     74     61    399    245    215    188
 1991    178     80     63     51    432    267    233    200
 1992    160     72     56     43    290    150    125    103
 1993     52     19     14     11    284    152    126    105
 1994     94     39     31     25    345    209    181    155
 1995    151     81     66     53    211    105     84     64
 1996     81     29     20     15    264    147    127    109
 1997    106     46     37     30    273    155    133    112
 1998    134     77     66     57    325    172    145    120
 1999    109     46     37     28    362    192    159    131
 2000    213    116     98     83    312    180    154    134
 2001     48      7      4      3    407    243    210    183
 2002     86     33     24     16    329    201    176    152
 2003    119     60     50     41    350    219    191    167
 2004    165     78     61     46    377    221    187    156
 2005    104     53     46     40    433    271    238    207
     ****************************  ****************************
 MEAN  107.1   47.5   37.8   30.0  339.7  195.9  167.5  142.0
 STDV   57.3   33.3   28.5   24.3   80.3   60.9   56.3   51.7

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    650    428    377    328    728    491    433    376
 1952    608    379    331    285    977    737    677    618
 1953    604    379    333    293    948    708    648    589
 1954    502    304    261    224    961    721    663    608
 1955    729    493    438    387    823    583    525    468
 1956    631    413    366    321    990    750    692    635
 1957    568    345    297    252    867    627    568    511
 1958    675    455    406    359    762    522    462    405
 1959    760    526    472    420    943    703    643    583
 1960    589    380    332    286    822    582    522    464
 1961    556    345    301    262    893    653    594    537
 1962    771    536    481    428    855    615    556    500
 1963    615    395    347    302    976    736    677    619
 1964    819    573    515    461    929    689    629    570
 1965    739    505    450    402    876    636    576    519
 1966    529    333    293    256    909    670    612    554
 1967    509    317    278    241    917    677    618    561
 1968    570    344    295    254    923    683    623    565
 1969    673    453    403    355    773    538    481    426
 1970    740    510    457    409    928    688    628    570
 1971    593    380    338    298   1038    798    738    678
 1972    753    522    471    421    851    616    561    506
 1973    578    355    305    257    968    728    668    608
 1974    569    343    294    249    819    579    519    462
 1975    758    516    460    406    936    696    636    576
 1976    582    368    320    278    914    674    614    555
 1977    879    640    581    524    875    637    578    520
 1978    675    459    412    366    895    655    597    541
 1979    591    374    327    283    860    620    561    502
 1980    716    489    437    392    880    641    583    526
 1981    604    394    348    306    892    652    592    532
 1982    796    553    496    442    780    542    486    434
 1983    545    332    286    245    958    719    660    603
 1984    581    366    324    285    971    731    671    612
 1985    797    553    495    444    844    604    546    488
 1986    713    482    428    377    952    713    654    596
 1987    815    580    530    481   1025    785    725    665
 1988    815    575    523    474   1014    774    714    657
 1989    674    459    410    365    918    678    618    559
 1990    588    369    323    281    948    710    652    595
 1991    844    614    561    509   1049    809    749    689
 1992    720    500    452    406    889    651    592    535
 1993    703    465    413    364    871    635    577    520
 1994    628    421    377    336    943    703    644    587
 1995    577    341    290    247    955    715    655    596
 1996    531    316    270    228    895    655    595    538
 1997    461    272    235    201    928    688    628    569
 1998    794    546    484    425    851    611    553    497
 1999    682    443    392    348    927    687    627    568
 2000    692    467    417    369    842    602    542    484
 2001    738    495    440    390    867    628    574    520
 2002    527    332    291    254    945    705    645    585
 2003    568    340    296    257    827    587    528    474
 2004    640    419    371    329    856    616    558    500
 2005    560    359    312    269   1018    778    718    658
     ****************************  ****************************
 MEAN  656.8  433.7  384.4  338.7  905.5  666.0  607.0  549.3
 STDV  101.2   90.0   85.8   81.2   70.1   69.6   69.1   68.2

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    936    688    626    564    862    614    552    492
 1952   1100    852    790    728    955    707    646    586
 1953   1056    808    746    684   1011    763    701    639
 1954   1078    830    768    706    977    729    667    606
 1955   1177    929    867    805   1108    860    799    738
 1956    992    744    682    620   1019    771    709    647
 1957   1096    848    786    724   1000    752    690    628
 1958    972    724    662    600   1003    756    695    634
 1959   1012    764    702    641   1110    862    800    738
 1960   1004    756    694    632   1041    793    731    669
 1961    981    733    671    609   1027    779    717    655
 1962    941    693    631    570    977    729    667    605
 1963   1068    820    758    696    974    726    664    604
 1964   1111    863    801    739    948    700    639    578
 1965   1031    783    721    659    962    714    652    592
 1966   1070    822    760    698    946    698    636    576
 1967    960    712    650    590    833    588    531    476
 1968   1015    767    705    643   1007    759    697    636
 1969   1080    832    770    708   1082    834    772    710
 1970   1091    843    781    719   1031    783    721    659
 1971    982    734    673    612    980    732    671    610
 1972   1017    769    707    645   1033    785    723    661
 1973   1086    838    776    714   1069    821    759    697
 1974   1115    867    805    743    961    713    651    589
 1975   1087    839    777    715   1051    803    741    679
 1976   1051    803    741    679    975    727    665    604
 1977   1092    844    782    720    890    642    580    519
 1978   1027    779    717    655   1002    754    692    631
 1979    980    732    670    608    919    671    609    548
 1980   1120    872    810    748   1044    796    734    672
 1981   1019    772    711    651    956    708    646    585
 1982   1083    835    773    711    983    735    673    612
 1983   1064    816    755    694   1150    902    840    778
 1984   1026    778    716    654   1069    821    759    698
 1985   1075    827    765    703    963    715    653    591
 1986   1125    877    815    753    925    677    616    556
 1987   1147    899    837    775   1001    753    691    629
 1988   1131    883    821    760   1116    868    806    744
 1989   1121    873    811    749   1013    765    703    641
 1990   1052    804    742    680   1021    773    711    650
 1991   1099    851    789    727   1049    801    739    677
 1992    953    705    643    581    901    653    591    529
 1993   1053    805    743    681   1045    797    735    673
 1994    987    740    679    618    904    659    598    537
 1995   1063    815    753    691   1175    927    865    803
 1996    994    746    684    622    999    751    689    627
 1997   1021    773    711    649    913    665    603    541
 1998   1068    820    758    696   1051    803    741    679
 1999   1133    885    823    761    970    722    660    598
 2000   1016    768    706    644   1024    776    714    652
 2001   1102    854    792    730   1044    796    734    672
 2002   1114    866    804    742    996    748    686    624
 2003   1040    792    730    668   1080    832    770    708
 2004    989    741    679    617    861    613    551    491
 2005   1077    829    767    705      0      0      0      0
     ****************************  ****************************
 MEAN 1052.4  804.4  742.5  680.7  981.9  738.6  677.9  617.7
 STDV   56.9   56.9   56.9   56.7  152.1  123.4  116.4  109.5

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    590    370    321    275    419    239    205    175
 1952    736    505    453    404    309    182    157    132
 1953    722    496    443    393    570    372    330    292
 1954    769    540    483    427    408    240    203    169
 1955    795    561    506    454    454    270    233    198
 1956    683    457    404    354    593    375    328    286
 1957    676    450    397    348    364    196    163    133
 1958    756    519    462    411    510    311    270    232
 1959    764    535    483    433    306    150    117     87
 1960    802    563    506    452    432    251    215    183
 1961    724    503    452    403    453    270    232    198
 1962    629    411    363    319    514    317    274    234
 1963    741    512    459    407    739    505    451    400
 1964    728    504    452    402    394    226    193    163
 1965    663    435    381    332    446    258    219    183
 1966    694    467    413    365    413    245    210    177
 1967    681    462    412    366    382    221    192    165
 1968    712    476    420    367    477    294    254    218
 1969    764    525    469    420    400    229    196    169
 1970    749    516    462    410    479    280    236    195
 1971    838    603    548    493    642    423    374    327
 1972    774    549    494    440    338    172    142    115
 1973    738    503    448    395    584    373    326    283
 1974    630    407    359    313    442    259    219    182
 1975    620    400    352    305    516    324    282    244
 1976    689    469    420    375    321    180    155    134
 1977    742    504    447    391    368    188    153    122
 1978    835    601    545    492    374    200    162    129
 1979    745    513    460    409    390    206    168    138
 1980    739    510    456    406    346    194    165    138
 1981    693    469    421    374    380    211    177    146
 1982    719    488    436    387    497    298    258    223
 1983    767    543    489    437    471    275    236    199
 1984    747    528    477    428    513    316    273    231
 1985    759    535    483    436    423    238    203    171
 1986    777    541    485    430    443    250    211    176
 1987    747    507    449    395    328    175    145    119
 1988    835    595    538    482    334    179    149    124
 1989    702    489    441    395    491    309    271    238
 1990    832    600    545    493    437    262    227    193
 1991    735    524    475    426    431    247    213    182
 1992    711    488    438    389    424    240    204    174
 1993    599    375    325    279    426    257    219    185
 1994    771    533    476    424    470    279    239    203
 1995    670    448    400    355    411    248    215    187
 1996    703    467    414    366    409    242    203    169
 1997    753    516    460    407    450    285    251    219
 1998    856    617    559    501    436    240    201    166
 1999    681    455    405    360    395    235    202    173
 2000    744    517    466    417    511    316    276    239
 2001    682    456    403    352    356    197    167    139
 2002    808    575    520    468    317    177    152    130
 2003    698    480    433    388    410    251    218    187
 2004    848    610    552    496    421    227    191    158
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  719.4  494.9  442.9  393.6  428.5  252.8  216.8  184.2
 STDV  116.1   88.6   81.8   75.2  102.4   74.7   68.0   61.6
