# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2364] DUBUQUE-LOCK-AND-DAM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia2364   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10    31 304          191
   1952   4    14 105          10     5 279          174
   1953   4    27 117          11     5 309          192
   1954   5     7 127          10    19 292          165
   1955   4     7  97          11     3 307          210
   1956   4    30 121           9    20 264          143
   1957   4    15 105          10    25 298          193
   1958   4    29 119          11     6 310          191
   1959   4    21 111          10    12 285          174
   1960   4    18 109          10    20 294          185
   1961   4    29 119          10     2 275          156
   1962   4    20 110          10    24 297          187
   1963   4    10 100          11     2 306          206
   1964   4     9 100          10    10 284          184
   1965   4    16 106          11     9 313          207
   1966   5     9 129          10    17 290          161
   1967   4    24 114          10    10 283          169
   1968   4    25 116          10    25 299          183
   1969   4     1  91          10    23 296          205
   1970   4     6  96          11    14 318          222
   1971   4     7  97          11     4 308          211
   1972   4    25 116          10    18 292          176
   1973   4    13 103          11     5 309          206
   1974   4     9  99          10     2 275          176
   1975   4    13 103          11    13 317          214
   1976   4    27 118          10     8 282          164
   1977   4     6  96          11    10 314          218
   1978   5     1 121          11     1 305          184
   1979   4    10 100          10    14 287          187
   1980   5    14 135          10    27 301          166
   1981   4    21 111          10    19 292          181
   1982   4    21 111          10    21 294          183
   1983   4    20 110          10    13 286          176
   1984   4     1  92          10    29 303          211
   1985   4     9  99          11     5 309          210
   1986   4    23 113          11     2 306          193
   1987   4     4  94          10    11 284          190
   1988   4    14 105          10    25 299          194
   1989   5     6 126           9    24 267          141
   1990   4    18 108          10    19 292          184
   1991   3    30  89          10    19 292          203
   1992   4    12 103          10    17 291          188
   1993   4    17 107          10    29 302          195
   1994   4     8  98          11    10 314          216
   1995   4    11 101          11     3 307          206
   1996   4    10 101          10    19 293          192
   1997   4    18 108          10    22 295          187
   1998   3    25  84          11     4 308          224
   1999   3    28  87          10    24 297          210
   2000   4    13 104          10     7 281          177
   2001   4    18 108          10    17 290          182
   2002   4     7  97          10    19 292          195
   2003   4    11 101          10     2 275          174
   2004   4    15 106          10    17 291          185
             MEAN=106              MEAN=295     MEAN=189
