# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2689] EMMETSBURG
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia2689   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   4    16 107          10     5 279          172
   1953   5    13 133           9    22 265          132
   1954   5     8 128          10     7 280          152
   1955   4     7  97          10     8 281          184
   1956   4    30 121           9    30 274          153
   1957   5     5 125          10    10 283          158
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10     9 282          170
   1960   4    30 121          10    19 293          172
   1961   5     2 122           9    28 271          149
   1962   4    19 109          10    23 296          187
   1963   5    23 143          10    29 302          159
   1964   4    10 101           9    28 272          171
   1965   4    28 118           9    26 269          151
   1966   5    12 132          10     1 274          142
   1967   5     6 126           9    28 271          145
   1968   5     5 126          10     4 278          152
   1969   4    29 119          10    14 287          168
   1970   5     2 122          10     9 282          160
   1971   5     3 123          10    28 301          178
   1972   4    25 116           9    30 274          158
   1973   5    15 135          10    29 302          167
   1974   5     6 126           9    22 265          139
   1975   4    20 110          10     2 275          165
   1976   5     3 124          10     6 280          156
   1977   4     8  98          10    12 285          187
   1978   5     2 122          10     8 281          159
   1979   5     4 124          10     9 282          158
   1980   5     9 130          10     3 277          147
   1981   5    10 130          10     2 275          145
   1982   4    22 112          10    16 289          177
   1983   4    24 114           9    21 264          150
   1984   5     1 122           9    26 270          148
   1985   4    10 100           9    26 269          169
   1986   5     2 122          10    13 286          164
   1987   4     4  94          10     3 276          182
   1988   4    26 117          10     4 278          161
   1989   5     7 127           9    23 266          139
   1990   5     2 122          10    10 283          161
   1991   4    24 114           9    19 262          148
   1992   4    25 116           9    29 273          157
   1993   4    14 104          10     2 275          171
   1994   5     2 122          10    10 283          161
   1995   4    27 117           9    22 265          148
   1996   4    27 118          10     3 277          159
   1997   5    15 135          10    14 287          152
   1998   4    18 108          10     8 281          173
   1999   4    19 109          10     2 275          166
   2000   4    17 108          10     6 280          172
   2001   4    18 108          10     6 279          171
   2002   5     2 122          10     7 280          158
   2003   4    11 101          10     1 274          173
   2004   5     3 124          10     2 276          152
             MEAN=117              MEAN=278     MEAN=161
