# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2689] EMMETSBURG
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2689
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     2     0     6        0     0     8     5     0    13
 1952     3    14     9     1     7    34        8    55    31     2    16   112
 1953     2    10    10     8     3    33        5    53    30    34    12   134
 1954     0     8    13     1     0    22        0    25    67     3     0    95
 1955     2     2    19    20     7    50        2     9   136   159    48   354
 1956     2    17     5     9     5    38        4   111    14    58    25   212
 1957     0     4    20     9     1    34        0    11   119    43     3   176
 1958     2     5     2    18     3    30        3    23     8   112    10   156
 1959     2    11     9    18     5    45       10    52    39    84    20   205
 1960     0     3    12     9     7    31        0     5    47    30    43   125
 1961     2     9     6    10     2    29        3    42    19    31     3    98
 1962     3     4     6     8     1    22        6    11    14    22     4    57
 1963     1    14     9     7     3    34        1    86    33    22     6   148
 1964     5     9    22     7     2    45       17    41   111    25     4   198
 1965     1     5    14    10     0    30        3    10    64    63     0   140
 1966     1     9    18     9     1    38        4    33   127    31     3   198
 1967     4     1    11     5     1    22       21     4    49    17     1    92
 1968     1    10     7     9     0    27        1    60    28    55     0   144
 1969     4     1     9    11     0    25       11     5    43    22     0    81
 1970     6    15    17    11     6    55       24    63    80    43    27   237
 1971     1    15     6    10     6    38        1    82    16    40    22   161
 1972     2     7     5    11     1    26        7    16    19    56     5   103
 1973     0    12    10    11     0    33        0    50    33    30     0   113
 1974     0     8    22     3     1    34        0    34   132     6     2   174
 1975     4     9    20    14     3    50       22    28   103    46    10   209
 1976     1    10    19    16     7    53        2    37    90    94    36   259
 1977     6    12    16     7     0    41       15    79   118    19     0   231
 1978     2    12    15    12    11    52        8    57    67    42    61   235
 1979     3     8    11     7     4    33        9    37    36    33    10   125
 1980     5     9    20     9     5    48       15    52   135    38    22   262
 1981     0    11    10     1     4    26        0    37    54     2    10   103
 1982     0     2    10     4     0    16        0     4    44    19     0    67
 1983     0     7    18    22     6    53        0    23    83   130    28   264
 1984     0     2     9    13     4    28        0     6    17    64    20   107
 1985     2     6     9     4     7    28        2    39    28     9    18    96
 1986     1     9    14     2     0    26        1    34    50     4     0    89
 1987    10    19    18     5     1    53       39    94    79    22     1   235
 1988     6    16    16    17     5    60       16   121    95   143    11   386
 1989     3     5    15     7     1    31       15    17    92    32     1   157
 1990     1    12     9     6     5    33        2    51    48    17    18   136
 1991     5    12    11     7     0    35       12    62    60    13     0   147
 1992     2     2     1     2     0     7        6     2     1     3     0    12
 1993     0     1     2     4     1     8        0     2     5     7     1    15
 1994     4     6     1     3     4    18       14    17     1     7    10    49
 1995     0     8    10    10     0    28        0    38    66    34     0   138
 1996     3    10     4     3     0    20       17    57    13     8     0    95
 1997     0     8    13     2     1    24        0    29    45     5     1    80
 1998     4     5     5     5     9    28        7    12    17    12    37    85
 1999     2     7    17     3     4    33        2    20    88     7     9   126
 2000     2     7     5     5     8    27        2    27    15    22    29    95
 2001     3    10    17     8     0    38       15    51    66    48     0   180
 2002     1    14    23     4     7    49        8    75   138    11    30   262
 2003     0     8     9    11     4    32        0    27    33    72    10   142
 2004     1     3     7     2     4    17        1     9    18     5    11    44
 2005     0     8    15     0     0    23        0    41    75     0     0   116
 **************************************************************************************
MEANS   2.1   8.2  11.5   7.9   3.0  32.7      6.6  37.6  55.4  35.7  11.6 146.8
