# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2724] ESTHERVILLE-2-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia2724
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  23   7  25   5  33  15  49  29  64  40  73  51  82  59  82  59  78  55  69  43  53  31  34  18
  2  24   6  22   4  35  15  48  29  65  41  72  51  82  59  83  60  77  55  69  42  50  30  34  18
  3  25   5  23   4  32  15  50  29  65  41  74  51  81  59  82  60  78  55  68  41  48  29  33  17
  4  23   4  25   6  33  16  48  27  67  43  78  52  82  60  81  59  77  53  64  40  48  28  33  16
  5  22   3  26   8  34  15  48  28  68  44  77  54  82  60  81  59  77  53  66  40  47  27  33  15
  6  22   4  25   7  34  15  51  29  66  42  78  55  83  59  81  60  77  53  64  40  47  27  31  12
  7  21   2  25   6  34  13  54  30  67  43  78  57  83  60  81  59  78  53  62  39  47  26  29  12
  8  21   0  26   7  33  15  52  30  66  44  78  55  84  61  81  59  78  53  63  39  48  27  29  12
  9  21   1  26   7  34  16  49  29  66  43  77  54  82  59  81  58  76  52  62  38  45  27  29  10
 10  21   1  27   9  36  17  51  30  68  44  78  56  83  60  81  57  75  50  62  37  46  26  28  10
 11  22   2  26   8  38  19  54  32  69  45  79  57  83  60  80  56  76  50  63  38  44  26  27   9
 12  22   6  26   8  38  20  53  32  69  44  79  56  82  62  80  57  76  50  65  38  43  24  27  10
 13  24   5  28   9  38  21  54  32  69  43  80  57  83  61  81  58  73  49  63  39  44  25  29   9
 14  24   6  29  10  39  21  55  34  68  45  81  57  82  61  80  57  71  49  63  40  43  25  27  10
 15  23   3  28  10  38  20  56  34  71  46  79  56  83  61  80  58  70  47  63  38  43  24  27  10
 16  23   1  27   8  39  19  57  35  71  47  77  56  84  61  80  58  71  47  60  37  45  25  28   9
 17  24   4  30   9  40  21  58  35  72  48  79  56  84  62  81  58  71  47  61  36  43  24  27   9
 18  23   5  31  13  38  22  58  35  71  48  79  58  85  63  81  58  73  49  61  35  43  24  27   9
 19  22   3  29  12  40  23  60  37  72  48  79  57  85  62  80  58  72  49  58  34  41  24  26  10
 20  21   2  31  12  40  23  60  38  73  47  80  57  82  62  79  57  70  47  58  34  40  23  24   7
 21  21   3  30  12  40  22  61  38  74  49  80  57  82  61  79  57  68  45  59  35  39  22  24   7
 22  25   6  32  12  42  23  60  36  73  49  80  57  83  61  80  57  68  42  60  35  39  21  25   8
 23  24   5  32  14  43  24  61  37  72  49  79  57  82  60  79  57  65  41  58  35  38  20  26  10
 24  24   5  33  13  42  23  61  37  72  49  81  57  82  60  79  57  66  42  57  34  35  19  25   8
 25  23   6  33  13  43  24  63  39  72  49  82  59  84  60  79  57  68  43  56  34  39  20  24   8
 26  20   3  34  14  43  23  65  40  71  50  82  59  83  61  81  58  70  43  57  33  36  19  24   6
 27  20   2  34  16  46  25  63  40  71  50  83  59  82  60  81  59  69  43  57  33  35  18  25   7
 28  22   3  34  16  47  26  62  39  71  50  83  60  82  60  80  58  69  42  56  31  33  15  26   9
 29  22   3  35  12  45  27  62  39  73  51  83  61  82  59  80  57  67  42  54  31  32  15  25   8
 30  24   3 *** ***  47  27  63  39  74  52  82  60  82  60  80  58  68  43  54  32  33  16  23   7
 31  24   3 *** ***  49  28 *** ***  75  51 *** ***  83  59  79  55 *** ***  53  32 *** ***  24   7
