# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2724] ESTHERVILLE-2-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia2724   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    23 296          189
   1952   4    10 101          10    17 291          190
   1953   4    19 109          10    28 301          192
   1954   5     5 125          10    18 291          166
   1955   3    28  87          10    15 288          201
   1956   4    23 114          11     8 313          199
   1957   4    13 103          10    10 283          180
   1958   4    29 119          11     6 310          191
   1959   4     9  99          10    12 285          186
   1960   4    10 101          10    19 293          192
   1961   4    16 106          10    26 299          193
   1962   4    15 105          10    24 297          192
   1963   4     4  94          11     2 306          212
   1964   4     8  99          10     9 283          184
   1965   3    30  89          10    24 297          208
   1966   4    21 111          10    24 297          186
   1967   5     3 123          10    11 284          161
   1968   4     6  97          10    25 299          202
   1969   4     6  96          10    22 295          199
   1970   4     4  94          10    10 283          189
   1971   4     4  94          11     4 308          214
   1972   4     9 100          10    18 292          192
   1973   4    11 101          11     4 308          207
   1974   4     9  99           9    22 265          166
   1975   4     4  94          10    29 302          208
   1976   4     4  95          10    17 291          196
   1977   4     7  97          11    11 315          218
   1978   3    25  84          11    14 318          234
   1979   4    11 101          10    13 286          185
   1980   4    13 104          10    12 286          182
   1981   3    27  86          10    22 295          209
   1982   4    11 101          10    21 294          193
   1983   4    18 108          11    23 327          219
   1984   3    31  91          11     1 306          215
   1985   4     9  99          11     4 308          209
   1986   3    21  80          11     2 306          226
   1987   4     4  94          10    10 283          189
   1988   4    19 110          10     5 279          169
   1989   4    11 101          10    19 292          191
   1990   4    19 109          10    25 298          189
   1991   3    31  90          10     7 280          190
   1992   4    13 104          10    18 292          188
   1993   4     5  95          10    30 303          208
   1994   4     7  97          10    26 299          202
   1995   4     5  95          10    22 295          200
   1996   4     9 100          10    28 302          202
   1997   4    18 108          10    22 295          187
   1998   3    24  83          11     4 308          225
   1999   3    26  85          10    24 297          212
   2000   4     9 100          10     8 282          182
   2001   3    28  87          10    17 290          203
   2002   4    10 100          10    20 293          193
   2003   4     9  99          10     2 275          176
   2004   4    13 104          11    11 316          212
             MEAN= 99              MEAN=295     MEAN=196
