# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2789] FAIRFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia2789
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1348   1076   1058    542    123     42      0      3    125    351    935   1273
 1952   1234    925    934    399    175      2      0      6     80    489    698   1069
 1953   1210    912    805    565    187      2      1      0     64    226    659   1025
 1954   1308    718    907    289    250     35      0      1     48    368    679   1096
 1955   1304   1089    869    232    103     42      0      0     53    316    916   1221
 1956   1306   1076    829    478     98     13      0     10     70    118    723   1050
 1957   1421    876    830    411    127     14      0      1     94    398    780    938
 1958   1220   1291    882    394    105     20      3     13     60    273    610   1250
 1959   1455   1050    814    400    104      8      4      0     97    415    949    927
 1960   1239   1231   1251    354    155     17      0      0     50    307    644   1151
 1961   1263    909    751    554    206     14      0      1    126    269    715   1246
 1962   1472   1094    972    433     28     20      4      0    104    284    693   1168
 1963   1589   1176    672    291    132      3      0     14     42     92    649   1524
 1964   1111   1065    960    387     38     10      0     15    114    436    656   1244
 1965   1362   1104   1265    492     84      4      0     14    119    357    684    924
 1966   1534   1089    735    538    259     27      0      9    135    393    719   1173
 1967   1200   1176    763    383    291     11     22     31    126    418    842   1096
 1968   1312   1204    691    363    234     12      2      5     71    379    843   1226
 1969   1417   1039   1057    364    170     70      0      0     77    467    798   1263
 1970   1589   1064    969    423    102     18      5      2    102    349    795   1116
 1971   1518   1132    936    405    236      0     17      8     99    207    749   1034
 1972   1414   1238    861    481    155     29      9     11     93    477    864   1347
 1973   1265   1002    608    483    188      0      0      0     70    241    725   1308
 1974   1353   1038    773    360    191     38      0      9    192    364    773   1130
 1975   1255   1145   1048    549     93     20      6      0    185    323    615   1084
 1976   1365    844    756    354    216      8      0      1    107    560   1008   1343
 1977   1729   1048    634    251     34      5      0      3     31    372    761   1274
 1978   1609   1381    981    374    189      5      0      2     39    364    719   1220
 1979   1744   1403    865    518    130      4      4      7     49    330    780   1008
 1980   1249   1245    898    441    121     11      0      0     77    426    706   1136
 1981   1191    946    683    233    201      0     12      3     71    359    657   1204
 1982   1629   1141    902    527     61     32      0      7    109    319    740    963
 1983   1159    896    772    586    178     15      0      0    105    303    643   1595
 1984   1308    839   1015    460    159      0      0      3    125    277    692   1005
 1985   1507   1159    641    265     41     17      0     26    131    313    901   1522
 1986   1147   1178    650    288     99      0      0     22     35    302    882   1061
 1987   1189    796    655    309     37      3      0     17     57    477    621   1023
 1988   1314   1221    741    386     46     10      0      7     36    502    705   1088
 1989    964   1327    799    394    192     19      0      3    136    309    754   1485
 1990    953    885    649    434    181     20      0      0     74    352    572   1227
 1991   1432    877    653    316     94      0      0      1    124    349    934   1028
 1992   1019    847    679    416    163     17      0     27    120    358    826   1132
 1993   1251   1164    922    471     90     47      0      3    167    413    794   1086
 1994   1525   1131    740    374    157     16      0      9     76    303    654   1002
 1995   1369   1016    733    469    198     10      6      0    151    360    911   1185
 1996   1369   1104    971    456    227     23      1      0    128    326    953   1204
 1997   1408    980    719    532    264      8      5      1     54    385    843   1121
 1998   1176    752    855    397     54     48      0      0     26    328    635    999
 1999   1365    793    826    337    111     26      0      0    113    304    530   1059
 2000   1219    814    600    356     82     21      1      0     80    237    856   1581
 2001   1241   1116    939    237    128     38      0      0     97    345    418    933
 2002    968    837    838    405    202      4      0      0     33    452    790    995
 2003   1292   1110    807    340    136     24      0      0     97    282    720    986
 2004   1319   1065    615    332     97     18      0     27     41    317    605   1042
 2005   1264    829    793    296    175      0      1      0      0      0      0      0
 MEAN   1327   1045    829    402    144     17      2      6     90    345    747   1155
