# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2789] FAIRFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia2789
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0     22     70    117    274    221     41     34      0      0
 1952      0      0      0     20     57    350    361    227     96      7      0      0
 1953      0      0      0      3     79    303    373    351    143     68      0      0
 1954      0      0      0     35     30    343    435    281    151     34      0      0
 1955      0      0      0     12     62    138    492    423    179      6      0      0
 1956      0      0      0     12    139    352    347    334    128     43      0      0
 1957      0      0      0     20     44    212    445    308     53      0      0      0
 1958      0      0      0      9     70    126    217    299    103     26      2      0
 1959      0      0      0      2    126    266    286    397    140      0      0      0
 1960      0      0      0     31     42    154    288    330    178     17      0      0
 1961      0      0      0      1     32    214    300    303    143     20      0      0
 1962      0      0      1     18    200    235    285    301     81     56      0      0
 1963      0      0      4     18     55    341    365    262    127    108      0      0
 1964      0      0      0      6    152    258    424    216    116      0      1      0
 1965      0      0      0      7    106    147    276    239     80     11      0      0
 1966      0      0      0      0     38    179    398    175     54      4      0      0
 1967      0      0      7     14     55    183    244    136     55     22      0      0
 1968      0      0      0      2     22    262    302    282     56     42      0      0
 1969      0      0      0      0     69    121    338    265     74     23      0      0
 1970      0      0      0     31    120    200    344    248    100      8      0      0
 1971      0      0      0     11     33    356    212    225    198     29      0      0
 1972      0      0      0      1     95    181    304    279    135      0      0      0
 1973      0      0      0      0      7    229    331    320     91     35      0      0
 1974      0      0      0     13     52    116    398    169     34      1      0      0
 1975      0      0      0      0     90    229    348    313     47     23      0      0
 1976      0      0      0     18      5    190    376    225     67     11      0      0
 1977      0      0      0     62    183    291    508    252    100      1      0      0
 1978      0      0      3      0    108    266    345    278    207      4      0      0
 1979      0      0      0      0     87    228    288    321    112     24      0      0
 1980      0      0      0     21     84    187    441    354    119      6      0      0
 1981      0      0      1     28     28    244    334    239     92      4      0      0
 1982      0      0      0      0     90     96    341    245    107     18      0      0
 1983      0      0      0      1     15    272    487    482    151     26      0      0
 1984      0      0      0     12     38    284    311    353    151      5      0      0
 1985      0      0      0     54     94    164    286    108    197      1      0      0
 1986      0      0     17     36     51    291    406    161    150      3      0      0
 1987      0      0      0     34    152    329    475    311     77      0      3      0
 1988      0      0      0      0     92    325    426    463    125      1      0      0
 1989      0      0      8     36     58    168    366    262     57     19      0      0
 1990      0      0      4     36      8    238    316    303    203     20      3      0
 1991      0      0      8     20    181    296    386    307    179     18      0      0
 1992      0      0      0      5     72    163    238    137     86     12      0      0
 1993      0      0      0      0     45    206    314    320     40     12      0      0
 1994      0      0      0     28     51    255    274    232    105     19      0      0
 1995      0      0      0      0     10    205    348    425     60      7      0      0
 1996      0      0      0      3     59    210    258    247     68      8      0      0
 1997      0      0      0      0     18    182    331    224    106     66      0      0
 1998      0      0      5      0    112    197    337    315    197      7      0      0
 1999      0      0      0      4     55    206    483    243    103     10      0      0
 2000      0      0      2      0    115    177    270    349    187     25      5      0
 2001      0      0      0     33     81    203    423    331     85      7      4      0
 2002      0      0      0     50     43    286    449    310    171     18      0      0
 2003      0      0      0     32     28    159    353    385     77      6      0      0
 2004      0      0      0     35    127    171    256    166    117      9      0      0
 2005      0      0      0     21     45    280    377      0      0      0      0      0
 MEAN      0      0      1     16     72    225    349    282    113     18      0      0
