# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2789] FAIRFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5  11  11  11  11  12  10  12   7  12   4   4 110
1952     5   5  11   7   9   8   5   8   3   0   4   7  72
1953     4   7  10  10   9  10   5   3   5   1   2   7  73
1954     2   5   5   8   9  10   5  13   4   8   3   7  79
1955     8   7   5   8  10   7   5   5   9   7   5   5  81
1956     4   8   5   5   9   8  13  11   6   4   4   6  83
1957     8   4   6  18  12  12   7   4   7   4   6   8  96
1958     7   3   4  10   6  11  17  11   8   4   7   4  92
1959     6   7   8   8  10   5   7   8  11  10   7   9  96
1960     7   7   8  12  11  11   7   6   9   6   6   3  93
1961     5   5  15  13   7   5  12   5  10   8   8   9 102
1962     9  12   9  11  11   5  10   9   5   9   4   4  98
1963    10   6  11  10   9   3  11   9   6   5   3   3  86
1964     2   5   8  13   8  10   9   8   9   1   6   6  85
1965    10   5  11  11   9   9  10  10  16   4   6   6 107
1966     3   2   8  13  10  14   7   4   6   5   3   7  82
1967     4   2   5   9  12  10  10   6   7  13   5  12  95
1968     5   3   4  13  12   6   7   8  14   9   8   7  96
1969    10   5   4  11  13  15  12   3  13  15   2  10 113
1970     6   2   6  10   9   9   0  10  16  10   7   6  91
1971     2   8   5   7  12  10  10   4   8  10   8  10  94
1972     6  10  11  12  12   9   6   8  10   7   9   6 106
1973     5   7  15  11  10  11  13   8  16   8   4  11 119
1974    10   3   9   8  16   9   9  11   5   9   7   6 102
1975     9   8   9  10  13  12   2   9   8   2  11   4  97
1976     2   8   8   8   8   5   9   7   5   7   3   2  72
1977     6   2   9   5   7   7   5  13  14  11   8  10  97
1978     7   5   5  14  11  10   8   9   6   9  12   7 103
1979     9   6  10  12   6  10  10   8   1   6   6   2  86
1980     5   7   8   6   9  10   7  11   8   6   5   7  89
1981     3   4   1  12  13  12   9  10   4  10  11   6  95
1982    13   3  10   6  17  13  11   6   4   4   8   7 102
1983     6  10   8   9  18   7   3   6   5   9  11  12 104
1984     4   3  10  11   9  12   9   3   8  16   5  13 103
1985     8   7  10   4   8   7  11   8   8  13  14   4 102
1986     2  10   6  10  15   5  11   6  12   9   5   4  95
1987     5   2   9   9   8   6   7  14   7   7  12   9  95
1988     4   6   4   5   6   3   4   6   7   7   8   5  65
1989     4   4   3   9  10  10   9  11   7   7   1   5  80
1990     6   7  13  13  12  15  12  11   4   7   7   9 116
1991     8   1   8  12  14   7   6   7   8  11  11   6  99
1992     8   8  14  12   9   5  17  10  13   5  15   9 125
1993     8  10  10  10  16  16  21  14  10   4   6   7 132
1994    12   8   4   8   8  10  11   7   6   9   9   8 100
1995     6   3   7  13  16  12   8   9   6   9   6   3  98
1996    10   4   5   7  21  10   9   6   6   6   9   9 102
1997     7  10   6  11  15  10  10  13  10   9   7  11 119
1998     9  11  10  17  13  18   7   9   5  15   8   4 126
1999     9  11   6  16  11  12   6   4   6   4   1   9  95
2000     9   5   5  12  13  12  12  11   9   9   7  18 122
2001    11   9   6  11  20  13   6   8  12  12   6   6 120
2002     7   6   8  13  13   9   6   6   4  15   7   5  99
2003    10   9   9  13  13  11   9   9  10   9  15   9 126
2004    11   9  17   6  10  15  12  13   4  17  11   7 132
2005    15  12  10  10   9   9  10   0   0   0   0   0  75
STDDEV   3   3   3   3   3   3   4   3   4   4   3   3  16
AVG      7   6   8  10  11  10   9   8   8   8   7   7  99
