# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2864] FAYETTE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.90   0.27   66(69)   11(12)   13(14)    5( 5)    0( 0)    0       95
  2 3/8-->3/14       1.26   0.26   66(64)   22(21)   11(11)    4( 4)    0( 0)    0      103
  3 3/15-->3/21      1.04   0.23   67(65)   24(23)   10(10)    2( 2)    0( 0)    0      103
  4 3/22-->3/28      1.53   0.27   63(61)   24(23)   15(14)    2( 2)    0( 0)    0      104
  5 3/29-->4/4       2.29   0.30   79(64)   23(19)   15(12)    6( 5)    1( 1)    0      124
  6 4/5-->4/11       1.55   0.29   69(63)   21(19)   16(15)    4( 4)    0( 0)    0      110
  7 4/12-->4/18      2.22   0.35   62(50)   34(27)   21(17)    6( 5)    1( 1)    0      124
  8 4/19-->4/25      2.30   0.35   86(59)   23(16)   29(20)    7( 5)    2( 1)    0      147
  9 4/26-->5/2       2.22   0.38   71(54)   29(22)   22(17)    8( 6)    2( 2)    0      132
 10 5/3-->5/9        4.41   0.36   79(55)   30(21)   22(15)   11( 8)    1( 1)    0      143
 11 5/10-->5/16      1.70   0.33   79(54)   37(25)   19(13)   11( 8)    0( 0)    0      146
 12 5/17-->5/23      6.20   0.41   79(58)   27(20)   15(11)   13( 9)    3( 2)    0      137
 13 5/24-->5/30      3.35   0.42   88(56)   27(17)   24(15)   15( 9)    4( 3)    0      158
 14 5/31-->6/6       1.98   0.34   72(58)   23(18)   24(19)    6( 5)    0( 0)    0      125
 15 6/7-->6/13       2.21   0.43   76(52)   25(17)   25(17)   16(11)    3( 2)    0      145
 16 6/14-->6/20      3.29   0.47   65(50)   23(18)   26(20)   12( 9)    4( 3)    0      130
 17 6/21-->6/27      2.90   0.59   66(51)   16(12)   20(16)   16(12)   11( 9)    0      129
 18 6/28-->7/4       2.66   0.40   65(53)   23(19)   25(20)    9( 7)    1( 1)    0      123
 19 7/5-->7/11       3.70   0.42   64(54)   24(20)   14(12)   15(13)    1( 1)    0      118
 20 7/12-->7/18      4.86   0.54   61(53)   16(14)   20(17)   13(11)    6( 5)    0      116
 21 7/19-->7/25      4.03   0.48   63(52)   25(21)   18(15)   11( 9)    4( 3)    0      121
 22 7/26-->8/1       4.00   0.53   49(46)   25(23)   17(16)   10( 9)    6( 6)    0      107
