# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2977] FOREST-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia2977
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1665   1296   1371    732    158     95     22     44    258    540   1189   1547
 1952   1641   1120   1180    525    283     33      5     27    126    609    867   1310
 1953   1478   1207    984    722    234     26     10      3    146    305    778   1254
 1954   1591    865   1121    470    357     51      0      4    119    499    787   1248
 1955   1490   1332   1121    320    119     43      0      9    120    436   1140   1558
 1956   1583   1391   1158    648    219     18      7     27    168    263    955   1252
 1957   1674   1116   1027    521    261     48      0     13    179    534    987   1184
 1958   1332   1394   1020    516    151     97      9     26    105    354    835   1506
 1959   1660   1402   1045    504    175     26     11      2    180    607   1206   1048
 1960   1416   1318   1411    529    208     45      2      3    164    423    856   1420
 1961   1533   1128   1002    737    292     22      0      4    211    365    914   1475
 1962   1672   1359   1230    628    129     47     21      3    200    386    797   1320
 1963   1789   1346    871    479    246     15      4     29     97    159    755   1640
 1964   1284   1113   1179    519    108     41      1     55    193    480    856   1462
 1965   1631   1416   1437    648    143     12      3     32    277    410    892   1099
 1966   1808   1289    847    687    321     33      0     37    154    431    952   1368
 1967   1450   1374    890    516    369     19     33     37    165    517    960   1263
 1968   1501   1392    765    497    314     43      7     26    157    451    918   1434
 1969   1704   1270   1314    496    172    119      6      2    166    612    937   1490
 1970   1888   1388   1219    579    229     62     13      9    219    549    972   1521
 1971   1749   1375   1125    542    305     13     35     31    142    324    879   1359
 1972   1714   1461   1034    624    192     50     23     33    152    566    963   1603
 1973   1451   1192    759    598    281     10      2      3    149    285    870   1474
 1974   1593   1231    995    491    297     55      0     37    228    413    906   1303
 1975   1513   1315   1239    737    150     47     13      2    223    325    806   1291
 1976   1484    988    945    408    226     15      2     10    158    627   1096   1551
 1977   1903   1102    775    327     45      9      0     27     89    514    956   1504
 1978   1820   1488   1048    572    195     30      3     14     75    487   1005   1575
 1979   1971   1567   1157    692    284     44      6     44     91    495    979   1191
 1980   1491   1405   1111    543    182     22      1     10    122    598    779   1296
 1981   1397   1102    818    426    282     16     12     13    162    537    787   1406
 1982   1894   1364   1062    701    124     84      0     18    148    411   1011   1176
 1983   1348   1072    964    684    293     42      4      1    189    517    923   1766
 1984   1564   1072   1162    562    277     11      6      8    216    430    917   1410
 1985   1672   1348    878    425    111     94     10     48    253    533   1254   1808
 1986   1458   1376    892    469    208     23      0     61    131    482   1124   1291
 1987   1342    935    848    401    100     13      8     63    134    640    804   1250
 1988   1752   1500    942    572     72     14      3     23    123    650    947   1382
 1989   1279   1517   1163    568    242     67      0     13    190    467   1130   1692
 1990   1197   1169    889    598    299     40     11     12    139    524    811   1565
 1991   1744   1159    942    493    203      9     11     18    237    563   1220   1284
 1992   1332   1092    951    645    212     50     51     81    197    536   1047   1418
 1993   1636   1410   1225    677    285     61      2     21    290    525   1006   1325
 1994   1888   1458    895    515    166     15      8     45    100    388    812   1280
 1995   1505   1214    949    655    263     28      9      1    206    481   1122   1351
 1996   1629   1274   1135    615    335     56     11      4    198    428   1173   1553
 1997   1642   1223   1001    604    320      5     10     29    125    483   1088   1215
 1998   1446    973   1088    475     94     97      2      0     61    464    825   1212
 1999   1640   1028    973    527    199     61      3     12    205    529    705   1286
 2000   1518   1077    762    568    173     63     21     17    172    396   1061   1835
 2001   1507   1526   1281    511    223     73      5     17    193    530    553   1164
 2002   1267   1100   1234    618    347     33      3     16    146    683    987   1208
 2003   1553   1379   1059    525    240     43      2      2    164    435    937   1241
 2004   1606   1359    818    465    229     53     14     92     71    444    800   1304
 2005   1568   1056   1069    386    273      3      8      0      0      0      0      0
 MEAN   1579   1262   1043    554    222     41      8     23    164    475    941   1388
