# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2999] FORT-DODGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia2999
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  51 -25  56 -24  62 -22  83  14  92  25  90  39 101  46  99  49  97  39  88  25  76  16  60  -7
  2  51 -24  58 -30  71  -7  85  14  91  27  91  39  95  46  98  50  95  43  94  28  77   8  67 -11
  3  50 -16  50 -29  71  -4  82   6  89  27  92  36 100  45 100  50  94  32  92  28  74   7  63  -9
  4  50 -17  52 -25  71 -11  80   6  91  29  94  40 101  45  98  46  94  34  95  26  76  -2  56  -6
  5  56 -19  57 -24  70 -15  76  12  90  30  96  42 101  43  95  46  94  36  94  26  72  -2  62  -6
  6  47 -20  56 -19  69  -8  86   7  88  29  97  38 101  51  98  49  97  39  93  25  77   8  62 -13
  7  55 -18  67 -16  74  -8  90  13  88  29  96  44 103  48 101  45  97  36  93  25  74  -5  59 -17
  8  58 -18  57 -19  76  -9  82  16  92  29 103  41 100  49  96  48  98  38  88  21  75  -4  55 -14
  9  59 -20  57 -27  74  -9  78  13  92  29 100  42  97  48  95  46  98  40  84  21  79   2  53 -17
 10  50 -25  63 -22  70  -2  88  19  93  29  95  43 100  48 100  46  94  36  83  23  72  10  59 -10
 11  46 -16  64 -22  69  -4  86  20  87  33 100  43 100  51  98  45  92  36  85  20  72  -8  61 -12
 12  54 -26  66 -20  73  -8  85  16  90  29  99  44  99  50  95  47  96  33  88  24  69   5  64 -17
 13  58 -27  63 -11  67  -8  80  21  90  28  99  38 100  48  99  42  95  34  91  23  67  -4  52 -16
 14  54 -23  61 -15  71  -8  88  20  96  28  98  45 101  49 102  45  92  36  91  27  77  -6  52 -16
 15  62 -24  55 -13  73  -2  88  19  91  31  97  41 101  50 105  45  98  35  87  25  72   6  56 -16
 16  56 -24  64 -20  77  -4  90  21  92  31  97  45  95  49 103  46  94  34  83  22  72   1  58 -11
 17  48 -22  67 -19  72   4  87  21  93  32  92  41  98  51 106  49  94  33  83  19  75  -3  55 -15
 18  54 -22  67 -13  73   1  91  19  94  36 100  45  99  50  99  45  90  35  81  17  70   2  59 -22
 19  55 -24  62 -13  69   1  94  21  90  38 101  45  99  55 101  42  94  31  81  14  73   7  59 -24
 20  50 -24  63  -7  74   2  89  25  93  32  97  44  97  46 100  44  91  30  85  15  60   6  55 -21
 21  50 -27  61 -12  73  -2  93  22  92  35 101  43  97  50 100  49  88  30  85  19  68  -3  55 -23
 22  52 -17  61  -7  79   3 100  25  91  30  94  43 103  50  97  48  85  28  83  16  69   3  51 -24
 23  58 -23  59  -9  74   3  88  23  88  31  94  47 100  52  97  45  86  28  83  17  63  -3  50 -24
 24  64 -19  64 -18  84  -4  84  21  89  38 103  44  95  52  93  48  87  33  81  20  61   2  48 -26
 25  59 -19  62 -16  74  -3  86  28 100  39  97  42  97  51  95  43  90  32  78  20  71  -3  50 -21
 26  57 -14  61 -11  79   1  88  28  99  33 100  47  99  48 100  47  92  27  84  21  64  -9  54 -21
 27  66 -16  56 -11  79   3  91  30  91  38  98  45 101  49 102  43  92  34  81  16  64  -8  54 -17
 28  55 -17  63 -21  83   5  92  26  92  35 103  42 101  50  99  40  89  28  80  16  71  -8  60 -15
 29  52 -24  65  -7  88   1  87  24  93  35  98  48 100  48  96  46  88  26  72  18  60  -4  58 -15
 30  54 -17 *** ***  85   4  89  23  92  39 100  50 102  44  96  47  91  28  77  17  67  -7  55 -15
 31  56 -24 *** ***  83  13 *** ***  93  37 *** *** 103  47  95  39 *** ***  81  16 *** ***  57 -18
