# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2999] FORT-DODGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia2999   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    24 297          190
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    27 300          190
   1954   4    12 102          10    18 291          189
   1955   3    28  87          10    15 288          201
   1956   4    30 121          11    10 315          194
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   4    13 103          10    12 285          182
   1960   4    10 101          10    19 293          192
   1961   4    16 106          10    20 293          187
   1962   4    17 107          10    24 297          190
   1963   4     4  94          10    29 302          208
   1964   4     8  99          10     9 283          184
   1965   3    30  89          10    24 297          208
   1966   5     1 121          10    24 297          176
   1967   4    24 114          10    11 284          170
   1968   4     5  96          10    25 299          203
   1969   3    31  90          10    22 295          205
   1970   4     4  94          11    14 318          224
   1971   4     6  96          11     4 308          212
   1972   4     8  99          10    18 292          193
   1973   4    12 102          11     5 309          207
   1974   4     9  99          10     7 280          181
   1975   4    12 102          10    29 302          200
   1976   4     4  95          10     8 282          187
   1977   4     7  97          10    16 289          192
   1978   4    15 105          11    14 318          213
   1979   4    28 118          10    13 286          168
   1980   4    14 105          10    12 286          181
   1981   3    23  82          10    19 292          210
   1982   4    21 111          10    21 294          183
   1983   4    18 108          10    13 286          178
   1984   4     1  92           9    29 273          181
   1985   4     9  99          10     1 274          175
   1986   4    22 112          11     2 306          194
   1987   4     5  95          10    11 284          189
   1988   4    19 110          10    24 298          188
   1989   4    12 102          10    18 291          189
   1990   4    17 107          10    25 298          191
   1991   3    31  90          10    15 288          198
   1992   4    13 104          10    19 293          189
   1993   4     4  94          10    29 302          208
   1994   4     8  98          10    26 299          201
   1995   4     5  95          11     3 307          212
   1996   4    24 115          10    31 305          190
   1997   4    18 108          10    22 295          187
   1998   3    25  84          11     6 310          226
   1999   3    27  86          10     4 277          191
   2000   4     9 100          10     6 280          180
   2001   3    28  87          10    25 298          211
   2002   4     6  96          10    20 293          197
   2003   4    10 100          10    26 299          199
   2004   4    13 104          11     3 308          204
             MEAN=101              MEAN=294     MEAN=193
