# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3007] FORT-MADISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     0   0   0   0   0   0   0   0   0   0   0   0   0
1952     0   0   0   0   0   0   0   0   0   2   5   7  14
1953     5   4  14   8   5  11   7   4   3   4   2   6  73
1954     2   5   7  10  10  12   6   9   6   6   4   1  78
1955     4   0   2   4   8   7   2   4   3   4   1   2  41
1956     2   7   4   5   6   9  10   8   5   4   4   7  71
1957     7   3   9  14  13  10  11   6   6   5   6   7  97
1958     7   4   4  11   8  14  16  10   6   2   5   3  90
1959     4   7   9  12  12   4  12   8  14  11   2   7 102
1960     5   5   7  12  14  15   6   3   6   6   5   3  87
1961     5   6   9  11   5   8  14   6  12   7   7  10 100
1962     9   8   9  10   8   9  12   9   5   9   2   4  94
1963     9   5  10   8  11   2   8   8   6   4   5   6  82
1964     5   7  10  14   5  10   9   5   7   1   5   5  83
1965     8   4   0  14  10   9   9  13  15   6   6  10 104
1966     4   5   8  14   9  12   8   6   8   8   8   9  99
1967     5   5   7  17  14  15   8   4   6  11   6  10 108
1968     7   4   7  10  10   7   5   7  13   9  12   6  97
1969    14   4   4   9   8  10  14   5   9   8   2   4  91
1970     0   3  10  13  13  11   3  12  14   9   7   5 100
1971     3   4   6   5  12   8   7   5   5   6  11  18  90
1972     6  12  10  12   9   8   7  10  11   6   6   4 101
1973     5   7   0   0   0   8  13   6  11   9   5   8  72
1974     6   1   9  11  18  12   6   5   5   4   8   3  88
1975     2   6   0   7   7   5   2  14   8   3   9   7  70
1976     0   6  11   7  12   5   5   7   5   7   1   0  66
1977     0   3   8   6   7   8   4  17  16  13   7   7  96
1978    10   6   0   0  13  11   8  11   8  10  10   6  93
1979    12   5  15  15   3  11   9   0   0   9   8   6  93
1980     3   4   8   0   6   8   5   9   9   5   4   5  66
1981     0   3   6  12  13  14  13   9   7  10   9   5 101
1982     0   5  12   8  13  12  15  12   6   8  12   8 111
1983     4   4  11  15  15   7   3   7   9   8  14  12 109
1984     4   9  14  15  13  12  11   5  10  18   6  13 130
1985    11   7  11   5  14   9  11  11   9  16  18   7 129
1986     2   9   7  12  14  11  15   8  12  12  10   7 119
1987     6   3  12   9   7  11   8  13  11   7  14  13 114
1988     3   6   6  10   6   2   5  11   9   8  14   6  86
1989     7   8   4  10  12   8   8  12   8   6   5  10  98
1990     9  11  16  13  13  16  13   6   6  10   9   9 131
1991     9   4  14  15  17   4   6   7  10  13  14   8 121
1992     9   9  14  15  10   7  19   7  11   7  15   9 132
1993     9  12  12  11  13  12  22  12  12   8   9  10 142
1994    12  10   6  14   6  11  10   8   4   7   8   7 103
1995    11   9   9  14  15   9   8  10   7   9   6   4 111
1996     8   4  11  11  20  10   9   9   5   8  10  10 115
1997     8  10   6  12  15  11   9  14   8   9  11  11 124
1998    13  11  14  15  13  17   7   9   7  13   9   5 133
1999    12   8   5  14   8  11   9   5   5   5   1   9  92
2000     8   9   9  15  18  18  13  10   8   9   8  14 139
2001    13   9   7  12  18  13   7   9   8  10   6   7 119
2002    11   9  14  12  15  12   9  11   5  14  10   6 128
2003    12   8  10  15  15  10  11   7  10   9  13  15 135
2004    10   9  20   7  17   9  10  14   4  17  14   9 140
2005    16  12  11  14   9  10   5   0   0   0   0   0  77
STDDEV   4   3   5   5   5   4   4   4   4   4   4   4  28
AVG      6   6   8  10  11  10   9   8   8   8   7   7  98
