# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3290] GLENWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.52   0.24   60(69)   13(15)   10(11)    4( 5)    0( 0)    0       87
  2 3/8-->3/14       1.50   0.26   50(63)   18(23)    9(11)    2( 3)    0( 0)    0       79
  3 3/15-->3/21      1.77   0.26   61(72)   10(12)    9(11)    5( 6)    0( 0)    0       85
  4 3/22-->3/28      2.17   0.37   55(58)   17(18)   12(13)   10(11)    1( 1)    0       95
  5 3/29-->4/4       1.53   0.29   65(65)   16(16)   12(12)    7( 7)    0( 0)    0      100
  6 4/5-->4/11       3.25   0.35   51(55)   24(26)   11(12)    5( 5)    1( 1)    0       92
  7 4/12-->4/18      2.27   0.35   67(55)   27(22)   20(16)    7( 6)    1( 1)    0      122
  8 4/19-->4/25      2.03   0.36   64(56)   26(23)   12(10)   12(10)    1( 1)    0      115
  9 4/26-->5/2       2.46   0.42   65(53)   18(15)   26(21)   11( 9)    2( 2)    0      122
 10 5/3-->5/9        1.93   0.39   77(56)   20(14)   28(20)   13( 9)    0( 0)    0      138
 11 5/10-->5/16      2.45   0.39   66(54)   23(19)   21(17)   10( 8)    2( 2)    0      122
 12 5/17-->5/23      3.18   0.49   63(46)   22(16)   32(23)   15(11)    5( 4)    0      137
 13 5/24-->5/30      4.98   0.49   69(48)   32(22)   29(20)   10( 7)    4( 3)    0      144
 14 5/31-->6/6       2.55   0.46   57(49)   25(22)   19(16)   11( 9)    4( 3)    0      116
 15 6/7-->6/13       2.85   0.45   66(51)   23(18)   25(19)   15(12)    1( 1)    0      130
 16 6/14-->6/20      4.35   0.53   53(46)   20(18)   21(18)   15(13)    5( 4)    0      114
 17 6/21-->6/27      4.96   0.59   49(42)   23(19)   25(21)   15(13)    6( 5)    0      118
 18 6/28-->7/4       3.40   0.57   38(42)   16(18)   24(26)    8( 9)    5( 5)    0       91
 19 7/5-->7/11       2.60   0.47   50(43)   31(26)   21(18)   11( 9)    4( 3)    0      117
 20 7/12-->7/18      2.53   0.49   53(52)   13(13)   19(19)   11(11)    5( 5)    0      101
 21 7/19-->7/25      4.68   0.52   61(58)   10(10)   17(16)   11(10)    6( 6)    0      105
 22 7/26-->8/1       6.48   0.43   52(54)   21(22)   15(16)    6( 6)    2( 2)    0       96
 23 8/2-->8/8        2.20   0.52   42(41)   19(19)   23(23)   16(16)    2( 2)    0      102
 24 8/9-->8/15       2.86   0.45   53(52)   21(21)   14(14)   10(10)    3( 3)    0      101
 25 8/16-->8/22      1.92   0.53   35(40)   17(19)   21(24)   15(17)    0( 0)    0       88
 26 8/23-->8/29      4.26   0.55   45(48)   26(28)    7( 7)    9(10)    7( 7)    0       94
 27 8/30-->9/5       6.00   0.53   42(46)   20(22)   18(20)    7( 8)    4( 4)    0       91
 28 9/6-->9/12       3.86   0.55   33(43)   19(25)   12(16)    9(12)    4( 5)    0       77
 29 9/13-->9/19      2.08   0.44   48(50)   18(19)   21(22)    8( 8)    1( 1)    0       96
 30 9/20-->9/26      3.92   0.45   53(55)   13(13)   19(20)    8( 8)    4( 4)    0       97
 31 9/27-->10/3      1.91   0.33   47(59)   16(20)   10(13)    6( 8)    0( 0)    0       79
 32 10/4-->10/10     2.07   0.36   45(56)   16(20)   11(14)    7( 9)    1( 1)    0       80
 33 10/11-->10/17    2.40   0.44   33(57)    8(14)   10(17)    4( 7)    3( 5)    0       58
 34 10/18-->10/24    1.92   0.33   39(60)   13(20)    8(12)    5( 8)    0( 0)    0       65
 35 10/25-->10/31    1.95   0.35   44(58)   13(17)   12(16)    7( 9)    0( 0)    0       76
 36 11/1-->11/7      1.85   0.36   42(61)    9(13)   13(19)    5( 7)    0( 0)    0       69
 37 11/8-->11/14     1.52   0.28   35(61)   11(19)   10(18)    1( 2)    0( 0)    0       57
 38 11/15-->11/21    1.29   0.33   33(54)   15(25)    8(13)    5( 8)    0( 0)    0       61
 39 11/22-->11/28    1.10   0.20   40(73)    9(16)    5( 9)    1( 2)    0( 0)    0       55
 40 11/29-->12/5     2.65   0.27   40(67)   13(22)    4( 7)    2( 3)    1( 2)    0       60
 41 12/6-->12/12     0.86   0.19   49(73)   11(16)    7(10)    0( 0)    0( 0)    0       67
 42 12/13-->12/19    2.50   0.20   49(75)   10(15)    5( 8)    0( 0)    1( 2)    0       65
 43 12/20-->12/26    0.63   0.15   42(79)    8(15)    3( 6)    0( 0)    0( 0)    0       53
 44 12/27-->1/2      1.38   0.20   50(78)    6( 9)    7(11)    1( 2)    0( 0)    0       64
 45 1/3-->1/9        0.80   0.15   41(80)    8(16)    2( 4)    0( 0)    0( 0)    0       51
 46 1/10-->1/16      0.85   0.15   41(80)    7(14)    3( 6)    0( 0)    0( 0)    0       51
 47 1/17-->1/23      0.85   0.15   50(81)   10(16)    2( 3)    0( 0)    0( 0)    0       62
 48 1/24-->1/30      0.95   0.16   46(79)    9(16)    3( 5)    0( 0)    0( 0)    0       58
 49 1/31-->2/6       1.15   0.22   41(67)   12(20)    7(11)    1( 2)    0( 0)    0       61
 50 2/7-->2/13       1.57   0.26   36(73)    5(10)    5(10)    3( 6)    0( 0)    0       49
 51 2/14-->2/20      2.10   0.19   56(80)    8(11)    5( 7)    0( 0)    1( 1)    0       70
 52 2/21-->2/27      1.10   0.19   46(77)   10(17)    3( 5)    1( 2)    0( 0)    0       60
 53 2/28-->2/29      0.25   0.10   11(100)    0( 0)    0( 0)    0( 0)    0( 0)    0       11
ANNUAL TOTALS        6.48   0.38 2599(57)  828(18)  695(15)  345( 7)   87( 1)    0     4554
