# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3290] GLENWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia3290
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  34   3  58   5  54   5  49   5  38   8  38   7  42   9  38   6  44  11  50   8  45   4  40   4
  2  32   2  44   3  43   3  46   4  42   2  42   5  33  10  32  14  46  13  46   6  45   4  37   4
  3  45   4  41   5  44   5  51   4  48   7  39   4  37  10  32  10  38   8  44   2  44   5  40   6
  4  37   3  37   5  39   4  48   5  42   6  38  11  35   7  38  12  40   9  46   8  41   4  41   5
  5  40   8  48   6  42   6  51   4  41   8  39   6  40  10  37   7  46  10  51   8  45   2  34   3
  6  35   2  40   6  42   4  52   9  46   8  34  10  37  11  31   5  43   8  42   6  43   6  39   3
  7  40   5  41   4  47   3  54   3  44   3  38  13  33   9  37   4  46   7  48   9  44   7  37   3
  8  46   6  41   3  42   1  43   4  43   5  39   9  32  14  42  13  50   8  46   7  46   2  46   5
  9  44   6  44   6  43   4  47   4  41   6  44   3  37  14  31   5  46   6  48   6  37   9  37   4
 10  39   2  40   5  49   2  47   5  45   7  36   8  37  11  38  14  47  10  49   3  44   4  41   4
 11  38   7  46   5  43   5  44   4  45   9  40  10  36  10  37  13  44   7  47   9  38   3  43   5
 12  46   4  47   4  44   2  50   6  41   6  36   6  34   8  34   9  47  11  47   8  48   3  36   3
 13  39   7  51   2  40   6  45   6  42   3  41   6  37   6  33   8  37   6  44   6  38   4  44   3
 14  40   3  40   5  49   5  47   5  39   8  32   6  36   9  38  11  39   5  43  12  45   2  49   4
 15  39   3  63   2  46   7  44   5  42   4  36   5  33  11  36   8  40   9  41   7  44   4  37   4
 16  38   6  51   5  41   3  42   6  48   6  42   9  38   9  35  11  47   3  43   5  46   5  40   6
 17  42   4  44   4  50   5  45   4  44   8  41  14  34  12  36   6  41   7  46   5  40   3  42   1
 18  54   2  46   4  41   1  43   2  47   9  40  14  34  13  36   6  41   6  50   4  43   4  39   1
 19  43   4  42   1  43   3  47   6  43   8  37  11  35   8  38  13  51   6  46   5  49   3  47   6
 20  48   7  46   4  40   4  43   5  43  13  36   8  37   9  35   4  46   3  51   2  45   2  35   2
 21  38   6  52   5  43   6  43   5  39   8  43  11  40   7  32   1  41   8  49   5  42   3  44   4
 22  42   3  45   3  41   6  42   8  39   8  45  11  32   8  36   5  48   4  44   7  46   4  35   5
 23  44   5  39   3  55   3  37  10  42   5  37   9  36  11  37  11  46   9  44   6  36   2  39   3
 24  47   5  48   3  54   7  40  10  37   7  36   8  37  11  38  12  45   7  52   8  42   4  42   3
 25  41   4  39   3  56   2  41   8  49   7  40   8  38  14  38   9  42   9  51   4  36   4  41   6
 26  40   4  44   4  45   6  48   2  37   9  39   4  36   8  44   7  45   8  48   6  44   4  39   5
 27  40   5  37   4  48   6  42   6  40   5  35   6  34   9  34  10  47   9  45   8  43   4  36   4
 28  54   6  37   5  47   6  46   5  46   5  39  14  39  13  42   9  45  10  47   6  42   2  44   4
 29  45   5  39  14  41   5  41   4  34   6  37  14  41  11  44   4  49   8  50   6  35   3  51   5
 30  38   5  **  **  49   6  49   5  39   9  40   7  40  14  41  10  53   7  38   5  38   5  39   3
 31  44   4  **  **  45   7  **  **  37   7  **  **  38   8  39  10  **  **  48   3  **  **  37   3
