# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3290] GLENWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3290   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4     3  93          10    31 304          211
   1952   4    10 101          10     6 280          179
   1953   4    20 110          10    27 300          190
   1954   4     3  93          10    31 304          211
   1955   3    28  87          10    31 304          217
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    27 300          196
   1958   4    29 119          10    30 303          184
   1959   4    13 103          11     5 309          206
   1960   3    27  87          10    20 294          207
   1961   4     7  97          11     3 307          210
   1962   4    13 103          10    25 298          195
   1963   3    14  73          11    13 317          244
   1964   3    30  90          11    19 324          234
   1965   3    30  89          11     9 313          224
   1966   4    21 111          11     1 305          194
   1967   3    21  80          10    28 301          221
   1968   4     5  96          11     8 313          217
   1969   3    30  89          10    27 300          211
   1970   4     4  94          11    14 318          224
   1971   4     1  91          11     7 311          220
   1972   4     4  95          10    19 293          198
   1973   4    11 101          11     5 309          208
   1974   4     4  94          10    15 288          194
   1975   4     3  93          10    29 302          209
   1976   4     1  92          10     8 282          190
   1977   4     6  96          11    12 316          220
   1978   4    21 111          11    14 318          207
   1979   4     6  96          10    13 286          190
   1980   4    13 104          10    26 300          196
   1981   3    23  82          10    23 296          214
   1982   4     9  99          10    21 294          195
   1983   4    18 108           9    23 266          158
   1984   4     1  92           9    29 273          181
   1985   4     2  92          11     2 306          214
   1986   3    21  80          11     5 309          229
   1987   4     4  94          10    11 284          190
   1988   3    19  79          10    28 302          223
   1989   4    19 109          10    20 293          184
   1990   4    12 102          10    28 301          199
   1991   3    30  89          10     6 279          190
   1992   4    23 114          11     6 311          197
   1993   4     2  92          10    31 304          212
   1994   4     7  97          10    26 299          202
   1995   4     5  95          11     3 307          212
   1996   4     6  97          11     1 306          209
   1997   4    18 108          10    27 300          192
   1998   3    22  81          11    20 324          243
   1999   3    26  85          10    24 297          212
   2000   4     9 100          10     7 281          181
   2001   3    28  87          10    27 300          213
   2002   4     5  95          10    31 304          209
   2003   4    10 100          11     6 310          210
   2004   3    22  82          11     3 308          226
             MEAN= 95              MEAN=301     MEAN=206
