# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3290] GLENWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    3    2    0    0
 Sep 20    6    3    0    0
 Sep 22    8    5    2    0
 Sep 24   13    5    2    0
 Sep 26   18    5    2    0
 Sep 28   22    9    4    0
 Sep 30   31   12    7    1
 Oct 02   35   17    8    1
 Oct 04   41   21   10    1
 Oct 06   50   27   15    3
 Oct 08   59   31   18    5
 Oct 10   64   36   22    6
 Oct 12   67   40   25    7
 Oct 14   70   47   31    8
 Oct 16   77   51   32   10
 Oct 18   79   54   35   13
 Oct 20   82   60   41   18
 Oct 22   84   64   44   20
 Oct 24   89   70   50   23
 Oct 26   91   75   58   31
 Oct 28   94   81   65   35
 Oct 30   97   83   69   41
 Nov 01   97   89   77   47
 Nov 03   97   89   79   54
 Nov 05  100   94   87   63
 Nov 07  100   97   91   69
 Nov 09  100  100   96   73
 Nov 11  100  100   97   78
 Nov 13  100  100   97   87
 Nov 15  100  100   98   90
 Nov 17  100  100   98   91
 Nov 19  100  100  100   93
 Nov 21  100  100  100   94
 Nov 23  100  100  100   96
 Nov 25  100  100  100   97
 Nov 27  100  100  100   98
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
