# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3438] GREENFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia3438
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  54 -17  62 -15  76 -17  85  18  89  28  91  40  99  48  99  53  97  40  92  28  76  15  64   0
  2  56 -14  64 -26  75  -3  85  13  89  24  89  41  98  49  97  52 101  42  92  22  77   9  64  -3
  3  54 -12  57 -25  78   2  84   7  88  27  94  39  98  47  97  50 100  39  93  29  75   6  64  -6
  4  52 -18  55 -20  75 -13  79  18  88  28  92  40  98  43 100  46  95  42  92  27  74   1  64   0
  5  63 -17  61 -16  67 -20  85  17  90  30 101  44  98  43  96  49  93  39  92  27  68  10  66   1
  6  50 -15  59 -15  73 -14  89  10  89  31  98  43  99  50  95  52  95  40  90  22  76   7  63  -9
  7  58 -19  60 -12  77  -8  84  19  93  30  94  45 106  52 100  48  98  40  89  22  75  -2  60  -8
  8  64 -17  64 -19  76  -5  83  19  90  28 100  43  98  52 100  51  97  42  83  24  79  -2  58 -11
  9  60 -18  58 -19  75  -5  85  16  89  29  98  42  98  49  95  49  98  41  83  22  75  15  56 -11
 10  51 -25  69  -9  72  -2  84  18  86  30  98  44  98  50  95  50  96  41  87  27  72   9  58  -6
 11  53 -14  68 -21  81  -3  85  22  94  34  97  47 100  50  95  47  97  40  85  22  71  -3  64  -5
 12  55 -22  68 -18  73  -9  87  11  96  32  94  46 102  52  98  47  97  38  86  28  71   7  64 -13
 13  59 -13  66  -9  73   1  81  18  88  30  96  43 102  50  96  45  92  35  86  24  79  -3  55 -15
 14  54 -20  68  -7  74  -1  87  24  91  35  96  48 102  49 100  48  91  38  86  27  77  -1  58 -12
 15  54 -18  62 -12  78   6  88  22  88  29  96  44 102  50 102  47  94  36  85  25  72  12  63 -15
 16  60 -22  62 -20  76   4  86  23  87  34  94  45  97  51 101  50  94  37  84  25  73   0  58 -17
 17  59 -20  66 -18  74   7  84  24  89  37  92  45 100  53 101  47  94  32  80  23  70  -2  57 -10
 18  58 -15  65  -9  73   3  88  18  90  38  97  49 100  54 101  43  92  31  84  24  73   8  66 -17
 19  53 -16  63  -9  76   3  87  24  90  37  98  49 102  52  99  44  91  30  86  14  69  10  58 -20
 20  56 -28  63 -10  73   6  85  21  91  38 100  45 102  51  96  45  91  33  87  16  69   6  57 -18
 21  56 -24  64  -7  73   0  89  24  88  37 100  45 106  49  97  46  87  32  85  22  71   1  55 -22
 22  58  -8  65  -6  82  10  90  26  89  30 100  50 104  52  96  50  87  28  81  19  70   4  56 -25
 23  59 -22  63 -13  81   8  88  22  90  36  97  47  98  51  97  45  84  31  81  18  65   5  64 -24
 24  66 -15  64  -4  83   0  89  19  95  40 100  49  96  56 100  48  87  30  79  19  61   5  59 -23
 25  58 -10  69  -6  79   5  89  28  96  41 100  45  97  55 101  44  89  35  79  21  69   1  54 -18
 26  66 -11  69 -10  83  -1  91  32  95  36  96  48  99  50 100  51  90  30  84  22  71   1  55  -8
 27  62 -19  62 -10  80   9  91  31  91  37  98  44 100  47  99  43  90  34  82  13  69   2  59  -7
 28  56 -18  72 -19  82   6  89  28  89  35  98  52  99  50 101  40 100  28  83  18  62  -3  67  -9
 29  59 -24  74  -9  89   5  91  20  90  41  97  50 100  49 100  48  90  28  78  17  69  -4  63  -9
 30  55 -16 *** ***  83   8  91  27  90  41  97  49 101  43  96  49  90  31  77  19  66  -8  59 -11
 31  63 -21 *** ***  82  10 *** ***  92  41 *** *** 102  48  97  44 *** ***  82  17 *** ***  57 -19
