# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3438] GREENFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3438   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    19 109          11     1 305          196
   1952   4    11 102          10     6 280          178
   1953   4    20 110          11     5 309          199
   1954   4     4  94          10    31 304          210
   1955   3    28  87          10    21 294          207
   1956   4    24 115          11     9 314          199
   1957   4    13 103          10    27 300          197
   1958   4    29 119          11     7 311          192
   1959   3    22  81          11     5 309          228
   1960   4    10 101          10    20 294          193
   1961   4    16 106          11     3 307          201
   1962   4    15 105          10    25 298          193
   1963   3    21  80          11     1 305          225
   1964   4     4  95          11    20 325          230
   1965   3    30  89          10    24 297          208
   1966   4    21 111          11     2 306          195
   1967   5     2 122          10    28 301          179
   1968   4     5  96          11     9 314          218
   1969   3    30  89          10    27 300          211
   1970   4     4  94          11    15 319          225
   1971   4     3  93          11     6 310          217
   1972   4     8  99          10    19 293          194
   1973   4     9  99          11     5 309          210
   1974   3    24  83          10     2 275          192
   1975   4     4  94          11    12 316          222
   1976   3    22  82          10    17 291          209
   1977   4     6  96          11    12 316          220
   1978   3    25  84          11    14 318          234
   1979   4     6  96          10    13 286          190
   1980   3    21  81          10    26 300          219
   1981   3    20  79          10     2 275          196
   1982   4     9  99          10    21 294          195
   1983   4    19 109          11    11 315          206
   1984   3    20  80          11     2 307          227
   1985   4     8  98          11    19 323          225
   1986   3    21  80          11     9 313          233
   1987   4     3  93          10    11 284          191
   1988   3    18  78          10    28 302          224
   1989   4    13 103          11     2 306          203
   1990   4    12 102          11     7 311          209
   1991   3    30  89          10    19 292          203
   1992   4    12 103          11    13 318          215
   1993   4     2  92          10    30 303          211
   1994   4     7  97          11    19 323          226
   1995   4     5  95          11     3 307          212
   1996   4     9 100          11     1 306          206
   1997   4    14 104          10    27 300          196
   1998   3    24  83          11    20 324          241
   1999   3    26  85          11    20 324          239
   2000   4     8  99          10     7 281          182
   2001   3    27  86          10    26 299          213
   2002   4     6  96          10    31 304          208
   2003   4     9  99          11     6 310          211
   2004   3    22  82          11    12 317          235
             MEAN= 95              MEAN=304     MEAN=209
