# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3438] GREENFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia3438
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      9     31     75    243    224     23     30      0      0
 1952      0      0      0     10     46    301    280    177    111      3      0      0
 1953      0      0      0      1     61    270    324    293    126     73      0      0
 1954      0      0      0     22     21    275    474    266    142     21      0      0
 1955      0      0      0     20     51    117    453    391    174      7      0      0
 1956      0      0      0      7     80    334    255    273     87     20      0      0
 1957      0      0      0      3     20    163    435    302     23      0      0      0
 1958      0      0      0      3     65    109    184    275     82      7      0      0
 1959      0      0      0      1     67    231    247    342     88      0      0      0
 1960      0      0      0     23     12    119    269    272    121      9      0      0
 1961      0      0      0      3     18    132    254    242     75      2      0      0
 1962      0      0      0      5    132    168    261    269     66     42      0      0
 1963      0      0      0      6     52    297    363    250     99     79      0      0
 1964      0      0      0      0    113    197    383    172     85      0      0      0
 1965      0      0      0      6     91    124    278    254     34     17      0      0
 1966      0      0      0      2     54    137    390    166     49     14      0      0
 1967      0      0      7     13     68    145    238    204     44     22      0      0
 1968      0      0      0      3     24    250    301    278     51     36      0      0
 1969      0      0      0      0     72    118    351    266     78     19      0      0
 1970      0      0      0     29    123    209    344    287    130     16      0      0
 1971      0      0      0      6     22    316    231    238    173     29      0      0
 1972      0      0      0      8     57    199    281    259    117      0      0      0
 1973      0      0      0      0     25    234    288    294     74     25      0      0
 1974      0      0      0      9     46    160    500    192     55      0      0      0
 1975      0      0      0      2     84    190    358    383     59     27      0      0
 1976      0      0      0     13     34    183    356    252     97     22      0      0
 1977      0      0      0     27    141    297    475    221     84      0      0      0
 1978      0      0      2      0     63    236    326    264    221      5      0      0
 1979      0      0      0      0     51    187    281    287    129     12      0      0
 1980      0      0      0     21     67    209    462    358    150      4      0      0
 1981      0      0      0     42     37    201    293    153     42      0      0      0
 1982      0      0      0      4     47     93    356    236    115     15      0      0
 1983      0      0      0      2     23    231    427    481    195     25      0      0
 1984      0      0      0     13     29    218    310    349    145      3      0      0
 1985      0      0      0     43     68    145    329    157    173      0      0      0
 1986      0      0     13     15     49    285    382    169    135      0      0      0
 1987      0      0      0     43    117    287    378    222     62      0      0      0
 1988      0      0      0      1     93    333    372    420    102      0      0      0
 1989      0      0      2     52     54    140    336    249     66     17      0      0
 1990      0      0      0     25     10    234    279    275    199     17      1      0
 1991      0      0      8     13    147    252    301    253    150     10      0      0
 1992      0      0      0      6     62    123    187    114     71     15      0      0
 1993      0      0      0      0     22    158    259    283     28     20      0      0
 1994      0      0      0     23     65    231    221    222    115      9      0      0
 1995      0      0      0      0      2    178    340    406     92     14      0      0
 1996      0      0      0      5     54    210    241    218     73     11      0      0
 1997      0      0      0      0     16    219    359    257    133     83      0      0
 1998      0      0      0      2    114    176    340    318    224      6      0      0
 1999      0      0      0      0     30    194    437    234     83      7      0      0
 2000      0      0      1      3    107    188    281    363    201     11      0      0
 2001      0      0      0     21     75    191    380    337     77      9      0      0
 2002      0      0      0     29     47    283    406    256    164     12      0      0
 2003      0      0      0     27     20    142    339    372     82     23      0      0
 2004      0      0      0     28    101    133    231    148    134     13      0      0
 2005      0      0      0     10     40    248    358      0      0      0      0      0
 MEAN      0      0      1     12     59    201    328    267    106     16      0      0
