# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3473] GRINNELL-3-SW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3473 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     31      6      3      2    258    148    125    104
 1952     82     42     36     30    402    260    230    203
 1953    152     75     58     42    240    122     98     77
 1954     83     23     15     10    460    288    251    218
 1955    158     86     72     59    517    326    287    251
 1956    113     41     32     26    340    220    192    167
 1957    136     62     48     38    402    241    207    178
 1958     86     31     22     15    377    228    195    165
 1959    108     45     36     30    342    200    172    147
 1960     22      6      4      3    413    257    225    196
 1961    103     43     35     28    243    127    106     87
 1962     85     43     37     33    350    213    185    160
 1963    181    108     95     83    419    269    236    203
 1964    104     51     40     31    348    215    190    166
 1965     14      6      4      3    276    155    130    108
 1966    189     99     80     61    255    147    125    105
 1967    167    100     86     73    334    188    159    133
 1968    235    149    131    114    339    203    177    153
 1969     47     22     17     13    345    204    173    145
 1970     55     16     10      6    345    221    193    166
 1971     64     26     20     15    363    234    206    180
 1972    119     60     51     44    263    143    119     99
 1973    188     81     62     45    255    137    116     97
 1974    134     61     49     41    359    221    190    163
 1975     42     12      7      4    234    128    110     93
 1976    154     83     70     60    388    242    209    177
 1977    211    109     92     76    483    319    285    254
 1978     77     37     30     24    295    169    143    120
 1979     69     32     25     19    247    137    116     96
 1980     90     34     26     20    324    205    180    158
 1981    195     99     81     66    415    269    237    207
 1982     85     29     22     15    262    160    138    117
 1983    132     68     57     47    182     95     82     70
 1984     24      1      0      0    262    139    114     92
 1985    186     94     75     58    441    296    266    237
 1986    171    104     93     82    394    251    221    191
 1987    182     99     84     70    410    268    243    220
 1988    185    102     84     68    347    221    193    167
 1989    144     86     74     63    360    223    193    166
 1990    193     99     84     69    331    201    174    148
 1991    192    108     92     77    355    215    189    163
 1992    172     84     69     56    254    136    116     97
 1993     51     19     14      9    232    121    100     81
 1994    173     88     73     60    363    236    208    181
 1995    183    113     97     82    236    136    114     93
 1996    103     42     32     24    284    173    150    130
 1997    160     76     62     49    258    153    130    107
 1998    115     66     59     52    298    167    140    115
 1999    137     64     51     40    305    171    144    119
 2000    240    136    117    100    330    200    175    154
 2001     26      5      3      2    435    277    243    214
 2002    110     45     33     24    320    189    162    139
 2003    147     85     74     63    375    242    215    191
 2004    193     99     80     62    388    244    210    178
