# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3473] GRINNELL-3-SW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3473   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    15 106          10     6 280          174
   1953   5    13 133          10    27 300          167
   1954   5     7 127          10    29 302          175
   1955   4     7  97          10    24 297          200
   1956   5    16 137          11     8 313          176
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    19 293          184
   1961   5     1 121          10    20 293          172
   1962   4    16 106          10    23 296          190
   1963   5    22 142          10    29 302          160
   1964   4     9 100           9    28 272          172
   1965   5    29 149          10    12 285          136
   1966   5    14 134          10     6 279          145
   1967   5     8 128           9    29 272          144
   1968   5    10 131          10     4 278          147
   1969   5    12 132          10    14 287          155
   1970   5     2 122          10    10 283          161
   1971   5    13 133          10     7 280          147
   1972   4    25 116           9    30 274          158
   1973   5    17 137          10    30 303          166
   1974   4    25 115           9    22 265          150
   1975   4    22 112           9    26 269          157
   1976   5     8 129          10     6 280          151
   1977   4    29 119          10     6 279          160
   1978   5     6 126          10     8 281          155
   1979   5    12 132          10     5 278          146
   1980   5    14 135           9    26 270          135
   1981   5    11 131          10     7 280          149
   1982   4    21 111          10    16 289          178
   1983   4    26 116           9    22 265          149
   1984   4    20 111           9    26 270          159
   1985   4    10 100           9    27 270          170
   1986   4    23 113          10     6 279          166
   1987   4     6  96          10     3 276          180
   1988   4    30 121          10     3 277          156
   1989   5     8 128           9    23 266          138
   1990   5     2 122          10    11 284          162
   1991   5     7 127           9    20 263          136
   1992   5     7 128           9    29 273          145
   1993   4    22 112          10    10 283          171
   1994   5     3 123          10    10 283          160
   1995   4    26 116          10    16 289          173
   1996   5     2 123          10     9 283          160
   1997   5    16 136          10    20 293          157
   1998   4     6  96          10    22 295          199
   1999   4    19 109          10     4 277          168
   2000   4    26 117          10     6 280          163
   2001   4    19 109          10     6 279          170
   2002   5    20 140          10     7 280          140
   2003   4    23 113           9    29 272          159
   2004   5    16 137          10     2 276          139
             MEAN=120              MEAN=281     MEAN=161
