# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3473] GRINNELL-3-SW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia3473
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0     11     50     80    231    187     15     29      0      0
 1952      0      0      0     20     33    284    305    189    102      2      0      0
 1953      0      0      0      2     50    242    328    315     96     54      0      0
 1954      0      0      0      6     13    295    412    231    135     20      0      0
 1955      0      0      0      7     65    131    484    385    133      6      0      0
 1956      0      0      0      5     92    315    287    274     74     23      0      0
 1957      0      0      0     10     25    158    409    257     28      0      0      0
 1958      0      0      0      5     52    103    213    274     81     19      0      0
 1959      0      0      0      0     84    221    250    366    112      0      0      0
 1960      0      0      0     26     26    117    250    278    123      9      0      0
 1961      0      0      0      0     32    163    247    234     92      4      0      0
 1962      0      0      0     10    141    165    221    220     44     25      0      0
 1963      0      0      1      7     32    282    316    212     90     59      0      0
 1964      0      0      0      8    116    162    353    186     89      0      0      0
 1965      0      0      0      0     95     88    162    151     30      6      0      0
 1966      0      0      0      0     12    127    318     97     41      3      0      0
 1967      0      0      0      0     34     95    160     86     15      9      0      0
 1968      0      0      0      0      4    187    229    213     32     24      0      0
 1969      0      0      0      0     46     60    250    154     39     12      0      0
 1970      0      0      0     21     73    142    251    161     68      7      0      0
 1971      0      0      0      0      7    272    153    104    113     30      0      0
 1972      0      0      0      0     43     91    206    183     87      0      0      0
 1973      0      0      0      0      2    145    232    214     61     15      0      0
 1974      0      0      0      2     21     74    326    108     23      0      0      0
 1975      0      0      0      0     61    144    246    234     39     18      0      0
 1976      0      0      0      8      8     97    245    136     29      7      0      0
 1977      0      0      0     15     90    162    355    102     43      0      0      0
 1978      0      0      0      0     49    149    214    170    124      2      0      0
 1979      0      0      0      0     27    116    197    200     60     10      0      0
 1980      0      0      0     13     39    122    340    257     90      0      0      0
 1981      0      0      0     10      6    123    250    154     33      1      0      0
 1982      0      0      0      0     36     43    237    160     77     10      0      0
 1983      0      0      0      0      2    166    342    382     88      9      0      0
 1984      0      0      0      4     14    146    181    206     53      0      0      0
 1985      0      0      0     34     28     77    216    105    155      0      0      0
 1986      0      0      0     15      7    160    289     75     82      0      0      0
 1987      0      0      0      9     88    240    336    208     33      0      0      0
 1988      0      0      0      0     97    233    311    350     59      0      0      0
 1989      0      0      2     13     26     94    290    174     34      6      0      0
 1990      0      0      1     20      4    144    223    199    133      8      0      0
 1991      0      0      4     14    124    216    258    200    105      8      0      0
 1992      0      0      0      0     28     69    119     77     42      5      0      0
 1993      0      0      0      0     18     99    187    210     12     16      0      0
 1994      0      0      0     10     19    172    152    126     64      9      0      0
 1995      0      0      0      0      0    158    258    342     35      7      0      0
 1996      0      0      0      1     25    145    146    132     45      2      0      0
 1997      0      0      0      0      5    126    244    130     58     45      0      0
 1998      0      0      1      0     65    121    247    216    106      2      0      0
 1999      0      0      0      0     13    142    359    134     50      1      0      0
 2000      0      0      1      0     39    103    194    219    132      8      0      0
 2001      0      0      0      9     29    124    267    215     31      0      0      0
 2002      0      0      0     11     23    198    321    154     90     15      0      0
 2003      0      0      0     14      5     99    215    247     40      3      0      0
 2004      0      0      0      8     54     99    147     93     73      0      0      0
 2005      0      0      0      3     10    205    268      0      0      0      0      0
 MEAN      0      0      0      6     40    151    259    198     69     10      0      0
