# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3487] GRUNDY-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.37   0.25   64(65)   19(19)   12(12)    3( 3)    0( 0)    0       98
  2 3/8-->3/14       1.50   0.26   68(71)   13(14)   10(10)    5( 5)    0( 0)    0       96
  3 3/15-->3/21      1.35   0.25   64(64)   21(21)   14(14)    1( 1)    0( 0)    0      100
  4 3/22-->3/28      1.69   0.31   55(57)   21(22)   17(18)    3( 3)    0( 0)    0       96
  5 3/29-->4/4       1.75   0.28   68(58)   28(24)   14(12)    7( 6)    0( 0)    0      117
  6 4/5-->4/11       1.67   0.28   65(60)   26(24)   15(14)    3( 3)    0( 0)    0      109
  7 4/12-->4/18      2.77   0.33   77(57)   33(25)   15(11)    6( 4)    3( 2)    0      134
  8 4/19-->4/25      1.40   0.32   84(58)   31(21)   20(14)   10( 7)    0( 0)    0      145
  9 4/26-->5/2       1.92   0.40   69(53)   25(19)   19(15)   16(12)    0( 0)    0      129
 10 5/3-->5/9        2.88   0.35   77(57)   28(21)   21(16)    7( 5)    2( 1)    0      135
 11 5/10-->5/16      1.96   0.35   77(54)   34(24)   20(14)   12( 8)    0( 0)    0      143
 12 5/17-->5/23      2.91   0.36   86(60)   30(21)   14(10)    8( 6)    5( 3)    0      143
 13 5/24-->5/30      2.98   0.44   82(52)   30(19)   26(17)   14( 9)    5( 3)    0      157
 14 5/31-->6/6       2.94   0.34   80(59)   25(18)   22(16)    7( 5)    2( 1)    0      136
 15 6/7-->6/13       3.69   0.51   69(46)   28(19)   27(18)   22(15)    3( 2)    0      149
