# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3487] GRUNDY-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia3487
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  36   3  46   5  45   4  46   7  47   7  36   7  33   4  34   7  37   8  44   6  39   2  39   3
  2  28   3  48   5  39   3  39   5  40   7  37   8  31  12  35   6  37   8  43   9  39   3  35   3
  3  31   3  32   5  38   3  52   4  40   3  35   5  33  11  31  12  38   4  37   3  37   4  33   5
  4  34   3  39   3  40   3  53   3  46   8  37  12  31   7  32   7  43   9  45   4  40   4  42   2
  5  39   1  37   2  34   7  46   5  38   4  35  10  34   8  34   7  37   3  53   9  41   4  33   5
  6  38   2  35   2  39   6  45   6  42   5  35   6  35  10  33   6  38   6  45   9  35   6  43   3
  7  41   1  40   2  41   8  40   9  43   5  33   6  33   4  34   6  39  11  42   6  36   3  34   0
  8  38   4  35   2  42   6  42   7  38   3  38   9  30   5  33   8  39  10  40   7  37   4  33   3
  9  34   4  36   4  43   5  42   5  39   6  42   9  34   9  33   4  40   4  40   5  39   4  32   4
 10  36   5  36   4  35   3  39   3  42   8  38  10  36  13  39  11  41   4  39   3  39   5  34   4
 11  37   3  37   5  38   4  44   4  41   7  38   7  32  11  34  10  41   6  40   9  36   4  33   2
 12  31   5  37   6  34   4  40   4  40   9  31   7  31  11  33   7  47  10  46   4  44   3  35   3
 13  43   3  42   4  37   2  41   5  40   6  32   7  32  12  35  10  35   6  40   6  38   3  44   4
 14  32   3  39   4  35   2  42   5  38   3  34  14  31   8  36   9  37   4  40   7  41   4  34   4
 15  42   3  44   3  39   4  47   4  38   7  35   6  31  10  34  11  37   6  38   6  40   4  44   3
 16  36   2  41   4  38   3  44   5  44   5  32   8  32  10  35   6  38   8  37   5  37   4  52   7
 17  35   2  35   4  38   4  45   4  46   9  36   9  34  11  34   5  38   6  41   6  36   4  34   4
 18  40   4  36   1  40   4  45   5  44   7  36   7  30   9  32  10  36   9  48   3  34   7  33   2
 19  40   4  38   3  34   4  51   6  42   3  36   6  31  10  35   7  36   4  40   8  37   4  40   2
 20  40   3  36   4  33   3  42   6  40  11  36  10  31  11  39   9  38   6  44   4  40   4  40   4
 21  38   4  39   3  39   5  42   5  39   7  34   8  32   7  32  11  39   6  39   4  45   3  40   4
 22  44   3  40   3  39   6  37   3  41   7  35  13  33   2  31  10  35   3  36   5  43   4  45   3
 23  35   5  40   3  48   4  48   3  47   5  34   6  34   6  30   6  45   5  38   4  34   2  34   3
 24  36   5  42   4  48   4  43   8  40   6  44   9  35   5  31   8  38   6  42   5  35   4  46   3
 25  39   4  41   2  52   5  43   7  39   7  34  13  34   9  36   6  43  10  43   6  36   4  36   2
 26  44   6  40   4  41   5  37   8  39   5  34  13  36   7  37   6  40   9  41   4  35   3  39   3
 27  35   4  37   4  45   5  40  10  36   4  35  10  33   5  37   7  40   7  43   4  36   4  30   2
 28  43   4  39   4  44   1  39   5  36   5  41  10  32   9  36   7  39   6  37   3  40   4  48   2
 29  37   5  36   5  37   2  47   4  36   8  36   4  35  12  37   5  41   5  40   3  32   2  45   3
 30  42   5  **  **  45   6  44   6  37   8  31  10  31  11  38  11  42   6  39   4  36   4  31   4
 31  41   5  **  **  45   4  **  **  36  11  **  **  37   5  38   9  **  **  43   5  **  **  34   2
