# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3509] GUTHRIE-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.68   0.31   48(58)   17(20)   14(17)    4( 5)    0( 0)    0       83
  2 3/8-->3/14       1.56   0.37   39(53)   15(21)   14(19)    5( 7)    0( 0)    0       73
  3 3/15-->3/21      1.52   0.31   49(64)   12(16)   10(13)    5( 7)    0( 0)    0       76
  4 3/22-->3/28      2.63   0.40   41(58)   12(17)    9(13)    8(11)    1( 1)    0       71
  5 3/29-->4/4       1.75   0.34   52(59)   19(22)   11(13)    6( 7)    0( 0)    0       88
  6 4/5-->4/11       1.57   0.34   49(60)   10(12)   19(23)    4( 5)    0( 0)    0       82
  7 4/12-->4/18      2.43   0.38   56(51)   28(26)   15(14)    7( 6)    3( 3)    0      109
  8 4/19-->4/25      2.43   0.39   61(52)   26(22)   20(17)    7( 6)    3( 3)    0      117
  9 4/26-->5/2       2.90   0.46   64(54)   17(14)   25(21)    8( 7)    4( 3)    0      118
 10 5/3-->5/9        2.25   0.44   54(47)   26(23)   25(22)    7( 6)    3( 3)    0      115
 11 5/10-->5/16      2.77   0.40   67(57)   21(18)   20(17)    5( 4)    5( 4)    0      118
 12 5/17-->5/23      3.43   0.45   54(43)   32(25)   27(21)   10( 8)    3( 2)    0      126
 13 5/24-->5/30      3.18   0.49   68(50)   26(19)   21(15)   17(13)    4( 3)    0      136
 14 5/31-->6/6       4.39   0.40   65(56)   26(22)   15(13)    7( 6)    3( 3)    0      116
 15 6/7-->6/13       3.95   0.54   52(41)   30(24)   24(19)   18(14)    3( 2)    0      127
 16 6/14-->6/20      3.58   0.51   59(47)   27(22)   22(18)   12(10)    5( 4)    0      125
 17 6/21-->6/27      3.82   0.48   60(53)   21(19)   15(13)   14(12)    3( 3)    0      113
 18 6/28-->7/4       6.55   0.68   43(45)   15(16)   15(16)   15(16)    7( 7)    0       95
 19 7/5-->7/11       2.84   0.55   49(46)   16(15)   18(17)   21(20)    2( 2)    0      106
 20 7/12-->7/18      3.43   0.48   45(46)   21(21)   21(21)    8( 8)    3( 3)    0       98
 21 7/19-->7/25      2.82   0.35   50(55)   21(23)   13(14)    6( 7)    1( 1)    0       91
 22 7/26-->8/1       2.33   0.46   36(44)   20(24)   16(20)    9(11)    1( 1)    0       82
 23 8/2-->8/8        3.64   0.56   56(55)    9( 9)   17(17)   11(11)    8( 8)    0      101
 24 8/9-->8/15       3.98   0.49   43(47)   20(22)   19(21)    5( 5)    4( 4)    0       91
 25 8/16-->8/22      5.28   0.52   46(49)   19(20)   17(18)    6( 6)    5( 5)    0       93
 26 8/23-->8/29      4.00   0.56   45(48)   19(20)   16(17)    9(10)    4( 4)    0       93
 27 8/30-->9/5       2.98   0.55   32(41)   16(21)   14(18)   13(17)    3( 4)    0       78
 28 9/6-->9/12       5.41   0.57   40(54)   10(14)   11(15)    9(12)    4( 5)    0       74
 29 9/13-->9/19      6.69   0.52   45(52)   21(24)   10(11)    6( 7)    5( 6)    0       87
 30 9/20-->9/26      2.10   0.35   56(62)   14(16)   12(13)    7( 8)    1( 1)    0       90
