# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3509] GUTHRIE-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3509 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     51     20     15     10    243    129    110     92
 1952     74     39     34     29    384    243    214    189
 1953    152     71     53     41    236    119     97     77
 1954    105     35     25     17    490    328    294    264
 1955    163     89     73     60    575    388    350    314
 1956    175     83     67     53    392    260    235    210
 1957    154     72     60     50    387    243    215    191
 1958     83     30     21     13    400    247    214    183
 1959    150     71     56     44    384    244    215    187
 1960     29      9      7      5    458    300    264    230
 1961    122     49     35     25    282    157    134    113
 1962     86     38     31     26    381    241    211    185
 1963    198    124    112    100    403    259    227    196
 1964    122     56     46     36    403    254    222    192
 1965      9      2      1      0    322    192    165    141
 1966    258    156    133    112    260    145    121     99
 1967    269    177    159    143    399    252    221    192
 1968    329    216    193    171    426    273    240    210
 1969     41     18     13      9    355    213    185    160
 1970     54     17     11      5    394    261    231    203
 1971     76     37     31     26    401    266    237    209
 1972    159     91     77     65    309    185    161    138
 1973    159     65     52     40    317    182    157    135
 1974    186    100     85     74    386    246    214    185
 1975     49     20     14      9    268    149    127    107
 1976    153     87     74     62    438    276    242    210
 1977    225    127    108     90    534    360    323    286
 1978     94     50     42     35    323    184    155    129
 1979     75     31     23     18    276    157    133    112
 1980     91     36     27     20    381    238    212    187
 1981    228    124    103     85    496    321    286    252
 1982    106     39     28     20    303    188    164    143
 1983    128     68     56     46    191    105     91     77
 1984     30      3      1      0    239    122     99     78
 1985    198    101     80     62    455    293    260    230
 1986    232    140    122    107    414    256    226    196
 1987    212    119    103     89    433    289    263    239
 1988    227    140    120    101    362    234    206    180
 1989    161    102     88     74    413    280    249    218
 1990    181     98     82     67    359    224    195    170
 1991    213    123    104     87    387    238    207    178
 1992    218    113     96     79    277    152    131    113
 1993     74     35     28     22    270    162    140    120
 1994    196    112     95     81    381    253    226    202
 1995    182    102     85     70    248    143    121     99
 1996    121     58     47     38    303    188    163    142
 1997    167     84     70     56    271    165    143    122
 1998    108     61     53     45    335    195    165    136
 1999    158     79     63     50    318    182    156    130
 2000    262    151    128    107    352    229    206    183
 2001     51     17     11      6    460    303    269    239
 2002     93     37     27     18    366    225    196    169
 2003    181    109     95     81    425    285    255    229
 2004    212    115     95     77    408    259    230    201
 2005    170     86     70     58    455    288    251    217
     ****************************  ****************************
 MEAN  145.5   76.9   64.1   53.0  366.0  228.5  200.4  174.3
 STDV   71.0   47.4   42.3   37.5   80.1   62.5   58.1   54.0

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    682    459    408    360    749    516    459    403
 1952    619    405    358    313    999    760    701    642
 1953    631    421    376    334    976    737    678    619
 1954    564    385    344    304    990    753    696    641
 1955    764    535    487    441    860    626    572    520
 1956    719    508    462    419   1013    780    722    664
 1957    645    432    390    350    893    654    595    537
 1958    742    540    494    451    850    613    557    503
 1959    736    513    464    415    960    720    662    604
 1960    680    462    414    368    854    617    559    503
 1961    594    396    353    314    866    632    580    531
 1962    864    630    574    520    882    644    587    532
 1963    610    390    341    299    939    699    639    585
 1964    812    578    529    481    924    689    633    577
 1965    791    572    520    469    908    668    609    552
 1966    600    413    374    337    873    637    579    522
 1967    575    394    354    316    871    635    579    524
 1968    563    373    333    297    919    682    625    568
 1969    643    433    388    345    741    518    468    420
 1970    753    533    484    436    893    654    596    539
 1971    539    347    306    267    979    739    680    621
 1972    647    425    380    337    841    607    554    502
 1973    538    338    299    265    866    627    571    517
 1974    577    376    334    293    812    577    523    471
 1975    732    511    462    418    884    646    588    531
 1976    557    368    328    292    872    636    579    524
 1977    882    641    582    525    947    707    649    593
 1978    624    417    371    328    886    650    595    542
 1979    605    415    372    332    870    631    573    517
 1980    672    464    418    377    892    653    596    541
 1981    593    395    354    314    928    688    629    570
 1982    674    442    388    340    743    511    461    414
 1983    493    305    270    239    855    624    569    516
 1984    518    333    292    255    873    635    577    520
 1985    700    469    419    373    751    522    470    424
 1986    659    437    388    342    939    701    643    585
 1987    753    527    477    429    964    731    673    617
 1988    785    568    521    479    939    705    652    601
 1989    613    429    388    348    799    566    513    464
 1990    535    342    301    261    887    650    594    538
 1991    748    527    476    428    958    718    658    600
 1992    650    459    415    373    816    587    534    483
 1993    594    384    338    296    867    633    578    523
 1994    653    466    426    388    910    673    615    559
 1995    505    301    262    226    862    625    570    516
 1996    507    303    264    228    867    631    573    519
 1997    470    299    265    232    910    676    622    569
 1998    770    539    486    436    793    569    516    463
 1999    620    403    356    313    874    636    578    523
 2000    724    508    458    411    852    621    565    511
 2001    627    404    360    318    833    600    545    491
 2002    573    383    342    302    985    746    689    632
 2003    546    349    311    276    802    567    512    461
 2004    667    451    401    355    803    569    513    461
 2005    580    383    342    302    951    711    652    595
     ****************************  ****************************
 MEAN  645.8  437.8  392.7  350.3  883.1  647.3  591.0  536.4
 STDV   95.3   82.9   78.6   74.3   66.3   63.9   62.3   60.2

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    975    727    665    604    975    727    665    604
 1952   1029    781    719    658    901    653    592    534
 1953   1033    785    723    661    991    743    681    620
 1954   1134    886    824    762   1058    810    748    686
 1955   1182    934    872    810   1087    839    777    717
 1956   1036    788    726    664   1038    790    730    672
 1957   1156    908    846    784   1050    803    743    683
 1958    996    748    686    624   1018    773    713    653
 1959    997    749    688    628   1124    876    815    754
 1960   1004    756    695    636   1035    787    725    665
 1961   1028    780    718    656    995    747    685    623
 1962   1005    760    701    642    998    751    692    633
 1963   1089    841    779    717    991    743    682    622
 1964   1093    845    783    721    874    635    578    522
 1965   1054    806    744    682    951    704    643    584
 1966   1108    860    798    736    914    669    609    551
 1967    994    747    688    631    949    704    647    590
 1968   1037    789    727    666    963    715    653    593
 1969   1044    796    734    672   1010    762    700    638
 1970   1008    760    704    648    989    741    680    620
 1971    931    689    631    574    932    694    636    579
 1972    956    711    651    593    925    678    620    564
 1973    937    689    627    569   1029    781    719    657
 1974   1108    860    798    738    884    637    578    523
 1975   1039    792    731    672   1007    759    698    637
 1976   1017    770    710    650    948    704    646    588
 1977   1095    847    785    723    900    653    592    534
 1978   1013    765    703    642    986    741    682    624
 1979    999    751    689    628    960    712    650    591
 1980   1089    841    779    717   1018    770    708    646
 1981   1021    773    711    650    916    673    615    558
 1982   1026    778    716    654    902    659    600    544
 1983   1074    826    764    702   1104    856    794    732
 1984    966    719    658    598    988    743    684    625
 1985    967    719    658    598    810    565    509    459
 1986   1092    844    782    720    861    622    564    508
 1987   1058    810    748    687    895    647    588    530
 1988   1014    766    705    646   1030    791    734    677
 1989   1015    767    705    644    944    700    641    585
 1990    994    746    684    624   1001    754    694    636
 1991   1004    757    696    636    953    706    646    586
 1992    882    635    574    514    795    556    503    451
 1993   1031    783    721    659   1002    754    693    633
 1994    931    684    625    567    893    651    595    540
 1995   1022    775    715    655   1087    839    777    715
 1996    960    714    653    592    908    660    599    539
 1997   1026    780    720    660    918    671    613    556
 1998   1060    812    750    688   1019    771    709    647
 1999   1115    867    805    743    935    687    627    567
 2000    988    740    679    619   1011    763    701    639
 2001   1076    828    766    705    995    747    686    627
 2002   1080    832    770    708    947    701    640    581
 2003   1011    763    703    643   1011    763    701    639
 2004    948    700    641    582    815    583    532    482
 2005   1044    796    734    673      0      0      0      0
     ****************************  ****************************
 MEAN 1028.9  781.4  720.1  659.5  949.8  708.4  649.7  592.1
 STDV   58.9   58.5   57.9   57.0  148.6  119.4  112.0  104.4

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    609    400    353    307    413    257    226    198
 1952    744    523    473    428    374    239    210    183
 1953    733    521    475    431    584    394    353    314
 1954    847    620    567    515    443    269    233    200
 1955    815    603    556    509    536    366    328    291
 1956    752    540    493    447    638    435    392    353
 1957    665    448    404    365    385    229    196    164
 1958    797    573    522    475    566    383    342    304
 1959    730    515    465    419    373    220    189    159
 1960    793    573    523    474    472    321    288    257
 1961    682    475    427    381    517    337    297    260
 1962    662    465    421    379    539    353    311    272
 1963    811    583    527    472    748    517    464    416
 1964    704    494    445    398    429    283    250    218
 1965    596    388    342    301    504    334    298    262
 1966    697    485    440    398    483    323    285    251
 1967    674    462    416    375    417    264    236    211
 1968    675    450    401    357    464    305    270    237
 1969    718    497    448    403    342    211    185    161
 1970    695    478    432    386    384    239    206    176
 1971    724    526    482    439    540    361    322    284
 1972    690    485    442    401    335    202    177    154
 1973    671    447    397    352    526    350    314    279
 1974    592    399    361    324    455    288    253    220
 1975    569    388    346    308    479    331    299    268
 1976    676    481    438    399    320    196    174    156
 1977    735    508    457    409    355    196    164    137
 1978    834    603    552    503    384    239    209    180
 1979    738    540    497    455    426    279    246    215
 1980    735    526    479    434    355    235    209    184
 1981    688    484    441    400    360    221    192    165
 1982    660    449    401    355    428    258    223    194
 1983    731    524    477    432    352    213    183    155
 1984    632    432    385    343    411    246    210    176
 1985    665    460    412    368    343    197    166    137
 1986    777    554    500    447    407    241    206    173
 1987    707    492    447    404    336    202    175    148
 1988    720    515    470    426    330    194    165    139
 1989    630    447    403    360    440    298    266    235
 1990    786    573    524    476    421    278    244    212
 1991    705    514    470    427    375    237    212    190
 1992    649    462    419    377    426    277    248    221
 1993    528    331    290    254    389    237    204    174
 1994    724    513    468    425    481    303    264    228
 1995    612    425    383    344    387    249    219    190
 1996    594    403    361    321    427    271    240    210
 1997    724    513    468    424    446    305    276    247
 1998    846    619    564    511    448    281    246    213
 1999    627    441    400    361    410    281    251    222
 2000    742    545    498    454    520    347    309    273
 2001    649    441    394    351    399    251    218    186
 2002    739    531    487    443    296    173    150    130
 2003    642    453    411    372    462    322    289    257
 2004    785    577    529    483    439    267    229    198
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  689.5  485.3  439.7  396.4  427.6  274.6  242.0  211.6
 STDV  118.2   91.7   85.6   79.4  102.5   76.2   70.0   64.2
