# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3509] GUTHRIE-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3509   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    24 297          190
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    27 300          190
   1954   4    12 102          10    18 291          189
   1955   3    28  87          10    15 288          201
   1956   4    30 121          11     8 313          192
   1957   4    14 104          10    20 293          189
   1958   4    29 119          10    26 299          180
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    19 293          184
   1961   5     2 122          10    20 293          171
   1962   4    17 107          10    24 297          190
   1963   4     4  94          10    29 302          208
   1964   4     9 100          10     9 283          183
   1965   4    16 106          10    24 297          191
   1966   5     1 121          10    29 302          181
   1967   5     2 122          10    11 284          162
   1968   4    25 116          10     4 278          162
   1969   4     6  96          10    14 287          191
   1970   5     2 122          10    10 283          161
   1971   4    14 104          11     6 310          206
   1972   4    25 116           9    30 274          158
   1973   4    11 101          11     4 308          207
   1974   4     9  99          10     1 274          175
   1975   4    13 103          10     2 275          172
   1976   5     3 124          10     6 280          156
   1977   4     7  97          10    16 289          192
   1978   3    26  85          11     7 311          226
   1979   4    10 100          10    13 286          186
   1980   4    12 103          10     4 278          175
   1981   4    15 105          10     2 275          170
   1982   4    11 101          10    21 294          193
   1983   4    20 110           9    23 266          156
   1984   4    19 110           9    26 270          160
   1985   4     9  99          10     1 274          175
   1986   4    22 112          10    14 287          175
   1987   4     6  96          10     3 276          180
   1988   4    29 120          10     5 279          159
   1989   5     7 127           9    24 267          140
   1990   5     2 122          10    10 283          161
   1991   4    24 114           9    19 262          148
   1992   5     6 127          10    17 291          164
   1993   4    17 107          10    10 283          176
   1994   4     7  97          10    26 299          202
   1995   4     5  95           9    22 265          170
   1996   4    27 118          10     8 282          164
   1997   5    13 133          10    17 290          157
   1998   4     5  95          11     5 309          214
   1999   4    18 108          10     4 277          169
   2000   4    13 104          10     6 280          176
   2001   4    24 114          10     6 279          165
   2002   4     7  97          10    13 286          189
   2003   4    10 100           9    29 272          172
   2004   5     3 124          10     2 276          152
             MEAN=108              MEAN=286     MEAN=178
