# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3509] GUTHRIE-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia3509
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.51  2.35  3.89  4.88  3.72  5.00  5.31  6.78  2.15  1.19  0.96  1.25 37.99
 1952  0.75  0.84  5.50  2.33  3.70  5.53  4.24  7.68  0.74  0.00  2.05  0.94 34.30
 1953  0.76  1.08  2.25  2.82  2.72  7.71  2.33  1.26  0.66  0.60  1.53  0.77 24.49
 1954  0.05  1.35  1.28  2.87  3.13  4.44  0.87 10.31  1.91  4.01  0.08  0.26 30.56
 1955  0.72  1.84  0.90  3.49  2.81  3.22  3.29  1.39  2.49  0.21  0.13  0.32 20.81
 1956  0.60  0.35  0.41  1.37  2.31  3.68  3.88  6.67  3.13  2.02  4.34  0.28 29.04
 1957  0.63  0.15  2.32  2.27  4.26  6.20  1.01  3.78  2.33  4.93  2.97  1.18 32.03
 1958  0.84  0.77  0.61  1.33  0.71  3.52 13.81  0.91  5.68  0.72  0.82  0.04 29.76
 1959  1.06  1.14  3.08  2.86  6.69  2.72  1.80  2.24  3.96  2.15  1.51  1.76 30.97
 1960  2.21  1.57  1.31  2.95  5.84  3.30  4.00  8.74  3.64  1.35  0.52  0.60 36.03
 1961  0.38  1.76  5.33  2.39  3.26  4.18  3.19  3.99  8.98  2.05  2.14  2.78 40.43
 1962  0.20  2.46  1.20  1.41  6.52  3.99  3.80  2.59  1.54  2.87  0.29  0.06 26.93
 1963  0.65  0.65  3.51  4.70  1.56  1.40  0.00  0.00  0.00  0.00  0.00  0.00 12.47
 1964  0.00  0.00  1.16  6.04  3.81  8.33  4.30  5.10  5.65  0.00  0.00  0.90 35.29
 1965  1.02  0.00  3.68  0.00  3.32  0.00  0.00  0.00  0.00  0.00  0.00  0.00  8.02
 1966  0.00  0.00  0.62  0.57  3.64  8.37  1.47  2.31  0.00  0.00  0.00  0.00 16.98
 1967  0.00  0.00  0.00  1.03  4.50 11.76  0.00  0.00  0.00  0.00  0.00  0.00 17.29
 1968  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  5.29  4.91  1.63  1.74 13.57
 1969  1.11  1.98  1.28  4.09  4.71  7.13  5.66  2.55  1.91  4.06  0.07  1.97 36.52
 1970  0.20  0.20  2.65  1.69  6.57  2.76  1.50  5.85  2.88  4.17  2.13  1.08 31.68
 1971  1.63  2.70  1.43  2.11  6.01  7.45  2.00  1.62  1.15  3.87  4.02  1.17 35.16
 1972  0.76  0.73  0.69  3.97  6.07  4.20  5.87  5.68  8.57  3.75  3.27  1.80 45.36
 1973  0.00  2.29  4.40  5.19  7.17  2.95  6.29  2.65  7.79  2.86  2.67  2.94 47.20
 1974  0.78  1.07  0.86  2.64  7.01  3.12  0.43  3.71  2.09  3.44  1.43  1.32 27.90
 1975  1.49  1.06  1.70  5.61  2.24  6.98  0.15  8.22  3.13  0.61  3.61  0.31 35.11
 1976  0.00  3.08  4.03  3.89  4.00  3.62  0.00  0.53  1.06  1.27  0.00  0.35 21.83
 1977  0.73  0.39  5.40  2.11  1.87  1.39  6.12  9.54  4.97  5.46  0.80  1.31 40.09
 1978  0.50  1.24  0.92  6.43  2.25  1.65  5.08  2.79  8.03  0.99  1.84  1.10 32.82
 1979  2.26  0.53  3.82  4.19  2.77  3.61  5.93  4.31  0.72  3.36  1.87  0.22 33.59
 1980  1.94  0.92  0.92  1.04  2.14  4.80  1.48  6.33  0.56  2.19  0.24  1.05 23.61
 1981  0.02  1.05  0.78  2.31  1.94  3.45  5.61  6.80  2.14  2.67  1.64  1.87 30.28
 1982  2.12  0.30  3.64  2.41  7.68  2.31  5.49  4.81  4.18  2.11  2.84  4.97 42.86
 1983  1.20  1.47  5.35  2.87  5.28  5.68  1.81  2.79  2.48  4.39  5.35  1.31 39.98
 1984  0.77  0.56  2.75  8.72  4.42  5.15  4.14  1.80  2.29  4.96  2.17  2.50 40.23
 1985  0.66  1.24  2.38  1.66  3.33  5.13  2.84  2.19  3.92  2.75  0.71  0.95 27.76
 1986  0.00  1.25  2.82  5.20  7.18  8.73  5.36  6.71  5.43  3.78  1.32  0.83 48.61
 1987  0.02  0.05  2.30  2.18  5.08  3.42  6.39  9.48  3.12  0.93  1.89  1.26 36.12
 1988  0.43  0.00  0.15  0.67  1.11  1.36  4.45  3.13  4.54  0.19  4.19  0.12 20.34
 1989  0.92  0.86  0.45  2.15  3.39  4.47  3.43  3.25  5.18  2.81  0.00  0.29 27.20
 1990  0.46  0.36  5.97  0.79  5.56  7.66  5.92  3.07  1.00  1.05  1.90  1.10 34.84
 1991  1.18  0.12  4.13  6.84  4.65  6.71  1.58  5.17  1.49  3.57  3.25  1.67 40.36
 1992  0.63  1.11  2.46  3.31  1.83  0.52  8.10  3.07 10.16  0.33  4.70  1.87 38.09
 1993  0.91  0.86  2.58  1.94  6.53  7.56  9.37 11.84  2.65  1.44  0.80  0.42 46.90
 1994  0.68  0.51  0.00  2.26  1.32  6.50  1.34  4.39  3.60  3.77  1.34  1.08 26.79
 1995  0.84  0.73  4.34  4.79  6.53  1.53  4.64  2.88  2.28  1.51  1.26  0.36 31.69
 1996  1.64  0.10  1.62  1.81  7.50  5.90  6.52  2.55  3.56  3.52  3.12  0.59 38.43
 1997  0.71  0.67  1.67  4.18  3.63  3.08  1.01  2.61  2.79  4.55  1.38  0.73 27.01
 1998  0.60  1.72  2.87  2.79  5.30 12.60  7.54  4.64  0.87  2.64  1.04  0.16 42.77
 1999  0.68  1.18  0.47  6.23  6.35  7.75  5.07  4.03  2.21  0.32  0.91  0.54 35.74
 2000  0.25  2.14  0.99  1.74  2.70  4.25  7.05  1.26  0.61  1.28  2.16  1.72 26.15
 2001  1.33  1.70  1.50  2.52  6.48  2.03  1.07  2.94  5.02  1.61  1.38  0.42 28.00
 2002  0.33  0.90  0.74  3.98  4.19  3.46  3.25  9.23  1.78  3.77  0.11  0.00 31.74
 2003  0.29  0.76  0.58  5.81  3.57  2.76  3.33  1.21  3.09  1.09  4.39  0.81 27.69
 2004  1.13  1.21  3.79  2.28 11.27  3.25  3.66  4.37  0.86  0.95  3.63  0.33 36.73
 2005  1.47  1.29  0.58  6.51  7.00  5.71  4.07 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  0.75  0.99  2.18  3.13  4.35  4.62  3.76  4.11  3.08  2.20  1.71  0.99 31.17
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
