# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3509] GUTHRIE-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3509
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     9     5     0    14        0     0    22    17     0    39
 1952     1    16    14     1     2    34        2    67    51     2     2   124
 1953     1    13    11    11     4    40        1    36    42    61    28   168
 1954     2    18    27    19    12    78        4   113   296   107    47   567
 1955     6     6    29    26    13    80       12    26   249   235   104   626
 1956     6    20    19    18    10    73       22   147   121   101    30   421
 1957     0     8    28    16     1    53        0    32   221   112     2   367
 1958     3     7     4    24     5    43        5    36    12   133    10   196
 1959     2    15    14    23     5    59        3    69    55   143    21   291
 1960     0     6    16    14     8    44        0     8    82    58    50   198
 1961     0     8    16    14     6    44        0    31    66    48    16   161
 1962     6     9    15    14     3    47       12    17    48    42     6   125
 1963     0     9    23    14     4    50        0    56   104    55    11   226
 1964     6     8    25    10     3    52       10    21   146    48     8   233
 1965     3     6    20    19     0    48        5     9   115   108     0   237
 1966     5     5    21    10     4    45       19    14   125    33     9   200
 1967     7     1    14    12     0    34       50     2    70    18     0   140
 1968     1    13    11    13     0    38        5    50    43    85     0   183
 1969     2     4    13    11     0    30        5    14    66    32     0   117
 1970     3     7    18    13     7    48        6    42   108    60    30   246
 1971     0    16     8    11    11    46        0    78    28    43    43   192
 1972     2     9    10    13     4    38        3    36    48    79    18   184
 1973     0    12    14    15     0    41        0    52    54    53     0   159
 1974     0     6    27     6     1    40        0    38   246    24     1   309
 1975     5     8    25    18     3    59       20    28   125   131    15   319
 1976     2     8    18    17     9    54        4    26    96    83    28   237
 1977     8    17    23     5     0    53       22    91   207    15     0   335
 1978     2    11    13    14    12    52        3    49    77    74    66   269
 1979     3    11    14    15     6    49        6    24    39    70    20   159
 1980     6     6    23    18     8    61       12    36   210   129    36   423
 1981     0    12    14     8     4    38        0    47    85    17    11   160
 1982     0     1    15     6     1    23        0     1    61    28     1    91
 1983     0     6    23    26     9    64        0    29   137   215    44   425
 1984     0     2    14    15     5    36        0     8    63    89    25   185
 1985     1     5    10     5     9    30        1    21    37    18    39   116
 1986     0    11    17     2     2    32        0    38    68     3     4   113
 1987     6    17    14     6     1    44       14    78    74    35     2   203
 1988     6    18    18    20     5    67       17   146   115   171    13   462
 1989     3     3    13     3     1    23        8    10    74    14     3   109
 1990     0     8     9     9    13    39        0    36    51    35    56   178
 1991     6    11    14    11     5    47       18    52    81    36    10   197
 1992     4     5     4     2     0    15        8    13    14     5     0    40
 1993     1     7     4     9     1    22        2    25    12    25     3    67
 1994     3     8     7     6     4    28       11    23    19    28    14    95
 1995     0    10    14    17     1    42        0    44    81    91     1   217
 1996     3     9     6     2     1    21        8    39    19     4     1    71
 1997     1     9    16     9     3    38        4    35    92    33    15   179
 1998     3     6    12     8    10    39       12    27    45    29    38   151
 1999     0     6    18     5     3    32        0    24   128    10    13   175
 2000     4     5     7    11    10    37       18    17    29    44    86   194
 2001     2     8    18    15     4    47        8    33    97   110    16   264
 2002     2    17    22     7     8    56        7    71   135    31    37   281
 2003     0     7    13    14     4    38        0    17    56   116     9   198
 2004     2     4     5     2     3    16        4    15    15     7     5    46
 2005     0    10    16     0     0    26        0    49    76     0     0   125
 **************************************************************************************
MEANS   2.3   8.9  15.4  11.6   4.5  42.7      6.7  39.0  87.9  61.7  19.0 214.4
