# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3509] GUTHRIE-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   7  12  13   9  15   8  10   5   8   2   6  97
1952     7   6  13   8  10  12  10  14   4   0   4   5  93
1953     5   8  11  10   7  10   8   6   3   3   2   4  77
1954     1   2   7   7   7  10   4  15   5   9   1   3  71
1955     8   5   3   6   7   8   8   4   6   1   1   4  61
1956     6   2   3   6   7   9   7  11   2   4   6   4  67
1957     5   2   7   6  11  10   5   8   4   9   8   6  81
1958     4   4   5   8   5   7  14   8   6   2   3   1  67
1959     6   3   8   6  14   5   5  10   9   7   8   8  89
1960     7   7   8   5  10   8   7   5   8   2   1   2  70
1961     2   6  11  11   7  12  10   7  12   6   5   7  96
1962     3   8   7   6  12   9   8   6   7   8   4   1  79
1963     4   3   7   6   3   6   0   0   0   0   0   0  29
1964     0   0   4   9   6   8  11   9   7   0   0   2  56
1965     5   0   4   0   8   0   0   0   0   0   0   0  17
1966     0   0   2   2   6   8   4   5   0   0   0   0  27
1967     0   0   0   2   5  12   0   0   0   0   0   0  19
1968     0   0   0   0   0   0   0   0  14   8   6   2  30
1969     5   4   2   9  15  13  12   5   7  11   2   5  90
1970     3   1   8   7  13   7   8   7  10   8   7   2  81
1971     2   5   2   6  12   9  10   8   5   9   8   3  79
1972     2   5   6   9  16  10  11   9   9   6   8   5  96
1973     0   6  13   7  10   7   8   8  15   6   4   8  92
1974     5   2   4   6  15   7   4  11   7   7   7   6  81
1975     6   6   5   9   8  14   2  11  10   2  12   1  86
1976     0   8   5   6   6   8   0   2   3   5   0   4  47
1977     6   5  10   6  10   7  11  11  13  11   7   8 105
1978     4   8   7  14   8   6   9   6   6   7   6   7  88
1979    11   3  11  12   7  10   9   8   3   5   7   1  87
1980    11   6   5   4   5   9   8  14   5   4   2   4  77
1981     1   3   5   8  10  11  10  12   5   7   7   5  84
1982    10   2  10  12  19  10  11  10   7  11   8   6 116
1983     6   5  12  11  13  12   7   4   7  14  14   8 113
1984     5   1  10  17  11  14   8   6   6  15   5   7 105
1985     6   6   7  12  13   8   7  13  11   9   8   4 104
1986     0   4   4  12  12   9   9   7  13   9   6   3  88
1987     1   1   7   6  11   6  13  12   6   3   6   6  78
1988     2   0   1   5   5   3   4   4   8   1   5   1  39
1989     3   4   2   4   6   9   5   6   4   5   0   3  51
1990     3   3   9   7   7  12   9   9   4   4   6   4  77
1991     4   3   9  12  13   6   5   5   4   7  10   4  82
1992     6   4   6  11   5   2  16   7  10   1   9  10  87
1993     6   9   6   9  18  16  17  15   9   3   3   4 115
1994     5   4   0   9   6  11   7  11   8   6   8   4  79
1995     4   4   7  11  14  12   9  11  10   4   5   3  94
1996     9   2   6   4  18  13   9   5   5   5  12   4  92
1997     6   4   4  12  10   7   3   9   6   7   4   7  79
1998     5   8  12  14   8  19   9  11   4  12   5   2 109
1999     7   6   4  13  12   9   9   7   3   3   4   5  82
2000     4   7   4   5   7  11  10   6   4   8   5  13  84
2001     8   7   4   9  18  11   9   6   8   6   4   5  95
2002     3   4   6  13  11   4  10   9   7  12   2   0  81
2003     8   6   5  11  15  10   8   3   5   5   7   7  90
2004     7   8  11   7  15  14  15  11   5  11   8   2 114
2005    11   7   5  11  11  14   6   0   0   0   0   0  65
STDDEV   3   3   3   4   4   4   4   4   4   4   3   3  24
AVG      5   4   6   8  10   9   8   8   6   6   5   4  79
