# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3517] GUTTENBERG-L-AND-D-10
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3517 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     25      2      0      0    211     98     78     62
 1952     55     22     18     14    360    224    199    176
 1953    114     43     32     21    202     90     69     51
 1954     75     21     15     10    403    230    196    167
 1955    101     42     32     24    475    291    254    218
 1956     56     17     10      4    275    151    125    101
 1957     95     32     22     15    387    232    203    175
 1958     71     20     12      8    350    200    166    137
 1959     67     21     15     10    320    168    141    117
 1960     18      4      2      1    350    214    189    165
 1961     60     24     19     15    194     89     71     56
 1962     50     22     18     15    316    192    168    146
 1963    152     94     81     69    390    236    201    169
 1964     79     28     20     13    328    191    165    139
 1965     11      1      0      0    220    115     94     77
 1966    162     70     51     37    229    106     83     65
 1967    120     58     48     40    323    174    140    114
 1968    243    136    118    100    411    252    217    187
 1969     63     30     23     16    345    183    152    122
 1970     48      4      1      0    370    231    201    171
 1971     66     30     25     21    371    234    204    177
 1972     56     15     10      6    250    139    118     98
 1973    193     78     60     44    289    157    133    110
 1974    109     38     31     25    420    262    228    196
 1975     35      5      2      0    221    118    100     82
 1976    163     85     70     59    415    257    221    186
 1977    215    110     90     74    541    367    328    291
 1978     91     41     34     28    311    174    146    119
 1979     62     22     15     10    234    123    103     86
 1980     62     17     11      7    373    226    194    169
 1981    200    101     85     70    431    254    217    185
 1982     79     24     17     13    280    159    135    113
 1983    115     54     44     34    224    116     97     83
 1984     44     10      4      2    307    163    133    106
 1985    161     67     50     36    499    335    300    269
 1986    187    107     94     84    446    279    244    211
 1987    158     75     62     51    469    296    265    236
 1988    147     65     47     34    348    201    171    145
 1989    107     58     50     43    314    165    137    109
 1990    164     78     63     51    357    218    191    165
 1991    146     68     56     46    375    219    188    158
 1992    124     47     34     23    242    114     94     78
 1993     48     14     10      7    265    135    109     85
 1994    116     49     41     34    351    209    181    156
 1995    161     82     67     54    227    112     90     69
 1996     81     24     16     10    285    155    129    108
 1997    127     57     47     38    296    173    148    124
 1998    148     84     73     63    369    205    174    144
 1999    141     65     52     41    366    196    163    133
 2000    241    135    112     93    342    200    173    149
 2001     50      7      5      3    457    283    248    218
 2002     86     31     21     13    368    224    194    169
 2003    146     77     65     53    371    233    205    178
 2004    171     80     65     52    413    246    213    181
 2005    128     64     54     47    441    272    234    199
     ****************************  ****************************
 MEAN  109.0   48.3   38.5   30.6  340.5  197.9  169.5  143.6
 STDV   56.9   34.2   29.6   25.5   81.8   62.9   58.1   53.4

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    745    507    453    400    794    555    497    440
 1952    627    401    353    307    950    710    651    594
 1953    619    396    349    309    951    711    651    592
 1954    503    306    266    229    974    736    677    620
 1955    728    495    443    395    804    567    510    455
 1956    659    442    393    348    992    754    697    640
 1957    580    362    314    269    885    645    586    528
 1958    697    478    430    384    777    537    477    420
 1959    726    501    450    400    916    676    616    559
 1960    540    340    298    262    736    508    455    405
 1961    524    339    301    265    873    635    576    522
 1962    799    561    505    451    886    646    586    528
 1963    608    394    348    307    960    720    660    602
 1964    783    540    486    438    885    651    595    540
 1965    739    506    452    404    861    621    561    502
 1966    538    340    298    263    900    662    604    547
 1967    528    337    297    260    904    664    606    549
 1968    567    348    301    258    902    662    602    544
 1969    658    439    391    346    735    504    450    399
 1970    713    490    439    392    919    679    620    562
 1971    559    371    332    294    998    758    698    638
 1972    718    499    448    401    826    594    542    491
 1973    564    352    304    258    928    688    628    568
 1974    552    346    300    263    792    553    497    446
 1975    738    508    457    409    911    671    613    557
 1976    594    389    345    303    913    673    614    557
 1977    877    641    584    528    957    717    658    599
 1978    664    441    393    347    906    666    606    552
 1979    639    431    386    343    905    667    608    549
 1980    710    489    439    393    889    649    591    535
 1981    608    401    357    314    900    661    602    543
 1982    767    527    472    418    742    509    457    410
 1983    522    312    268    228    904    668    611    557
 1984    563    361    319    280    943    703    644    586
 1985    782    540    485    431    841    602    544    488
 1986    704    472    417    365    911    671    612    555
 1987    785    557    505    457   1003    763    704    646
 1988    783    547    496    449    993    753    694    636
 1989    609    408    362    318    854    614    556    500
 1990    529    318    274    232    892    655    597    541
 1991    759    534    483    435   1003    763    703    643
 1992    652    433    387    343    823    584    526    469
 1993    645    421    372    325    826    592    534    478
 1994    658    440    393    348    945    706    648    590
 1995    598    364    315    274    956    716    656    597
 1996    519    303    259    220    885    646    587    529
 1997    496    300    261    224    946    706    646    586
 1998    815    568    509    453    854    617    561    507
 1999    696    458    406    358    916    677    619    562
 2000    715    487    433    382    839    600    542    486
 2001    672    433    382    335    859    621    564    509
 2002    563    365    323    284    961    721    661    602
 2003    592    362    317    276    856    616    558    502
 2004    681    456    405    358    863    625    566    509
 2005    581    373    326    283   1017    777    717    657
     ****************************  ****************************
 MEAN  650.7  431.4  383.3  338.5  893.8  655.4  597.1  540.5
 STDV   94.4   82.4   78.1   73.5   68.7   67.2   66.0   64.1

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1002    754    692    630    942    694    632    570
 1952   1100    852    790    728    953    705    643    582
 1953   1054    806    744    682   1014    766    704    642
 1954   1072    824    762    700    974    726    664    602
 1955   1164    916    854    792   1104    856    794    732
 1956   1007    759    697    635   1016    769    708    649
 1957   1115    867    805    743   1015    767    705    643
 1958    961    713    651    589    976    731    670    610
 1959    975    727    666    605   1070    822    760    699
 1960    927    679    619    563    925    679    618    558
 1961    992    744    682    620   1037    789    727    665
 1962    954    706    644    584    976    728    666    604
 1963   1043    795    733    671    967    719    657    598
 1964   1090    842    780    718    935    688    628    569
 1965   1011    763    701    639    948    700    640    580
 1966   1077    829    767    705    929    681    619    560
 1967    970    723    662    601    862    616    557    500
 1968   1021    773    711    650   1008    760    698    637
 1969   1044    796    734    672   1043    795    733    671
 1970   1051    803    741    679   1008    760    698    636
 1971    922    675    617    559    915    667    607    548
 1972    946    698    637    578    956    709    648    588
 1973   1033    785    723    661   1034    786    724    662
 1974   1073    825    763    701    924    676    616    556
 1975   1039    791    729    670   1023    775    713    653
 1976   1065    817    755    694    959    711    651    591
 1977   1091    843    781    719    893    647    587    530
 1978   1017    769    707    645   1004    756    695    634
 1979   1020    772    711    650    949    702    641    582
 1980   1100    852    790    728   1041    793    731    669
 1981   1019    771    709    648    955    707    646    587
 1982   1051    803    741    679    953    705    644    586
 1983   1106    858    796    734   1106    858    796    734
 1984    993    746    685    624   1057    809    747    686
 1985   1034    786    724    662    906    658    597    537
 1986   1082    834    772    710    878    634    575    516
 1987   1118    870    808    746    981    733    671    610
 1988   1096    848    786    724   1094    846    786    726
 1989   1080    832    770    708    965    717    655    594
 1990   1013    765    703    641   1002    754    692    630
 1991   1046    798    736    674    996    748    686    624
 1992    899    651    589    527    845    598    537    480
 1993   1009    761    699    637   1010    762    700    638
 1994   1002    754    692    630    894    646    585    524
 1995   1062    814    752    692   1144    896    834    772
 1996    984    736    674    612   1017    769    707    645
 1997   1040    792    730    668    937    689    627    565
 1998   1060    812    750    688   1040    792    730    668
 1999   1143    895    833    771    954    706    644    582
 2000   1026    778    716    654   1024    776    714    652
 2001   1092    844    782    720   1025    777    715    653
 2002   1130    882    820    758   1003    755    693    632
 2003   1049    801    739    677   1086    838    776    714
 2004    994    746    684    622    857    610    550    493
 2005   1073    825    763    701      0      0      0      0
     ****************************  ****************************
 MEAN 1038.9  790.9  729.1  667.6  966.0  722.8  662.6  603.1
 STDV   56.9   56.8   56.5   55.9  147.9  118.7  111.5  104.4

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    647    427    377    328    419    247    215    184
 1952    741    519    470    424    327    207    182    157
 1953    713    496    446    399    582    393    352    313
 1954    763    533    479    426    407    246    211    177
 1955    800    573    519    468    458    284    247    211
 1956    678    458    408    361    606    390    343    303
 1957    672    449    400    355    368    202    168    137
 1958    737    510    460    413    512    332    291    251
 1959    694    483    435    390    274    138    111     88
 1960    659    456    411    368    380    234    204    178
 1961    719    499    450    402    473    289    251    216
 1962    632    417    369    325    514    319    276    237
 1963    718    489    437    387    699    479    429    379
 1964    700    481    432    384    392    230    197    170
 1965    642    415    363    318    436    258    219    182
 1966    662    443    392    347    424    260    225    190
 1967    659    441    392    348    380    223    195    168
 1968    680    448    395    348    456    288    249    212
 1969    725    497    447    400    369    208    178    153
 1970    712    484    434    385    437    258    221    186
 1971    764    546    495    445    586    388    343    298
 1972    687    471    422    374    296    159    137    115
 1973    685    460    410    365    550    354    312    272
 1974    611    413    369    327    444    266    227    192
 1975    592    395    351    309    507    336    299    264
 1976    683    472    426    383    313    175    152    132
 1977    752    515    459    406    361    192    159    131
 1978    850    616    559    506    386    214    178    144
 1979    753    528    478    432    406    231    195    164
 1980    772    544    490    438    333    183    154    128
 1981    691    466    413    365    380    211    178    148
 1982    700    478    427    378    460    273    235    199
 1983    739    517    465    414    416    233    195    160
 1984    705    497    447    399    485    299    256    215
 1985    714    501    453    407    416    234    196    161
 1986    731    498    442    387    417    229    192    159
 1987    715    478    423    375    311    165    135    108
 1988    794    562    509    458    297    158    130    108
 1989    637    422    377    333    445    283    249    215
 1990    770    542    490    441    378    215    182    154
 1991    663    460    411    364    372    206    176    149
 1992    662    450    402    357    376    215    185    157
 1993    549    334    288    244    362    208    177    149
 1994    788    550    494    441    470    278    236    197
 1995    661    446    396    350    389    225    195    167
 1996    715    484    434    387    432    256    220    185
 1997    747    511    454    402    455    296    262    230
 1998    854    616    558    501    443    249    210    174
 1999    675    457    410    366    403    244    212    183
 2000    737    514    463    414    526    330    291    254
 2001    677    454    401    350    358    196    161    133
 2002    803    573    517    466    276    142    119     99
 2003    709    494    444    397    426    266    233    203
 2004    836    603    548    495    408    222    186    156
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  697.7  479.7  429.8  382.8  414.5  247.6  213.3  181.7
 STDV  113.6   85.6   78.9   72.5  101.3   75.2   68.7   62.0
