# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3517] GUTTENBERG-L-AND-D-10
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3517   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          11     1 305          198
   1952   4     7  98          10     6 280          182
   1953   4    18 108          11     5 309          201
   1954   4     4  94          10    30 303          209
   1955   3    29  88          11     3 307          219
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    27 300          196
   1958   3    22  81          11     7 311          230
   1959   4     4  94          10    12 285          191
   1960   4    18 109          10    20 294          185
   1961   4    16 106          11     3 307          201
   1962   4    15 105          10    26 299          194
   1963   3    22  81          11     2 306          225
   1964   4     9 100          10    10 284          184
   1965   3    30  89          11    13 317          228
   1966   3    28  87          11     2 306          219
   1967   3    22  81          10    28 301          220
   1968   4     5  96          11    12 317          221
   1969   3    31  90          10    23 296          206
   1970   4     4  94          11    15 319          225
   1971   4     6  96          11     4 308          212
   1972   4     9 100          10    15 289          189
   1973   4    13 103          11     5 309          206
   1974   4     8  98          10     2 275          177
   1975   4    11 101          11    13 317          216
   1976   3    22  82          10     8 282          200
   1977   4     6  96          11    11 315          219
   1978   3    27  86          11     7 311          225
   1979   4    10 100          11     7 311          211
   1980   3    26  86          10    29 303          217
   1981   3    23  82          10    23 296          214
   1982   4    11 101          10    22 295          194
   1983   4    18 108          11    12 316          208
   1984   3    31  91          11     1 306          215
   1985   4     9  99          11    11 315          216
   1986   3    24  83          11     2 306          223
   1987   4     4  94          10    11 284          190
   1988   3    27  87          10    26 300          213
   1989   4    10 100          11     2 306          206
   1990   4    12 102          11     7 311          209
   1991   3    30  89          10    19 292          203
   1992   4     2  93          10    19 293          200
   1993   4     2  92          10    31 304          212
   1994   4     7  97          11    16 320          223
   1995   4     5  95          11     2 306          211
   1996   4     9 100          10    31 305          205
   1997   4    17 107          10    27 300          193
   1998   3    24  83          11    20 324          241
   1999   3    26  85          10    24 297          212
   2000   4     8  99          11    11 316          217
   2001   3    28  87          12     1 335          248
   2002   4     6  96          10    31 304          208
   2003   4     9  99          11     6 310          211
   2004   3    22  82          11    12 317          235
             MEAN= 94              MEAN=304     MEAN=210
