# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3517] GUTTENBERG-L-AND-D-10
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia3517
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1536   1193   1130    624     94     41      2      2    136    400   1044   1332
 1952   1346   1007   1030    471    194     17      0      6    102    555    761   1155
 1953   1278   1072    913    642    206      9      3      2    100    250    683   1129
 1954   1390    826   1001    422    313     39      0      0     76    421    729   1186
 1955   1370   1234   1024    296    111     47      0      2     60    350    957   1400
 1956   1407   1229   1026    562    180     18      0     12    112    189    819   1142
 1957   1501    997    919    447    217     26      0      0    121    451    845   1069
 1958   1297   1314    925    450    125     47      3     18     77    302    745   1445
 1959   1599   1335   1019    498    131     13      7      1    145    576   1136   1070
 1960   1374   1303   1398    515    269     73     13      9    175    462    786   1348
 1961   1468   1014    955    700    291     21      2      0    146    329    795   1351
 1962   1525   1251   1086    548    105     30      8      2    161    327    781   1297
 1963   1738   1312    841    405    205     12      0     10     89    134    697   1588
 1964   1220   1099   1012    485     90     37      0     24    130    437    703   1353
 1965   1474   1270   1200    590    110     11      0     23    138    370    769   1002
 1966   1638   1182    817    589    281     24      0      9    134    406    808   1252
 1967   1284   1345    907    473    294     14     18     27    126    465    900   1161
 1968   1373   1267    706    388    221     27      2      9    101    385    814   1279
 1969   1522   1117   1110    434    178     86      2      0    101    495    858   1289
 1970   1661   1199   1001    462    147     19      1      0    118    380    826   1285
 1971   1669   1264   1007    478    249      6     16      7    111    231    831   1162
 1972   1571   1385   1069    609    151     47     16     21    125    572    890   1415
 1973   1291   1051    662    526    226      5      0      0    129    259    790   1311
 1974   1396   1174    900    403    254     38      0     15    186    374    782   1158
 1975   1331   1193   1190    663    118     27     12      0    200    329    708   1157
 1976   1430    960    836    395    206      4      0      6    136    558   1046   1507
 1977   1872   1136    699    293     56      2      0     19     55    443    878   1401
 1978   1726   1485   1064    479    190     16      1      3     53    430    843   1341
 1979   1838   1450    993    608    190      9      2     24     84    420    838   1079
 1980   1377   1315   1061    459    149     15      0      0     82    502    766   1245
 1981   1320   1063    766    353    199      8      8      5    109    459    748   1307
 1982   1781   1246   1017    609     82     64      0     20    133    358    857   1049
 1983   1237   1001    866    619    262     23      1      0    117    398    770   1656
 1984   1480    978   1089    489    241      1      4      3    150    325    812   1169
 1985   1561   1263    769    346     64     34      1     14    170    385   1014   1651
 1986   1406   1234    798    360    112     11      1     28     89    379    958   1184
 1987   1261    905    762    327    104      4      1     22     90    528    690   1097
 1988   1539   1349    834    451     71      7      0      8     57    573    784   1203
 1989   1103   1379   1008    513    224     35      0      4    161    384    917   1570
 1990   1118   1035    791    514    259     35      2      1    114    456    657   1368
 1991   1568   1049    827    419    156      2      0      0    193    453   1047   1192
 1992   1230    984    862    559    173     41     17     34    157    448    929   1249
 1993   1394   1248   1036    547    173     56      0      6    226    479    879   1187
 1994   1746   1398    868    460    171     16      1     27     75    320    714   1096
 1995   1394   1144    844    597    186     12      6      0    166    425   1041   1319
 1996   1531   1255   1081    549    292     36      1      0    123    382   1024   1351
 1997   1528   1087    868    547    292      1      2      5     69    425    936   1108
 1998   1231    809    885    396     56     68      0      0     34    348    684   1045
 1999   1510    892    847    388    122     29      0      1    135    411    611   1144
 2000   1370    993    671    456    121     29      1      0    120    299    909   1674
 2001   1325   1295   1020    345    166     62      1      1    124    454    484   1046
 2002   1069    921   1002    478    260     13      0      1     65    561    851   1107
 2003   1422   1258    928    466    195     37      0      1    137    394    829   1112
 2004   1475   1165    754    398    155     29      3     45     46    392    695   1179
 2005   1436    990    898    337    232      0      0      0      0      0      0      0
 MEAN   1446   1162    938    481    180     26      3      9    118    404    827   1259
