# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3517] GUTTENBERG-L-AND-D-10
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3517
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     5     0     0     5        0     0    12     0     0    12
 1952     2    11    17     4     6    40        5    45    70     6    13   139
 1953     3     8     6     9     4    30       14    45    22    59    26   166
 1954     0    11    13     4     6    34        0    45    50     9    31   135
 1955     1     2    23    18     7    51        2     7   143   110    33   295
 1956     2    12     9     9     0    32        6    63    25    35     0   129
 1957     0     3    13     4     1    21        0     7    47    13     4    71
 1958     0     2     0    11     1    14        0     3     0    33     3    39
 1959     3     7     7    17     3    37        4    17    15    50    13    99
 1960     0     0     9     5     8    22        0     0    30    16    49    95
 1961     1     6     3     8     4    22        1    24     6    20     7    58
 1962     5     4     1     4     1    15        9     9     2    12     2    34
 1963     1    13    12     4     0    30        2    59    38    11     0   110
 1964     3     9    18     5     4    39        6    37   111    31     8   193
 1965     0     3     6     7     0    16        0     8    41    30     0    79
 1966     0     9    13     5     0    27        0    27    67    11     0   105
 1967     4     3     6     0     0    13       12     8    18     0     0    38
 1968     0     8     6    11     0    25        0    24    18    48     0    90
 1969     2     0     6     9     0    17        4     0    28    21     0    53
 1970     2     3    14     7     1    27        6    23    60    18     2   109
 1971     0    14     2     6     5    27        0    48     5    21    13    87
 1972     4     5     8    11     1    29        9    16    36    55     1   117
 1973     0     7    11     9     1    28        0    26    35    42     3   106
 1974     0     1    15     2     0    18        0     3    75     4     0    82
 1975     5     8    18    11     0    42       14    29    66    39     0   148
 1976     0     6    17    12     3    38        0    20    74    38    10   142
 1977     6    11    17     3     0    37       15    76   104     8     0   203
 1978     3     6     6     9     7    31       13    20    15    31    52   131
 1979     1     6     6     6     1    20        1    21    13    20     1    56
 1980     1     4    19    11     1    36        2    15    95    35     6   153
 1981     0     6    12     2     2    22        0    13    43     5     5    66
 1982     0     1     9     9     2    21        0     1    38    30     3    72
 1983     0    10    22    18     6    56        0    33   107   106    29   275
 1984     0     2     9    18     6    35        0     4    31    85    30   150
 1985     1     5    11     7     6    30        5    30    53    21    30   139
 1986     1     5    15     4     2    27        4    18    64     6     3    95
 1987     3    13    19     8     0    43        5    56    94    36     0   191
 1988     4    18    19    16     2    59       10    95   150   150     9   414
 1989     0     2    12     3     0    17        0     2    72    15     0    89
 1990     0     4     3     3     3    13        0     9    25    15    19    68
 1991     3     9     9     7     1    29       12    34    37    23     1   107
 1992     2     2     1     5     0    10        2     4     6    17     0    29
 1993     0     3     4     6     0    13        0     3     6    15     0    24
 1994     0     6     4     2     4    16        0    36    17     5    11    69
 1995     0    11    13    19     0    43        0    37    82    85     0   204
 1996     3     8     3     6     1    21        7    37    13    19     1    77
 1997     0     8     9     4     0    21        0    23    46    14     0    83
 1998     4     7    10     7     6    34       22    34    26    17    23   122
 1999     1    10    19     2     3    35        2    25   122     7    14   170
 2000     0     3     6     8     5    22        0    12    15    19    18    64
 2001     2    12    16    10     0    40        8    33    65    55     0   161
 2002     1    10    18     4     4    37        3    45    82    14    17   161
 2003     0     3    11    16     3    33        0    12    37    84    10   143
 2004     1     4     4     1     2    12        1    12    10     1     2    26
 2005     0    14    18     0     0    32        0    64    94     0     0   158
 **************************************************************************************
MEANS   1.4   6.5  10.6   7.4   2.2  28.1      3.7  25.4  48.3  30.4   9.1 116.9
