# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3584] HAMPTON-2-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia3584
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  34   3  43   2  40   4  41   5  44   7  36   8  33   5  36   9  43  12  44   4  41   4  34   2
  2  30   1  47   3  35   2  47   2  41   6  39   8  34  12  33  11  35   8  44  10  45   4  34   2
  3  36   3  36   5  35   3  47   5  38   3  38   6  33  10  31  11  43   4  44   5  39   5  31   3
  4  35   2  41   3  37   2  55   3  45   8  36  10  32   7  31   9  44   8  43   6  38   3  32   6
  5  38   3  35   3  35   3  47   3  39   3  42  12  35   9  32   4  37   2  52   7  36   3  33   5
  6  35   1  36   5  38   3  44   6  42   6  34   6  32  10  34  10  39  11  41   4  37   5  36   4
  7  33   3  37   3  39   6  42   7  43   4  32  11  35   6  36   6  44   8  38   3  40   4  35   3
  8  37   5  35   2  40   4  40   5  38   7  37   3  35  13  31   7  38   9  42   6  38   4  33   4
  9  33   5  33   3  40   5  47   4  40   7  44   9  33   2  31  12  41   4  42   7  36   4  33   4
 10  39   5  35   4  42   2  39   5  41   8  39   9  34  10  41  13  45   3  42   4  35   3  40   2
 11  38   3  34   5  39   2  43   3  37   6  36   8  35   7  35  11  39   7  37  10  36   2  39   5
 12  44   4  41   2  36   4  44   4  39   7  36   3  32  13  39   8  50   7  44   2  47   3  30   4
 13  42   1  41   3  36   5  46   5  42   4  33  11  37  11  37   9  36   8  40   6  37   3  42   3
 14  37   3  36   3  36   4  42   4  42   9  36   9  33   6  45   7  36   5  38   9  38   4  36   3
 15  37   2  32   2  36   4  45   4  39   7  34   8  33   7  35  10  41   8  41   4  40   7  35   3
 16  40   3  41   3  37   5  48   4  41   4  35   9  29   9  37   6  47   7  42   8  34   2  33   3
 17  37   2  40   3  41   5  46   5  42   6  34  10  36  13  40  13  37   9  38   5  34   3  33   4
 18  40   5  38   2  39   4  45   5  46   3  36   8  29  10  34   9  37   9  54   3  34   4  38   5
 19  40   5  34   2  31   4  52   5  39   3  35   6  35  13  34  11  45   6  41   7  44   1  39   3
 20  39   4  35   3  31   4  42   7  42  11  34  11  32   6  40   7  38   4  43   3  40   2  34   3
 21  39   5  41   4  38   2  45   5  40   7  38   7  31   8  37   9  42  10  40   2  37   2  42   5
 22  42   3  38   4  35   2  40   5  38   3  36  10  28   8  35   8  43   6  37   6  41   3  41   5
 23  35   4  39   5  46   4  41   3  39   4  40   6  31   6  38   6  42   5  39   3  36   3  36   4
 24  37   6  49   3  50   3  39   4  34   8  36   5  34   6  36   9  48   7  53   7  35   4  45   2
 25  41   3  43   3  41   5  38   8  39   6  38  17  33   9  40   5  46   7  43   5  43   3  33   4
 26  34   4  35   4  45   4  41   9  34   4  41  10  32   8  41   4  42   8  43   4  37   4  42   3
 27  35   5  44   4  37   4  43  10  36   6  35  10  32   6  43   6  41   9  47   4  34   4  42   4
 28  39   2  36   7  42   3  39   5  34   7  33  13  30   8  37   4  41   4  37   4  38   3  39   3
 29  35   3  35   8  41   5  42   5  32   5  34   9  35   7  39   9  44   6  46   5  37   3  47   2
 30  41   4  **  **  42   7  45   7  33   8  31  10  29  11  34  10  44   6  38   5  32   3  26   4
 31  40   5  **  **  37   4  **  **  37  12  **  **  36   4  33  10  **  **  42   5  **  **  28   2
