# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3584] HAMPTON-2-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3584   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   4    24 115           9    21 265          150
   1953   5    13 133           9    13 256          123
   1954   5    20 140           9    22 265          125
   1955   5     8 128           9    11 254          126
   1956   5    16 137           9    20 264          127
   1957   5     5 125           9    28 271          146
   1958   5     5 125          10     1 274          149
   1959   4    22 112          10     9 282          170
   1960   5    12 133          10    19 293          160
   1961   5     4 124           9    28 271          147
   1962   4    20 110           9    20 263          153
   1963   5    23 143           9    13 256          113
   1964   4    15 106          10     5 279          173
   1965   4    28 118          10    12 285          167
   1966   5    14 134           9    26 269          135
   1967   5     6 126           9    28 271          145
   1968   5     5 126          10     4 278          152
   1969   5    12 132          10    14 287          155
   1970   5     2 122          10     4 277          155
   1971   5     3 123          10     7 280          157
   1972   4    25 116           9    30 274          158
   1973   5    15 135          10    30 303          168
   1974   5     6 126           9    22 265          139
   1975   4    22 112          10     2 275          163
   1976   5     7 128          10     6 280          152
   1977   4    24 114          10     6 279          165
   1978   4    27 117          10    14 287          170
   1979   5     1 121          10     5 278          157
   1980   4    24 115          10     5 279          164
   1981   5    10 130          10     2 275          145
   1982   4    21 111          10    20 293          182
   1983   4    20 110           9    23 266          156
   1984   4     1  92           9    26 270          178
   1985   4    10 100          10     1 274          174
   1986   4    22 112          10     6 279          167
   1987   4     6  96          10     3 276          180
   1988   4    24 115          10     4 278          163
   1989   5     8 128           9    23 266          138
   1990   5     2 122          10    10 283          161
   1991   4    21 111           9    20 263          152
   1992   5     6 127           9    29 273          146
   1993   4    26 116          10     2 275          159
   1994   5     3 123          10    10 283          160
   1995   4    25 115           9    22 265          150
   1996   4    27 118          10     3 277          159
   1997   5    15 135          10    14 287          152
   1998   4     6  96          10    14 287          191
   1999   4    19 109          10     4 277          168
   2000   4    22 113          10     6 280          167
   2001   4    19 109          10     6 279          170
   2002   5     4 124          10     7 280          156
   2003   4    23 113           9    30 273          160
   2004   5     4 125          10     2 276          151
             MEAN=119              MEAN=275     MEAN=156
