# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3584] HAMPTON-2-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia3584
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.72  2.55  4.62  7.58  3.44  8.41  4.62  6.31  2.24  3.06  0.81  0.77 45.13
 1952  1.63  0.27  2.67  1.33  4.91  4.53  4.22  2.85  0.23  0.00  1.54  0.46 24.64
 1953  1.06  1.40  2.03  4.59  1.84  4.19  5.89  2.56  0.62  0.23  1.67  1.12 27.20
 1954  0.35  0.87  1.10  3.61  4.19  6.89  2.88  5.10  1.71  3.64  0.19  0.34 30.87
 1955  0.28  1.08  1.07  2.30  1.73  1.98  5.13  0.38  3.25  4.14  0.22  0.48 22.04
 1956  0.60  0.13  2.05  1.52  4.40  1.17  3.99  3.67  2.13  2.80  1.62  0.50 24.58
 1957  0.25  0.35  1.38  1.34  6.31  5.55  2.91  5.28  1.90  2.21  3.40  0.88 31.76
 1958  0.49  0.07  0.63  2.79  2.68  3.64  5.17  1.90  2.18  1.14  1.14  0.27 22.10
 1959  0.39  1.86  3.08  0.88  7.82  6.13  2.70  6.17  5.58  1.44  2.66  1.12 39.83
 1960  0.93  0.57  1.73  4.60  5.40  1.72  3.27  6.83  4.53  1.58  0.53  0.83 32.52
 1961  0.33  2.19  4.23  1.52  2.19  2.28  4.47  0.94  6.27  2.42  1.74  1.58 30.16
 1962  0.06  2.88  2.02  1.33  4.77  2.17 10.81  6.42  2.11  3.18  0.05  0.13 35.93
 1963  0.69  0.76  2.05  4.16  4.92  5.72  6.45  2.06  1.09  1.59  1.42  0.25 31.16
 1964  0.55  0.00  1.15  6.42  2.84  2.47  8.38  3.93  6.63  0.30  1.46  0.97 35.10
 1965  0.97  1.49  5.72  3.77  5.39  2.73  3.75  6.12 14.15  0.84  1.30  1.16 47.39
 1966  1.24  1.10  2.91  1.96  3.79  8.72  3.69  3.15  0.75  0.81  0.39  1.11 29.62
 1967  1.38  0.60  2.02  2.63  3.53 12.29  3.16  3.81  2.19  2.13  0.40  0.67 34.81
 1968  0.76  0.11  0.94  5.75  2.09  5.98 10.86  4.68  4.77  4.10  0.68  2.34 43.06
 1969  1.35  0.75  1.18  4.13  5.61 11.52  8.12  4.10  1.59  3.96  0.30  2.46 45.07
 1970  0.40  0.27  1.78  1.87  7.06  2.18  5.69  0.77  4.85  4.78  2.50  1.37 33.52
 1971  2.93  2.57  1.30  1.52  3.99  5.33  3.30  1.20  2.12  3.72  2.94  1.95 32.87
 1972  0.38  0.96  1.33  2.25  4.80  4.94  4.77  4.18  7.29  5.33  1.91  1.58 39.72
 1973  1.24  1.62  3.42  3.16  7.32  4.71  3.41  2.83  8.41  3.25  2.38  1.76 43.51
 1974  0.57  0.63  1.35  3.52  5.15  9.64  3.34  4.92  1.35  3.75  2.12  0.45 36.79
 1975  1.30  0.00  0.20  2.05  2.53  4.93  0.80  3.68  1.25  0.28  3.06  0.55 20.63
 1976  0.08  1.55  3.56  5.78  3.27  1.90  3.57  2.03  1.21  2.15  0.00  0.37 25.47
 1977  0.42  0.45  2.86  2.47  2.12  1.46  2.75 10.03  3.16  3.05  1.05  1.26 31.08
 1978  0.22  0.51  0.31  0.00  1.52  7.30  7.58  3.24  6.11  1.10  2.54  0.75 31.18
 1979  1.06  0.22  2.61  2.44  4.85  2.98  5.47  6.60  2.71  4.05  2.46  0.30 35.75
 1980  1.68  0.60  0.81  1.56  3.55  4.26  2.58  9.72  3.43  2.45  0.24  1.47 32.35
 1981  0.02  1.46  0.47  3.50  2.72  5.11  8.22  5.03  2.40  1.97  1.09  0.99 32.98
 1982  2.15  0.36  1.57  2.92 10.33  1.70  5.39  0.00  2.35  3.87  2.59  3.98 37.21
 1983  1.18  1.95  4.05  3.46  8.82  5.50  0.00  0.00  0.00  0.00  0.00  0.00 24.96
 1984  0.00  0.00  0.00  0.00  0.00  0.00  3.25  0.63  2.57  3.81  2.28  2.96 15.50
 1985  0.84  1.05  2.55  1.66  2.20  4.26  2.02  5.56  6.03  2.31  1.98  1.37 31.83
 1986  0.58  2.04  2.03  4.01  5.54  3.63  5.97  2.63  3.96  3.84  1.57  0.89 36.69
