# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3584] HAMPTON-2-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia3584
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1563   1243   1276    675    137     93     13     27    202    479   1101   1477
 1952   1509   1049   1124    521    269     17      3     32    125    636    860   1301
 1953   1433   1160    973    718    231     27     11     14    141    305    800   1232
 1954   1544    835   1084    442    353     50      0      6     96    473    761   1243
 1955   1452   1285   1063    324    135     55      0      3    125    435   1084   1510
 1956   1533   1317   1101    626    207     26      6     29    160    271    927   1245
 1957   1632   1065   1001    507    251     41      0      9    191    552    982   1186
 1958   1348   1403   1024    541    165     91     17     29    113    362    814   1489
 1959   1662   1416   1064    509    159     31     13      1    186    571   1174   1066
 1960   1460   1338   1454    505    207     50     12      6    159    465    801   1387
 1961   1493   1128    991    722    305     39      0      9    199    376    888   1479
 1962   1653   1321   1272    593    123     53     24      9    221    397    786   1303
 1963   1786   1371    884    453    241     19      5     31    111    158    702   1625
 1964   1269   1096   1124    515    104     40      2     58    151    465    770   1413
 1965   1578   1376   1420    624    118     20      3     46    202    412    839   1054
 1966   1773   1257    828    693    334     40      1     33    190    433    893   1323
 1967   1386   1336    875    498    346     19     35     48    187    496    945   1243
 1968   1468   1307    739    454    320     36     13     35    138    413    888   1443
 1969   1663   1255   1331    505    226    109      6      3    142    555    880   1401
 1970   1819   1268   1115    518    173     33     15     11    174    459    904   1409
 1971   1740   1307   1122    504    272     10     28     20    134    303    848   1313
 1972   1654   1456   1018    625    216     48     29     31    140    548    950   1569
 1973   1424   1162    744    584    289      6      3      5    152    282    855   1456
 1974   1542   1203    950    480    295     45      1     31    232    393    883   1253
 1975   1472   1271   1247    739    120     27     13      1    193    319    746   1218
 1976   1414    958    909    390    223     11      1     19    136    618   1072   1518
 1977   1851   1060    708    313     37     12      0     24     82    487    925   1467
 1978   1787   1464   1011    565    204     20      5      6     56    443    925   1479
 1979   1911   1548   1109    660    217     27      3     30     94    436    903   1142
 1980   1433   1379   1080    484    172     19      1      2     85    519    776   1275
 1981   1315   1051    772    362    230      9     12     13    104    500    748   1388
 1982   1827   1299   1006    644    121     77      0     44    135    369    922   1141
 1983   1327   1032    947    663    294     29      2      1    174    462    863   1760
 1984   1519   1047   1175    553    273      9      5     10    196    414    908   1305
 1985   1644   1359    837    428    110     82      6     41    222    507   1172   1777
 1986   1430   1344    885    441    182     16      5     53    100    462   1086   1319
 1987   1336    929    837    413    113     13      4     56    111    627    765   1206
 1988   1676   1461    909    568     92     12      5     23     98    619    895   1343
 1989   1216   1492   1120    573    248     61      0     10    186    435   1050   1641
 1990   1170   1142    846    593    307     44      7      4    131    511    755   1481
 1991   1707   1115    914    490    186     12     11     14    221    538   1158   1265
 1992   1291   1052    927    666    214     53     48     86    213    493   1007   1355
 1993   1588   1357   1173    674    247     77      4     14    281    539    962   1297
 1994   1816   1459    919    558    218     22      9     41    126    402    825   1301
 1995   1562   1236    970    689    279     48     13      0    228    504   1141   1336
 1996   1614   1324   1208    655    356     61      4      3    212    470   1173   1500
 1997   1643   1233    990    662    404     10     26     25    132    480   1052   1210
 1998   1382    941   1067    503    110    100      1      0     64    424    804   1162
 1999   1613    981    961    532    199     57      2     12    201    479    682   1250
 2000   1467   1039    739    549    166     52     11     10    151    356   1006   1790
 2001   1447   1432   1200    472    205     71      6     13    193    520    545   1116
 2002   1169   1055   1162    596    332     32      3     15    125    648    959   1166
 2003   1490   1327   1015    533    266     47      2      2    190    449    949   1211
 2004   1541   1305    828    491    232     50     18     84     78    455    806   1281
 2005   1532   1011    979    416    291      6      6      0      0      0      0      0
 MEAN   1538   1230   1019    546    220     39      9     22    155    458    906   1354
