# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3632] HARLAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia3632
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  34   3  38   2  46   6  45   5  46   4  37   8  40  10  35   8  40   7  43   7  42   2  41   3
  2  32   3  51   4  43   2  49   7  42   5  36   5  32  11  35  12  37   9  45   8  45   5  33   5
  3  38   3  40   6  40   3  44   6  42   8  45   6  37  12  37  11  35   9  41   5  44   4  38   5
  4  35   4  37   2  48   5  40   7  44   8  34   9  30   9  34  11  39   9  43   4  42   4  37   4
  5  43   4  37   4  40   5  51   7  39   5  45   8  38  11  34   6  38  11  43   4  41   3  33   4
  6  33   3  43   4  45   5  52   3  43   7  35  10  33  13  34   9  40   9  41   7  42   3  42   3
  7  36   5  45   3  40   1  51   5  42   3  34   8  34  15  30   6  45   9  42   7  40   2  44   3
  8  42   5  37   3  42   3  42   3  40   9  37   8  32  13  35   9  38   8  40   5  41   5  37   5
  9  36   6  41   3  43   8  46   6  40   6  36   9  36  11  36   6  41   7  41   6  38   5  34   3
 10  34   6  40   2  44   4  49   4  41   6  40   9  35   8  33  10  41   6  47   8  42   3  39   6
 11  37   4  42   3  39   4  48   3  39   7  38  12  37   8  34   7  40   6  47   8  44   5  43   5
 12  48   3  42   4  44   4  50   5  43   6  34   6  34   6  33   9  49   6  40   7  47   2  40   3
 13  39   4  40   6  38   3  42   8  43   9  36  12  33   8  36   6  42   5  40   5  41   4  38   3
 14  36   2  36   3  44   5  44   5  37   8  35   7  35  10  38  10  39   6  41   5  39   6  50   5
 15  42   5  41   3  44   6  45   3  42  10  34  10  35  10  40   7  40   6  39   6  44   4  37   3
 16  44   5  42   7  43   5  45   6  45   7  35   4  37  14  37  11  47   7  38   6  37   4  39   6
 17  43   7  40   4  40   2  49   5  41   9  39   7  36  10  35   8  37   6  37   4  39   3  35   3
 18  54   3  43   3  41   1  45   7  42   7  41  10  33  12  35  11  41   6  47   5  40   5  40   4
 19  40   4  40   3  40   2  48   5  40   9  39  13  36   5  33  14  45  10  47   5  47   3  46   6
 20  48   3  40   3  39   6  45   6  40  10  35  11  33  10  38   9  41   7  55   4  37   3  33   2
 21  41   4  52   5  42   8  45   4  38   6  39   8  35   3  34  10  39   8  43   4  45   3  42   3
 22  44   4  37   5  44   3  38   3  39   5  40   7  37   8  38  12  43   6  42   5  46   6  37   2
 23  40   4  38   3  43   5  41   9  41   9  37   7  36  12  38   5  39   8  39   5  36   4  38   3
 24  45   5  50   5  53   6  42  12  40  10  32  12  34  11  39   8  41   7  47   4  36   4  37   4
 25  41   2  41   2  46   6  45   5  40   4  33  15  36  11  41   8  42   7  46   5  44   5  36   4
 26  39   5  43   4  52   2  44   9  35   8  36   7  36  13  36   6  43   6  49   4  36   6  34   5
 27  34   4  38   3  53   5  40   8  38   5  36  13  34   6  37  11  45   7  45   7  39   3  36   5
 28  42   4  38   5  51   4  45   6  38   6  38  11  33   8  39  10  43   5  40   7  42   3  36   5
 29  39   4  38   7  47   4  49   9  39   3  31   8  39  14  37   6  42   7  43   6  39   4  44   4
 30  41   6  **  **  47   5  44   5  36   8  36   9  36   9  33  10  44   6  43   5  37   4  44   2
 31  40   4  **  **  47   3  **  **  37   8  **  **  41  12  37  11  **  **  45   2  **  **  38   3
