# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3632] HARLAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia3632
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  29  12  31  12  42  20  56  33  68  42  76  53  84  62  84  62  80  58  73  46  55  35  39  22
  2  31  12  29  10  41  22  57  33  69  43  77  53  84  63  85  64  81  59  72  46  53  33  40  23
  3  28   9  29  10  40  21  56  32  69  45  78  53  85  62  84  63  81  59  70  45  52  31  41  22
  4  27   8  32  12  40  20  54  31  70  46  79  55  85  64  84  62  80  58  68  43  51  30  40  21
  5  28   8  31  12  40  21  57  31  71  47  80  56  85  62  83  62  79  56  68  44  51  30  40  21
  6  28   9  31  12  41  19  60  32  69  46  80  57  85  62  83  62  81  57  66  43  51  30  35  18
  7  26   6  31  12  40  19  61  35  70  46  81  58  87  63  84  62  81  57  66  41  52  29  35  17
  8  28   9  32  12  41  20  58  35  71  46  80  57  86  64  84  62  79  56  66  42  51  29  34  16
  9  26   8  33  12  44  21  58  32  71  47  80  57  85  62  83  62  78  56  64  41  50  29  34  15
 10  27   7  34  14  44  23  59  34  72  46  81  57  85  63  83  61  78  53  66  40  50  27  35  16
 11  29   9  32  13  45  25  60  36  72  48  81  59  86  64  82  59  78  53  68  42  49  28  34  16
 12  29  10  34  13  44  24  58  35  72  47  82  59  86  64  83  60  77  54  67  42  48  28  33  15
 13  31  10  36  15  44  25  59  35  72  46  83  59  86  64  83  61  76  52  67  43  50  28  34  14
 14  30  12  35  16  46  25  61  37  73  49  82  60  86  63  83  61  74  52  67  43  48  28  33  14
 15  29   9  34  16  45  25  63  36  74  48  81  59  85  62  83  60  73  50  66  42  49  29  32  15
 16  30   9  36  14  46  25  63  38  74  50  81  59  86  63  84  62  72  51  65  40  48  28  33  14
 17  29   9  37  15  46  26  63  37  75  51  82  59  86  64  84  62  74  51  64  39  48  28  32  14
 18  30  11  37  19  46  27  64  39  75  52  83  60  87  65  83  62  75  53  60  38  47  28  32  13
 19  30  10  37  17  47  28  66  40  75  50  84  60  87  67  83  61  75  52  61  37  47  27  32  14
 20  28   9  38  19  48  27  64  42  76  50  83  61  85  64  82  60  72  50  62  37  45  26  30  13
 21  29  10  38  17  47  24  65  41  75  51  83  60  85  63  82  60  72  49  63  38  45  24  30  12
 22  31  11  37  18  50  27  65  40  75  52  83  59  85  63  83  61  70  47  64  40  45  24  31  14
 23  31  10  38  19  50  28  66  41  74  52  83  60  85  63  82  61  69  45  61  39  43  24  30  13
 24  31  10  38  18  49  27  67  41  75  51  83  60  86  63  82  60  70  46  60  37  43  23  31  11
 25  29  11  39  19  49  28  68  42  75  52  85  61  86  63  83  60  72  47  60  36  43  24  30  12
 26  27   8  42  20  52  28  68  43  74  53  84  61  86  63  84  61  73  46  61  36  41  23  32  13
 27  27   8  40  22  56  29  67  43  74  52  85  62  85  64  83  61  72  46  59  37  38  21  32  15
 28  29   9  40  21  55  31  66  41  75  53  86  62  85  63  83  59  72  46  57  35  36  18  32  16
 29  30  10  45  17  51  31  67  43  76  54  86  63  86  62  84  61  71  47  58  34  38  21  31  14
 30  30   9 *** ***  54  30  66  43  78  54  84  62  85  63  83  61  72  46  57  36  39  20  30  11
 31  32  10 *** ***  56  32 *** ***  76  54 *** ***  85  63  81  59 *** ***  56  36 *** ***  29  11
