# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3632] HARLAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3632   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    15 106          10     6 280          174
   1953   4    20 110          10    27 300          190
   1954   4     8  98          10    31 304          206
   1955   3    28  87          10    15 288          201
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    26 299          180
   1959   4    22 112          10    12 285          173
   1960   4    10 101          10    19 293          192
   1961   5     2 122          10    20 293          171
   1962   4    17 107          10    24 297          190
   1963   4    13 103          10    29 302          199
   1964   4     9 100          10     9 283          183
   1965   4    28 118          10    12 285          167
   1966   4    21 111          10     5 278          167
   1967   5     2 122          10    11 284          162
   1968   5     5 126          10     4 278          152
   1969   4    29 119          10    14 287          168
   1970   5     2 122          10    10 283          161
   1971   5     3 123          10    31 304          181
   1972   4    25 116          10    18 292          176
   1973   4    13 103          10    29 302          199
   1974   4    15 105          10     1 274          169
   1975   4    20 110          10    18 291          181
   1976   5     3 124          10     6 280          156
   1977   4     6  96          10    16 289          193
   1978   4    21 111          10    28 301          190
   1979   4    28 118          10    13 286          168
   1980   4    14 105          10    12 286          181
   1981   4     6  96          10    19 292          196
   1982   4    22 112          10    20 293          181
   1983   4    18 108          10    14 287          179
   1984   4     6  97           9    29 273          176
   1985   4     9  99          11     2 306          207
   1986   4    22 112          10    14 287          175
   1987   4     5  95          10    11 284          189
   1988   4    19 110          10     5 279          169
   1989   4    15 105          10    19 292          187
   1990   4    17 107          10    10 283          176
   1991   3    30  89          10     7 280          191
   1992   4    22 113          10    17 291          178
   1993   4     9  99          10    10 283          184
   1994   4     7  97          10    25 298          201
   1995   4     5  95          11     2 306          211
   1996   4    23 114          10    30 304          190
   1997   5    13 133          10    20 293          160
   1998   4    17 107          11     6 310          203
   1999   3    27  86          10     4 277          191
   2000   4     9 100          10     6 280          180
   2001   4    18 108          10    26 299          191
   2002   4    10 100          10    16 289          189
   2003   4    10 100          10    27 300          200
   2004   4    14 105          10     2 276          171
             MEAN=107              MEAN=290     MEAN=183
