# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3632] HARLAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia3632
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1413   1076   1121    617    130     72     13      5    166    413    954   1335
 1952   1340    883    983    455    180      3      2      6     75    528    814   1250
 1953   1290   1010    804    586    187      9      1      0     71    241    678   1071
 1954   1430    730    961    352    271     35      0      0     48    415    661   1095
 1955   1314   1259    931    234     71     53      0      1     83    333   1006   1315
 1956   1372   1158    872    523    138     14      0     12     99    180    813   1080
 1957   1499    945    854    462    180     16      0      1    130    456    879    985
 1958   1241   1308    933    440     94     33      4     19     68    305    736   1263
 1959   1467   1175    837    449    146     17      8      0    147    482   1008    964
 1960   1393   1314   1332    415    144     13      0      0     96    347    759   1200
 1961   1357    966    829    588    226     25      0      6    178    328    852   1422
 1962   1529   1158   1060    482     37     23      8      2    140    331    732   1198
 1963   1692   1179    772    364    162      1      0     14     61    143    675   1536
 1964   1163   1037   1021    415     75     40      0     38    143    442    736   1322
 1965   1388   1271   1259    453     87      7      0     16    194    346    784    984
 1966   1563   1101    759    597    230     34      0     21    155    405    831   1264
 1967   1330   1155    766    398    309     22     22     36    142    487    876   1167
 1968   1389   1187    699    420    282     24      5      6    109    369    907   1353
 1969   1508   1106   1136    411    179     83      0      0     64    516    819   1313
 1970   1627   1047   1009    450    110     19      7      2    132    476    872   1188
 1971   1529   1190    954    421    240      4     13      6    117    294    792   1168
 1972   1457   1256    827    460    168     20     18      8    124    519    903   1420
 1973   1363   1060    691    493    213      1      2      1    116    290    781   1341
 1974   1479   1049    763    390    180     41      0     24    201    357    797   1186
 1975   1415   1245   1135    550    118     23      5      1    210    328    733   1142
 1976   1301    891    839    333    224     12      1      2    100    589   1015   1356
 1977   1709   1027    659    261     23      1      0      9     60    443    814   1327
 1978   1725   1454   1004    447    214     22      2     10     68    436    859   1377
 1979   1806   1484    952    541    191     20      3     19     81    420    878   1059
 1980   1291   1260    966    437    175     11      0      0     93    494    754   1184
 1981   1251   1034    759    264    206      1     11     13     79    471    719   1294
 1982   1704   1197    946    554    117     49      0     17    130    391    871   1106
 1983   1253    973    869    635    277     30      0      0    105    414    795   1772
 1984   1429    905   1072    550    228      4      0      5    182    385    758   1174
 1985   1478   1201    709    344     86     44      0     14    198    405   1085   1560
 1986   1123   1202    686    366    122      0      0     24     54    381    948   1164
 1987   1143    818    720    361     76      6      2     37     79    541    681   1080
 1988   1400   1237    779    441     29      8      2     12     63    519    777   1124
 1989   1057   1410    894    404    147     30      0      7    163    372    887   1521
 1990   1048    985    744    477    222     17      8      8     75    391    687   1390
 1991   1588    933    721    378    126      3      0      1    151    416   1108   1105
 1992   1077    881    718    503    170     15     11     49    115    410    941   1196
 1993   1464   1285    969    557    162     47      0      8    183    477    934   1160
 1994   1599   1246    771    424    144     10      2     10     85    316    739   1182
 1995   1364    991    825    535    224     20      5      0    149    414    971   1229
 1996   1477   1122   1017    479    232     20      3      0    162    349   1024   1382
 1997   1491   1070    779    572    246      1      5     10     70    420    934   1155
 1998   1265    856   1006    420     55     59      0      0     24    316    685   1102
 1999   1407    940    904    486    177     56      2      9    171    435    628   1179
 2000   1287    966    705    490    110     36     11      4    119    314   1030   1707
 2001   1378   1349   1075    398    166     55      3      8    131    447    502   1078
 2002   1173   1037   1118    493    275      6      0     13    109    607    920   1116
 2003   1422   1264    929    441    244     47      1      2    165    360    896   1141
 2004   1485   1299    766    425    190     50     19     65     52    367    752   1199
 2005   1457    960    875    368    221      2      7      0      0      0      0      0
 MEAN   1404   1112    892    451    168     24      4     11    116    401    833   1240
