# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3718] HAWARDEN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia3718
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  54 -25  55 -22  73 -13  86  12  93  25  89  38  98  44 103  49  95  38  91  23  72  16  63  -4
  2  55 -18  57 -27  75  -3  83  13  90  24  90  40  95  46 100  49  99  42  93  21  75   7  66 -10
  3  53 -20  58 -28  68  -7  75  -1  88  22  90  35 104  47 103  45  94  31  91  24  74   4  61 -10
  4  54 -22  54 -17  67 -16  79  17  93  25  96  37 102  43  99  45  93  39  85  24  75  -9  64 -10
  5  50 -21  59 -23  74 -20  87  15  88  25  95  42  99  40  99  44  94  36  96  22  72   4  60  -1
  6  48 -26  54 -18  77 -15  90   4  88  29  93  40  98  49  98  44 100  36  92  25  75   0  57 -15
  7  49 -24  66 -14  76 -10  87  10  91  29  95  42  99  49  98  46  98  32  89  19  73 -19  62 -20
  8  59 -17  61 -17  77 -11  87  10  90  25  98  36 100  49  96  46  96  37  87  16  73  -2  64 -21
  9  61 -28  59 -27  66 -11  88  10  92  28  99  42 104  48  97  48  95  37  86  16  80  12  63 -19
 10  57 -25  59 -25  72  -4  85  12  90  27  98  40 101  47  96  46  93  36  88  21  73   1  57 -11
 11  51 -15  63 -33  67 -10  87  18  89  28  97  39 100  50  95  44  91  31  88  16  74 -10  57 -11
 12  56 -28  59 -20  69 -12  78  13  87  28 100  42 100  49  96  42  94  33  88  22  67   2  50 -18
 13  60 -22  63  -6  69 -18  82  19  94  27 102  38 104  46 100  40  97  34  90  19  68  -7  57 -18
 14  53 -30  66  -5  69  -9  92  20  88  29  99  43 102  44 100  46  94  33  90  23  75 -19  51 -16
 15  54 -26  59 -17  73   4  85  18  92  29  97  37  96  48 103  43  99  31  92  22  75   8  57 -16
 16  54 -23  61 -28  77  -2  92  23  94  28  97  42  99  48 101  48  98  31  87  20  75  -2  61 -15
 17  52 -23  65 -26  72  -1  87  17  92  33  96  42 100  50 100  50  97  31  85  14  73  -4  57 -16
 18  48 -23  62 -20  75   0  91  18  94  33 100  47 100  48 101  48  94  32  82  19  69   1  56 -28
 19  48 -24  57 -22  76  -1  89  17  92  33 100  41  98  53 100  45  97  24  87   8  71   1  54 -28
 20  53 -23  67 -11  74   1  89  23  90  32 100  43  98  49  99  44  93  31  87  12  74   5  56 -26
 21  55 -28  63 -12  68  -8  93  23  92  34 107  41 102  47  97  46  90  29  79  15  67  -5  53 -25
 22  61 -23  68 -17  72  -2  93  25  91  26 102  45 104  48 100  46  90  27  83  18  66  -1  55 -27
 23  57 -20  64 -16  75   0  86  23  92  31  96  46  99  48  98  43  86  26  82  18  60  -4  45 -29
 24  66 -22  68 -21  83  -4  86  20  93  35 103  40  95  52  99  47  86  29  84  19  67  -5  48 -21
 25  49 -14  62  -8  73   3  91  27 103  37  98  45  95  51 104  44  93  29  81  17  73  -7  51 -18
 26  58 -23  62 -21  80   0  91  28  95  34  98  45 102  47 102  45  92  22  84  18  63  -7  52 -19
 27  68 -18  61 -14  80   1  90  24  92  33  96  44 100  50  99  42  96  30  82  14  65  -9  55 -20
 28  43 -18  62 -30  78   6  89  25  91  33 101  49  97  47 100  36  86  26  80  13  69  -8  50 -10
 29  50 -26  68  -5  82   0  92  24  97  33  98  47 100  47  98  44  89  24  77  17  58  -4  55 -13
 30  60 -23 *** ***  88   2  91  24  94  40  99  47 104  40  94  44  89  26  78  14  60 -10  57 -17
 31  56 -23 *** ***  81  12 *** ***  93  37 *** *** 103  47 100  40 *** ***  76   7 *** ***  50 -20
