# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3980] HUMBOLDT-2
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia3980   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    19 109          10    24 297          188
   1952   4    11 102          10     5 279          177
   1953   4    20 110          10    27 300          190
   1954   4    12 102          10    18 291          189
   1955   3    28  87          10    24 297          210
   1956   4    30 121           9    30 274          153
   1957   4    14 104          10    19 292          188
   1958   4    29 119          10     1 274          155
   1959   4    13 103          10    12 285          182
   1960   4    10 101          10    19 293          192
   1961   4    16 106          10    20 293          187
   1962   4    17 107          10    24 297          190
   1963   4    13 103          10    29 302          199
   1964   4     9 100          10     9 283          183
   1965   4    28 118          10    24 297          179
   1966   4    21 111          10    24 297          186
   1967   5     3 123          10    10 283          160
   1968   4     5  96          10    25 299          203
   1969   4     6  96          10    22 295          199
   1970   4    12 102          10    16 289          187
   1971   5     3 123          11     3 307          184
   1972   4     8  99          10    18 292          193
   1973   4    10 100          11     4 308          208
   1974   4     8  98           9    22 265          167
   1975   4    12 102          10    18 291          189
   1976   4     1  92          10     6 280          188
   1977   4     6  96          10     6 279          183
   1978   3    25  84          10    19 292          208
   1979   4     6  96          10    13 286          190
   1980   4    15 106          10    12 286          180
   1981   3    24  83          10     2 275          192
   1982   4    11 101          10    21 294          193
   1983   4    19 109          10    13 286          177
   1984   4     9 100           9    26 270          170
   1985   4     9  99          11     4 308          209
   1986   4    22 112          10    14 287          175
   1987   4     4  94          10     3 276          182
   1988   4    19 110          10    22 296          186
   1989   4    19 109          10     7 280          171
   1990   4    18 108          10    25 298          190
   1991   3    30  89          10    15 288          199
   1992   4    13 104          10    17 291          187
   1993   4     5  95          10    10 283          188
   1994   4     7  97          10    26 299          202
   1995   4     4  94          10    22 295          201
   1996   4    30 121          10    28 302          181
   1997   4    17 107          12     1 335          228
   1998   3    24  83          11     4 308          225
   1999   3    27  86          10    21 294          208
   2000   4     9 100          10     8 282          182
   2001   3    28  87          10    26 299          212
   2002   4     6  96          10    20 293          197
   2003   4    10 100          10    26 299          199
   2004   4    12 103          11    11 316          213
             MEAN=101              MEAN=291     MEAN=190
